tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970621268022947955',You can read the full story here ➡️ https://t.co/kJWLn4cOy8,en,Reply,0,7,5,3,731,2025-09-23 23:48:17,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,https://www.nytimes.com/2025/09/23/climate/military-defense-pfas-forever-chemicals-cleanup-delay.html,,
'1970621265107906636',"Last year, we secured vital funding to remove dangerous PFAS from our water.

Now, the Trump admin wants to delay — ignoring cancer risks, fertility issues, and harm to military families.

This is unacceptable. https://t.co/EvuSF4pmhg",en,Tweet,2,19,8,4,2749,2025-09-23 23:48:16,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,https://pbs.twimg.com/media/G1kNlWgWIAA0edO.jpg
'1970568400150917295',"25K households in PA-04 rely on SNAP — seniors, vets, children, and people with disabilities.
 
The Trump Admin’s cynical “paperwork” requirements will leave vulnerable people hungry.
 
Thank you @SenatorHaywood and @RepCiresi for informing our communities of SNAP changes. https://t.co/KbNsYg4ta5",en,Tweet,2,13,5,6,868,2025-09-23 20:18:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jdfFJW0AAD3ps.jpg
'1970492692141326595',"Unions are the backbone of America's economy.

I was grateful to meet with members of United Steel Workers who are dedicated to strengthening labor rights across our country. https://t.co/vowjpajJCH",en,Tweet,1,11,3,5,640,2025-09-23 15:17:22,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,https://pbs.twimg.com/media/G1iYpDVWAAAOkaU.jpg
'1970232671067324662',"L'Shana Tovah — a good year to everyone celebrating Rosh Hashanah!

Wishing a time of renewal, joy, and peace  to our Jewish friends, family, and neighbors. https://t.co/O4HdXYlciS",en,Tweet,1,9,4,3,834,2025-09-22 22:04:08,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,https://pbs.twimg.com/media/G1esJTFWcAAfKKw.jpg
'1970206579766034687',"RFK and Linda McMahon claim to value our children's health — then cut the programs that support them.
 
Blatant hypocrisy. https://t.co/eWnBEDVIWQ",en,Tweet,4,147,54,61,7226,2025-09-22 20:20:27,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,video,https://video.twimg.com/ext_tw_video/1970206495796051968/pu/vid/avc1/1280x720/rmFsRRoFT7QCjikC.mp4?tag=12
'1970128037422260520',"Happy Fall! 🍁

May this be a time of new beginnings, prosperity, and family. https://t.co/nwYZYrA0hV",en,Tweet,0,13,3,7,933,2025-09-22 15:08:21,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,https://pbs.twimg.com/media/G1dMZuEXcAAVxIo.jpg
'1969402111247974823',"Political violence is never the answer.

We must all do our part to turn down the temperature — in Washington and all over our country. https://t.co/Kw2HzHhNIk",en,Tweet,1,23,8,28,1293,2025-09-20 15:03:47,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,video,https://video.twimg.com/ext_tw_video/1969401726118645761/pu/vid/avc1/404x720/d-j_5NmnGtXtb2gK.mp4?tag=12
'1969147495893610607',"The Trump Administration's pressure campaign on private companies like ABC is dangerous.
 
Corruption and censorship are not in the Constitution, Mr. President — Freedom of Speech is. https://t.co/wbeed8pSxp",en,Tweet,2,18,10,20,1174,2025-09-19 22:12:02,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,video,https://video.twimg.com/ext_tw_video/1969147411697205249/pu/vid/avc1/720x1280/oOIL_l-csaJKUXAE.mp4?tag=12
'1969072445404418397',"Congress has a fundamental duty to keep our government funded. 

Yet, we also bear a solemn responsibility to ensure our government is funded appropriately. 

My full statement: https://t.co/u0aOXPn1yC",en,Tweet,1,9,5,9,1278,2025-09-19 17:13:49,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,photo,"https://pbs.twimg.com/media/G1OM79QXYAA04eT.jpg,https://pbs.twimg.com/media/G1OM8KXW4AAAesf.jpg"
'1968804831272775932',"September is National Recovery Month — a time when we commit to breaking the stigma and providing the resources to end the disease of addiction.
 
It’s also a time for hope — Hope for those struggling, for those in recovery, and for their families. 💜 https://t.co/Ny4Ivhukn2",en,Tweet,0,13,7,7,867,2025-09-18 23:30:25,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>",,,video,https://video.twimg.com/ext_tw_video/1968804767997509632/pu/vid/avc1/720x1280/0FnvtEGuQq5_NYvL.mp4?tag=12
