tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970507786984521744',"Are you a high school student Interested in applying to a U.S. military academy? Join my info session on October 6th to learn more. For more information and to RSVP, visit https://t.co/6Zu3nINQrV https://t.co/PLpNQo2x5y",en,Tweet,0,0,0,4,725,2025-09-23 16:17:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://debbiedingell.house.gov/constituents/military-academy-information-session.htm,photo,https://pbs.twimg.com/media/G1imYzGXYAApTWx.jpg
'1969489881698111892',Wolverines ready for the first game of conference play! #GoBlue,en,Tweet,0,5,0,5,2100,2025-09-20 20:52:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#GoBlue,,,
'1969040038387241012',"On #NationalTradesmenDay, I'm taking a moment to recognize the incredible trades workers who build and maintain our communities. You are the backbone of our country, and thank you for everything you do!",en,Tweet,0,8,1,6,998,2025-09-19 15:05:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NationalTradesmenDay,,,
'1968771220523847919',Nothing wrong with what Jimmy Kimmel said except for that the political party in power didn't like it. This is the most blatant attack on free speech by the American government in recent history.,en,Tweet,9,668,148,1103,18174,2025-09-18 21:16:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968744222376255630',"Happy birthday to the U.S. Air Force! Today, we honor the men and women of the Air Force who protect the freedoms we cherish.",en,Tweet,0,4,3,3,1773,2025-09-18 19:29:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968666792122892662',"Happy National Clean Energy Week! Clean energy means good jobs, a healthier planet, stronger security, and reliable power for all. I am committed to building a stronger energy future for generations to come. https://t.co/XygI2ZqaA3",en,Tweet,0,2,1,5,856,2025-09-18 14:21:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Ib2vlXcAAHew4.jpg
'1968426360264704094',"Cutting cancer research halts all of the progress that we have made and will halt research that turns into life-saving cures, treatments, devices, and therapies for this devastating disease. https://t.co/3MEK8jTIKw",en,Tweet,0,15,7,5,1193,2025-09-17 22:26:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968426226801864704/vid/avc1/1080x1920/VOlkkxz41QVX6kU3.mp4?tag=21
'1968316676782670268',The Congressional App Challenge is your chance to shine and contribute to the future of technology! I encourage all young coders in MI06 to submit their innovative apps by October 30th. #NationalAppChallengeDay #Congress4CS https://t.co/ZdtEzAsq4J,en,Tweet,0,4,1,4,855,2025-09-17 15:10:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#NationalAppChallengeDay,#Congress4CS",,photo,https://pbs.twimg.com/media/G1DdlfbX0AAA5P8.jpg
'1967988555399172131',The Walkway honors those who made a significant contribution to the preservation of our natural resources in our region.,en,Reply,0,2,0,1,606,2025-09-16 17:26:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967988548361130375',"I never miss the Pointe Mouillee Waterfowl Festival. I know John’s spirit is there. This year, we dedicated the Conservation Heroes Memorial Walkway and honored Leonard Anteau, who made this happen. https://t.co/Kbu1Z4leX7",en,Tweet,0,5,0,4,778,2025-09-16 17:26:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0-zJpgWQAAO6OO.jpg,https://pbs.twimg.com/media/G0-zJpWWQAcbaZg.jpg,https://pbs.twimg.com/media/G0-zJpXWsAAU_Rn.jpg"
