tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970636615799202121',"The cost of living in America is way too high, especially on healthcare.

While Republicans cut funding for Medicaid and health insurance subsidies, @HouseDemocrats are fighting to lower costs by extending these tax credits and keeping Americans covered.",en,Tweet,0,3,0,5,374,2025-09-24 00:49:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970277185802953164',Wishing a happy new year to all those celebrating Rosh Hashanah in Wake County and beyond. L'Shana Tovah! https://t.co/mOJiODdEmT,en,Tweet,0,2,0,1,373,2025-09-23 01:01:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fUqEKW4AAciz1.jpg
'1970212056210305105',"One of our greatest strengths in the Triangle is the diversity of our people.

I was glad to attend &amp; speak at the tenth annual Asia Fest, a celebration of the Asian community in the Triangle.

Thanks to Asian Focus NC for hosting the event &amp; your work bringing cultures together https://t.co/1kTNGRVpZD",en,Tweet,0,3,1,2,457,2025-09-22 20:42:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1eZZZbXsAETJB5.jpg,https://pbs.twimg.com/media/G1eZZZbWUAAL85R.jpg"
'1970186535451705355',"Over 250,000 Documented Dreamers are at risk of losing legal status when they turn 21. Our bipartisan bill would fix a broken system and ensure they can stay in their communities.

Proud to join @SenAlexPadilla in reintroducing this important bipartisan legislation. https://t.co/t6nhSKLLEJ",en,Tweet,0,10,3,5,475,2025-09-22 19:00:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eCKz5XkAAQhUG.png
'1969399968839483603',"September is suicide prevention month. Every life is valuable, and we must do everything we can to make sure everyone has the support they need.

If you or someone you know is in crisis, call 988 to speak with an experienced and caring counselor. https://t.co/UHOdei5TI0",en,Tweet,0,5,1,1,354,2025-09-20 14:55:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1S21WcWkAA3EFQ.jpg
'1969184720643670403',"Documented Dreamers are members of our community, but they're at risk of deportation from the country they love and call home.

I led colleagues to introduce a bipartisan bill to fix our broken immigration system and ensure these young people can remain in their communities.",en,Tweet,0,7,1,7,836,2025-09-20 00:39:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969138031937417642',"RFK Jr.'s policies politicize public health, and they risk people's lives. Doing so with children is shameful.
https://t.co/7l8WYfjU9w",en,Tweet,0,3,0,3,299,2025-09-19 21:34:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://ncnewsline.com/2025/09/17/rfk-jr-s-vaccine-panel-expected-to-recommend-delaying-hepatitis-b-shot-for-children/,,
'1969122607350861853',"We all know that housing is a necessity, but lately it's harder and harder to afford.
 
I was proud to bring federal funds for the Hope Village at Method, an affordable housing development for former foster youth.
https://t.co/lq7rpX1SsE",en,Tweet,0,5,2,3,417,2025-09-19 20:33:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://hoodline.com/2025/09/raleigh-celebrates-opening-of-hope-village-a-new-affordable-housing-development-for-former-foster-youth/,,
'1969074198602457155',"For months, Trump and Republicans have attacked the services we rely on, including FEMA, the VA, Medicaid, and SNAP. I voted against their partisan shutdown bill.
 
@HouseDemocrats are ready to work on bipartisan funding bills that protect Americans' healthcare and lower costs. https://t.co/OB1PZsEfK8",en,Tweet,2,32,11,20,3748,2025-09-19 17:20:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OOX89WkAATS1k.jpg
'1968819584942637176',"Nothing brightens a busy day on Capitol Hill like puppies and kittens. So many animals are in need of loving homes.

Thanks to @HABRITweets for bringing their furry friends to Capitol Hill and for all you do in our communities. https://t.co/P7UtL9G5J4",en,Tweet,0,8,2,0,1323,2025-09-19 00:29:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Km-hqWoAADqMn.jpg
