tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970625188405322123',"The College of the Albemarle serves seven counties, promoting opportunity and transforming lives. A legislative affairs meeting on campus highlighted the importance of Pell Grants as a crucial factor in student success and workforce development. https://t.co/7iIlQFjKRH",en,Tweet,0,1,1,1,240,2025-09-24 00:03:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kRIF5WEAA5d7F.jpg,https://pbs.twimg.com/media/G1kRIF-XAAAdulw.jpg"
'1970619729078333950',"Electric cooperatives power homes, schools, and small businesses across eastern NC. At Roanoke Cooperative, co-op leaders are advocating for bold solutions, such as permitting and FEMA reform, as well as broadband expansion, to ensure we are protecting hardworking families. https://t.co/hgfZ1ty9vn",en,Tweet,0,0,1,1,285,2025-09-23 23:42:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1kMMYfWoAEr0FU.jpg
'1970267565780873670',"Investing in education and workforce training shapes eNC’s future. Privileged to tour the Lenoir Community College Senator Jim Perry Aviation Center for Excellence at the NC Global TransPark, which will prepare future aviation leaders via hands-on learning and innovative tech. https://t.co/dt4iSNQdY1",en,Tweet,0,1,1,0,222,2025-09-23 00:22:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fL5_aXAAAZF7h.jpg,https://pbs.twimg.com/media/G1fL5_YWQAEnVr9.jpg,https://pbs.twimg.com/media/G1fL5_TWEAA7dYR.jpg,https://pbs.twimg.com/media/G1fL5_TXMAAQ1xt.jpg"
'1970259068515233856',"Every person deserves to live free from fear and violence. Visited SAFE in Lenoir County, a nonprofit organization providing critical shelter and support for survivors of domestic violence in Lenoir &amp; Greene counties. https://t.co/zFCdZSeYk3",en,Tweet,0,2,2,1,309,2025-09-22 23:49:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fELb6XoAAnigT.jpg
'1970258208183984468',"Shana Tovah to our Jewish brothers and sisters in NC-01, across America, and around the world. The new year is a time for peace and renewal, and a time to pray for the safe return of the hostages still in captivity. https://t.co/7kivdB1AvA",en,Tweet,0,4,1,1,208,2025-09-22 23:45:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fDZZDW0AAaFoA.jpg
'1970251314371416426',Proud to visit and listen to what the next generation of leaders and changemakers are thinking. Inspired by the bright minds at Lenoir County Early College High School! https://t.co/ilEoIND8tU,en,Tweet,0,1,0,0,163,2025-09-22 23:18:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1e9IOcXIAAHwB0.jpg,https://pbs.twimg.com/media/G1e9IOtWIAA1hKl.jpg,https://pbs.twimg.com/media/G1e9IOiXEAAhzb7.jpg"
'1970249630794371341',"ReNu Life in Goldsboro stands as a model of compassion and purpose. Founded by parents of a brain injury survivor, it provides life-changing rehabilitation and support. Every survivor deserves dignity, independence, and the opportunity to heal. https://t.co/fI8Mhq3DFF",en,Tweet,0,1,2,0,214,2025-09-22 23:11:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1e7mFsXAAA7__m.jpg,https://pbs.twimg.com/media/G1e7mFoWEAAB9j4.jpg,https://pbs.twimg.com/media/G1e7mFzXAAAztV2.jpg,https://pbs.twimg.com/media/G1e7mFxXQAApPCR.jpg"
'1970165270322020433',"Our seniors truly are the heart of Gaston. During our roundtable, participants shared significant concerns about support for rural hospitals, the solvency of Social Security, and the value of nutrition programs, highlighting the vital importance of these issues to our community. https://t.co/4WfqA3IFMK",en,Tweet,0,2,0,2,333,2025-09-22 17:36:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1du24iWcAMAygM.jpg,https://pbs.twimg.com/media/G1du24jWcAIxBot.jpg,https://pbs.twimg.com/media/G1du25aWcAQWqXg.jpg,https://pbs.twimg.com/media/G1du24gWcAIDjVT.jpg"
'1970153443248537653',"For our rural communities to thrive, we must ensure everyone has access to lifesaving healthcare coverage, without leaving anyone behind. To that end, we are cosponsoring the following three bipartisan bills supporting health insurance for patients and their families: 

▪️H.R. 5145, the Bipartisan Premium Tax Credit Extension Act, a bill to extend the Affordable Care Act (ACA) premium tax credits which are set to expire by the end of 2025, and which ensure healthcare remains affordable for 70,000 NC-01 residents and millions of others throughout rural communities and America.

▪️H.R. 3885, the Community TEAMS Act of 2025, legislation to amend the Public Health Service Act to provide community-based training opportunities for medical students in rural areas and medically underserved communities.

▪️H.R. 3514, the Improving Seniors’ Timely Access to Care Act of 2025, legislation to cut red tape for patients requiring secondary referrals to specialists from primary care providers, therefore removing often burdensome paperwork requirements.",en,Tweet,1,1,0,3,582,2025-09-22 16:49:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969772927319986607',We are standing up for the East. https://t.co/d7X5cVLeem,en,Tweet,1,1,1,1,190,2025-09-21 15:37:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969772849402425344/vid/avc1/1080x1920/ExRZ4s_y-Hj2MmtM.mp4?tag=21
