tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970467864432746949',"In Florida, we don’t want handouts, we want freedom.

The freedom to work hard, create jobs and live out the American Dream without the IRS breathing down our necks.

The IRS should work for the people, not against them.",en,Tweet,1,410,70,61,15761,2025-09-23 13:38:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970283327811887574',"Thank you @POTUS for taking autism research seriously.

We are Making America Healthy Again and we must put our children first.",en,Tweet,8,1476,263,102,28442,2025-09-23 01:25:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970226109573915052',"To our Jewish neighbors celebrating the High Holiday of Rosh Hashanah in Southwest Florida, across the Sunshine State, throughout our nation, and around the world: L'Shana Tova!

Wishing you a happy, healthy, and sweet new year.",en,Tweet,8,703,60,131,14497,2025-09-22 21:38:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1el3pWWMAATDPE.png
'1970200042850976160',"The left may call us names.
The left may defame us.
The left may protest us.

But we are steadfast in our mission.

We are fighting to Make DC Safe Again for ALL AMERICANS. https://t.co/k9An9wdB5M",en,Tweet,9,1612,237,127,35551,2025-09-22 19:54:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1eM5I-XYAAwerv.jpg,https://pbs.twimg.com/media/G1eM_ozX0AAbla4.jpg,https://pbs.twimg.com/media/G1eNSy8WgAAWHMW.jpg,https://pbs.twimg.com/media/G1eNEplXgAAuwrq.jpg"
'1970192479107289504',"🇺🇸Visit the nation's capital
🇺🇸Witness government in action
🇺🇸Cherish freedom, liberty, and the almighty
🇺🇸Learn our history and prioritize civics
🇺🇸Embrace American exceptionalism

This is the way forward. https://t.co/qD56hS6LCi",en,Tweet,17,3515,542,81,33556,2025-09-22 19:24:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970187753380839424/vid/avc1/1080x1920/OsDACgFklsrNUWgZ.mp4?tag=21
'1970152245707919831',"Thank you to the Taiwan Agricultural Trade Goodwill Mission for joining us at the United States Capitol.

The trade relationship between the State of Florida and Taiwan is important and mutually beneficial.

We look forward to building a prosperous future together. https://t.co/TXJX6Pfxrl",en,Tweet,4,414,66,21,24552,2025-09-22 16:44:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dijJUXEAAmZia.jpg,https://pbs.twimg.com/media/G1ditzdXcAEGSPP.jpg,https://pbs.twimg.com/media/G1di6Z0XEAA3UVn.jpg,https://pbs.twimg.com/media/G1djBOFWkAExwPZ.jpg"
'1970131752258609185',"We are the greatest country known to man.
We are the greatest innovators known to man.
Our freedoms come from the almighty above.

Our manifest destiny reaches to the stars and as we approach America's 250th birthday, we must remain mission-focused on Making America Great Again. https://t.co/M4u0WydZg4",en,Tweet,14,2249,356,131,31880,2025-09-22 15:23:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970130254736904192/vid/avc1/1920x1080/gQFfupSfAuT1YsKo.mp4?tag=21
'1969819039527469492',"We are living through the Third Arc of American history.

These are consequential times.
The future of our nation is at stake.
Having perspective is crucial.

🇺🇸Stand for what is right
🇺🇸Stand for your beliefs
🇺🇸Stand for America
🇺🇸Live like Charlie
🇺🇸Your voice matters https://t.co/f1rjfA3JPe",en,Tweet,108,9762,1779,220,65946,2025-09-21 18:40:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969818376319930368/vid/avc1/1920x1080/UDYIdhlvqA2U8kVV.mp4?tag=21
'1969810967753048466',"It was an honor to host @NASA this week at the U.S. Capitol.

Thank you to @NASAKennedy Director Janet Petro for joining us in Washington.

A special thank you to our heroic astronauts Butch Wilmore, Suni Williams, and Nick Hague for sharing your stories alongside NASA HQ staff. https://t.co/WkVYO5UoMf",en,Tweet,2,398,52,17,26847,2025-09-21 18:08:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1Yp6RKWEAAkQCw.jpg,https://pbs.twimg.com/media/G1YqKI0WgAA3-jU.jpg,https://pbs.twimg.com/media/G1YqP5IWUAAsMXD.jpg,https://pbs.twimg.com/media/G1YqRy4XkAAzY6e.jpg"
'1969477506550964515',"YES – If you're 18-24 y/o, you're an adult.

YES – If you commit crimes as an adult, you must be treated as an adult.

YES – In DC, 18-24 y/o criminals can be sentenced as juveniles.

YES – I wrote H.R. 4922 – ""The DC CRIMES Act"" to close this loophole.

YES – My bill just passed the House this week and already has strong Senate support.

YES – We are making our nation's capital safe again whether the far-left likes it or not.",en,Tweet,675,47634,7248,893,892782,2025-09-20 20:03:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969477249863700480/vid/avc1/1280x720/sfES4saOwsN971sZ.mp4?tag=21
