tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970586188043239442',"It’s great news that the man who tried to assassinate President Trump in Florida has been found guilty on all charges.

We will not allow political violence to go unpunished.",en,Tweet,0,8,1,7,371,2025-09-23 21:28:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970505520785109325',"Republicans passed and President Trump signed into law $50 billion for rural hospitals and rural healthcare.

This historic infusion of resources will improve patient care, support healthcare professionals, and keep our rural hospitals and clinics open and operational.",en,Tweet,0,126,28,21,7677,2025-09-23 16:08:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970454241421730311',"Recognizing a Palestinian state while Hamas terrorists kill innocent Israelis and hold hostages with no remorse is wrong.

I’m grateful that President Trump is working nonstop to secure the release of the hostages and advance peace through strength across the globe.",en,Tweet,0,139,18,18,7144,2025-09-23 12:44:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970231474293998002',"Wishing a safe and abundant harvest to our farmers and producers!

Iowa agriculture will continue to be the breadbasket to the world. https://t.co/g0wLCLtP0A",en,Tweet,0,13,1,9,1119,2025-09-22 21:59:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1erFUhWMAAXiB-.jpg
'1970165324222722425',"Meeting with Iowa veterans and ensuring that we support these heroes through the best healthcare and services that we have to offer is a top priority for me.

They have done the overwhelming duty of protecting our American way of life and our freedoms.
https://t.co/VvIx1YT0fk",en,Tweet,0,3,0,3,428,2025-09-22 17:36:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.timesrepublican.com/opinion/columnists/2025/09/supporting-our-veterans-and-honoring-their-service/,,
'1970139984758988905',"I’m excited to announce the 8 members who will serve on our 2025 Military Academy Selection Board &amp; recommend strong candidates to attend our nation’s military academies.

This is a an important task, and I appreciate these Iowans for lending their time &amp; talents to this process. https://t.co/LAnjSd2Qva",en,Tweet,1,1,0,1,321,2025-09-22 15:55:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1dX3_gX0AESfPD.jpg
'1970134832719200466',"The working families tax cuts we passed as Republicans are the culmination of President Trump’s promises to revive manufacturing, support agriculture &amp; lower costs for families.

With these tax cuts and pro-growth provisions now law, our economy will grow!
https://t.co/cFaAdy2kwz",en,Tweet,1,35,13,22,8335,2025-09-22 15:35:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nwestiowa.com/opinion/feenstra-delivering-tax-cuts-for-working-families/article_214e9f24-98f0-41dc-97c5-7a2a305d3dcc.html,,
'1969467847223943561',"After meeting with FEMA, I’m glad to announce that we secured $1.8 million for Rock Valley Community School District for ongoing flood recovery.

I will not stop until the people of Rock Valley receive the full relief that they need and deserve.
https://t.co/7L5F21PLVF",en,Tweet,0,7,0,1,467,2025-09-20 19:25:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nwestiowa.com/nwest_iowa_review/1-8-million-to-rock-valley-school-for-flood-recovery/article_c0c27ffb-1f16-46ff-8324-20a6d96fc980.html,,
'1969115305340187062',"On National POW/MIA Recognition Day, we pause to thank those courageous Americans who were prisoners of war for their service and sacrifice.

We also keep those who are still missing in action in our thoughts and prayers.",en,Tweet,0,6,2,3,380,2025-09-19 20:04:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969054990078550197',"Charlie Kirk was a devoted husband and loving father who committed himself to our American values of civic discourse and free speech.

I was proud to support a resolution honoring his life and legacy while condemning political violence in the strongest terms possible. https://t.co/MTXqJEqVWA",en,Tweet,0,6,0,3,309,2025-09-19 16:04:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1N9E3_WsAAk5YZ.jpg
