tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970516446649147785',"This month, I was proud to stand with members of the New Dem Coalition to unveil our Border Security & Immigration Framework: a commonsense plan to secure our borders, grow our economy, and treat people humanely. This is the immigration plan the American people have been waiting for.",en,Tweet,1,7,3,0,636,2025-09-23 16:51:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1iuPPDWYAAVgW7.jpg
'1969519954404712523',"🌟Hispanic Heritage Spotlight🌟

I’m proud to highlight Zack Quintero, Executive Director of the National Hispanic Cultural Center. As a dedicated leader in our district, Zack champions the power of culture, representation, and community every day. #HispanicHeritageMonth #LatinoLeaders",en,Tweet,1,5,2,0,277,2025-09-20 22:52:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HispanicHeritageMonth,,photo,https://pbs.twimg.com/media/G1Uj6AMXAAAnpim.jpg
'1967666165737767249',"⁨#HispanicHeritageMonth is a moment to honor the culture, history, and contributions of members of the Hispanic community who have strengthened our nation for generations. As a first-generation Mexican-American, I’m proud to represent southern New Mexico — a community deeply rooted in Hispanic heritage and tradition.⁩",en,Tweet,0,10,3,0,563,2025-09-15 20:05:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HispanicHeritageMonth,,photo,https://pbs.twimg.com/media/G06N8IOXEAAT12v.jpg
'1966222949473722392',"Calling all middle and high schoolers in NM-02! The Congressional App Challenge is now open until October 30, 2025. This is a nationwide opportunity for U.S. students to compete against their district peers by creating and exhibiting a software app for web, PC, tablet, mobile or other platform of their choice.

Learn more and apply at https://t.co/SKWIKdWLar",en,Tweet,0,3,1,0,587,2025-09-11 20:30:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0ltWJwXQAENcsU.jpg
'1966128201069113736',"Today, we honor the lives lost on September 11, 2001, the resilience of survivors, and the courage of first responders. We stand with the families forever changed and remember the heroes who rose in the face of tragedy. May we never forget. https://t.co/n9nc8GV1Zg",en,Tweet,0,12,4,0,522,2025-09-11 14:14:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kXKD5XIAAOhY_.jpg
'1965946047332819237',How many wake up calls does this country need? Time's up — we need to pass meaningful legislation to protect our young people from gun violence.,en,Tweet,0,16,5,0,1911,2025-09-11 02:10:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965942624659063024',"I grew up on both sides of the border, so I know we need leaders in Congress who are willing to meet the moment we’re in and propose immigration reform that Americans can get behind. Let’s move forward. https://t.co/8sJUVLhTI3",en,Tweet,0,11,3,0,895,2025-09-11 01:57:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965942475966603264/vid/avc1/720x1280/wMxEh7RZMCejkCAK.mp4?tag=14
'1965862535409857010',"My thoughts are with Charlie Kirk, his wife, and two kids after this horrifying attack. Political violence is never acceptable, and no one should ever have to go through this.",en,Tweet,1,25,6,0,3862,2025-09-10 20:38:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965167292544667713',"I’m proud to introduce the CLEAR Act, a bipartisan bill that invests $100M a year to help states, Tribes, and territories prepare for disasters, protect families, and build resilience. 

From wildfires to floods, New Mexicans know the stakes: every $1 we invest in hazard mitigation saves $6 in rebuilding costs. That’s smart, life-saving policy.",en,Tweet,0,6,2,0,467,2025-09-08 22:36:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0WtONIWAAApZfE.jpg
'1965062736649568467',"Achenbach Canyon offers spectacular views and a rugged, gritty trail that takes you into the heart of the Organ Mountains. Thanks to LWCF, access to these public lands is maintained. We must protect the integrity of LWCF and access to public lands. https://t.co/ziOC8AjNQp https://t.co/Fe7PNS1zIV",en,Tweet,0,10,4,0,2185,2025-09-08 15:40:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.abqjournal.com/news/article_883421e4-c86c-44f2-8713-390235d6f2ed.html#tncms-source=home-featured-7-block,photo,https://pbs.twimg.com/media/G0VOJKpWAAAnz6I.jpg
