tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970623131808362795',"This morning, I met with local VFW and American Legion Post Commanders in CA-31 to discuss improvements to veteran care and resources. Our veterans bravely served our country and they deserve the highest quality care. https://t.co/0YvloHY0uD",en,Tweet,0,0,0,2,107,2025-09-23 23:55:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kPSt2agAAmT9E.jpg,https://pbs.twimg.com/media/G1kPStwbsAAjfmC.jpg"
'1970602470461026592',We can’t trust the science coming out of HHS right now. Listen to the medical experts. https://t.co/RGalZMdGCf,en,Tweet,0,1,1,0,113,2025-09-23 22:33:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.acog.org/news/news-releases/2025/09/acog-affirms-safety-benefits-acetaminophen-pregnancy,,
'1970582511156895973',"Thank you to @CHIRLA and @ImmDef for joining me to host a Know Your Rights roundtable to educate on the actions we can take to protect our rights. With the Supreme Court authorizing racial profiling and our communities being terrorized by ICE, it’s more important than ever to know your legal rights.
Thank you @BPUSD for hosting us!
For immigration resources and a list of your rights, visit https://t.co/Cjvi98M8HX.",en,Tweet,0,0,0,1,136,2025-09-23 21:14:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jfiCGbMAA7JNt.jpg,https://pbs.twimg.com/media/G1jfiCGakAAoIq5.jpg,https://pbs.twimg.com/media/G1jfiCEaoAMisPS.jpg"
'1970292334039539798',"This morning, I joined my colleagues and union leaders to stand up for our First Amendment rights. This is the United States of America – a nation that does not silence voices of dissent. https://t.co/VQncgXgKJt",en,Tweet,0,4,1,1,216,2025-09-23 02:01:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fibpEbkAAKO1P.jpg,https://pbs.twimg.com/media/G1fibpEaoAMlxKM.jpg,https://pbs.twimg.com/media/G1fibpQaoAABHPi.jpg"
'1970250907578196015',"Wishing all those celebrating in CA-31 a happy, healthy and sweet new year. Shanah Tovah! https://t.co/5LvBKoobyF",en,Tweet,0,5,0,0,132,2025-09-22 23:16:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e8wLvWsAI6JJO.jpg
'1969869286920564944',The DOJ is not the President’s personal police. Weaponizing it against political rivals is the playbook of authoritarians. All Americans should be gravely concerned about this clear admission.,en,Tweet,0,2,0,1,374,2025-09-21 22:00:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969835265511563664',"Congratulations to Mountain View High School on the completion of their modernization project. @MtViewVikings have a new quad, lockers, and science center that will enhance the education and experience of students across campus. https://t.co/nix396jAW3",en,Tweet,0,1,1,0,178,2025-09-21 19:44:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ZCu0hbwAAx2Rp.jpg
'1969498412572950630',"Thank you to all of the local veteran organizations and local partners who helped to host the 6th Annual San Gabriel Valley Heroes in the Shadows: Veteran Stand Down Event in South El Monte. This event brought together veterans and their families from across the San Gabriel Valley to participate in an employment fair, gain resources from a variety of partner organizations, and strengthen our veteran community. To all our veterans, thank you for your service and sacrifice for our country.",en,Tweet,0,0,0,2,139,2025-09-20 21:26:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1UQXdMbQAA9vZx.jpg,https://pbs.twimg.com/media/G1UQXdIbQAAYw0T.jpg"
'1969473765223342455',The biggest threat to national security is our Secretary of Defense.,en,Tweet,0,2,0,1,230,2025-09-20 19:48:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969182587462828531',"Tune in this Monday, September 22nd for a livestreamed Know Your Rights roundtable on immigration rights in the education space. @CHIRLA and @ImmDef will be joining me to host this productive conversation and share resources with the community. We’ll be going live at 3:30 PM Pacific on my Instagram.",en,Tweet,0,3,2,1,274,2025-09-20 00:31:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
