tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970598191859945866',"Honored to speak with the Maryland Regional Minority Suppliers Development Council. Minority-owned businesses drive jobs and innovation, yet Trump’s agenda threatens to roll back hard-won progress. We must keep breaking barriers and expanding opportunities for MBEs—now more than ever.",en,Tweet,0,2,3,0,223,2025-09-23 22:16:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1j4nIGW4AAE_rd.jpg,https://pbs.twimg.com/media/G1j4nIKWUAAdkXK.jpg"
'1970576794660262204',"Maryland has lost over 15,000 federal jobs this year, the most in the nation. That’s a crisis for our state and our country. In our Fourth District, I’ve hosted a Federal Workers Resource Fair and a Job Fair to connect displaced employees with new opportunities. 

I’m fighting to reinstate workers, secure back pay, and protect the families who keep our government running. I will always fight for our federal workforce—protecting families here at home and strengthening our nation.

https://t.co/JscoLNgsAW",en,Tweet,0,5,0,2,225,2025-09-23 20:51:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970550996720914598',"The Beltsville Agricultural Research Center (BARC) has powered U.S. agricultural innovation for over a century. Closing it would gut food security research, climate resilience breakthroughs, and public health protections nationwide—while putting more than 600 scientists out of work and wasting taxpayer dollars. We will ALWAYS fight for BARC. Its legacy is national, and its impact is undeniable.",en,Tweet,0,2,0,2,264,2025-09-23 19:09:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970550883327819776/vid/avc1/746x418/iw5TCXpfW3_mBWuu.mp4?tag=21
'1970532212933058738',"Very proud of @UofMaryland for being ranked #16 among all U.S. public universities. 

This milestone reflects the dedication of students, faculty, and staff who continue to drive excellence in education and research.

Go Terps! 🐢",en,Tweet,0,1,0,0,261,2025-09-23 17:54:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970505606487330902',"This is your reminder to submit your application for the Service Academy.
The deadline for submission is September 30th. 

For more information, visit: 
https://t.co/KS7mIw75qY",en,Tweet,0,2,1,0,236,2025-09-23 16:08:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://ivey.house.gov/services/military-academy-nominations,,
'1970257939651805611',"Today, I toured the Beltsville Agricultural Research Center (BARC) with Maryland Delegation colleagues and local leaders, @ChrisVanHollen, @Sen_Alsobrooks, @RepStenyHoyer, @RepAprilDelaney, @RepRaskin, and @pgcountyexec. Together, we held a press conference to highlight the importance of protecting and investing in this vital research facility. 

We will always fight for BARC.",en,Tweet,1,7,4,4,309,2025-09-22 23:44:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1fDJ17WQAAQgSc.jpg,https://pbs.twimg.com/media/G1fDJ16XIAAaDxl.jpg,https://pbs.twimg.com/media/G1fDJ17W8AAj6FB.jpg"
'1970245727113625710',"As the Jewish community marks Rosh Hashanah, I send my warmest wishes for a year of health, peace, and renewal. This season reminds us of the power of reflection, forgiveness, and hope. May the year ahead be sweet, safe, and fulfilling for all who observe. https://t.co/XqICK02UeQ",en,Tweet,1,2,3,1,217,2025-09-22 22:56:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e4DBSWAAANcsJ.jpg
'1970227671234748902',"Health care is on the line in this shutdown fight. The Big Ugly Bill puts 245,929 people in my district at risk of losing coverage. I am standing up for seniors, kids, and working families in Prince George’s and Montgomery Counties to protect care and keep services running—no excuses, no delays.",en,Tweet,0,3,2,1,205,2025-09-22 21:44:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970227587038289920/vid/avc1/882x1568/qtlBXr7S7r97UCsD.mp4?tag=21
'1970188074056315165',"As a former prosecutor, I know justice must be blind. The DOJ’s job is to follow the facts and protect due process, not carry out political grudges. If politics takes over, equal justice falls and democracy breaks.

https://t.co/P5RTYVFoor",en,Tweet,0,2,1,1,193,2025-09-22 19:06:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.washingtonpost.com/national-security/2025/09/22/trump-justice-department-prosecutions/,,
'1969440801668133296',"I was honored to join today’s Walk to End Alzheimer’s- an emotional and powerful event that hits close to home. I lost my father to Alzheimer’s, and I carry that with me every day.

This disease affects millions of families, and it demands action. That’s why I’ll keep fighting in Congress for increased research, stronger support for caregivers, and sustained healthcare funding.
Thank you to the @ALZNCA and everyone who came out today. Your commitment gives families hope. Let’s keep up the good work",en,Tweet,1,7,6,1,242,2025-09-20 17:37:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Tb99vXkAALMpi.jpg,https://pbs.twimg.com/media/G1Tb99rXAAAdv-x.jpg,https://pbs.twimg.com/media/G1Tb99qXkAA7Ils.jpg,https://pbs.twimg.com/media/G1Tb99oXcAAbncU.jpg"
