tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970495222636265851',Shanah Tovah to all celebrating Rosh Hashanah! May this new year bring peace and blessings to you and your loved ones. https://t.co/Y84D0Vrg7t,en,Tweet,0,4,1,2,272,2025-09-23 15:27:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ia6bMXYAATHX-.jpg
'1969130121714938244',"Today, the House passed a resolution honoring the life and legacy of Charlie Kirk. He was a fearless defender of freedom, a devoted follower of Christ, and an extraordinary influence on the conservative movement and younger generations.

His tragic assassination stands as one of the darkest acts of political violence in my lifetime. We must come together to end this violence and honor the profound, lasting impact Charlie made on our country.",en,Tweet,0,6,2,7,383,2025-09-19 21:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969129980199055360/vid/avc1/1280x720/LXziNJZqB8SDZQuc.mp4?tag=21
'1968785400303931478',"This week, the House passed two bills to advance President Trump’s mission of making D.C. safer:

✅ H.R. 4922 – DC CRIMES Act: Lowers the age of all “youth offenders” from 24 to 18, so adults are tried as adults.
✅ H.R. 5140 – DC Juvenile Sentencing Reform Act: Lowers age to 14 for trying violent juvenile defendants as adults.

These bills ensure no crime goes ignored and every offender is held accountable, keeping D.C. safer for all.",en,Tweet,3,104,17,19,6157,2025-09-18 22:13:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968735224650694909',"Today we honor all who have served in the United States Air Force. Since 1947, they have stood as a symbol of American strength, unmatched in skill, power, and dedication.

From protecting our skies to advancing aviation and technology, their service keeps our nation safe and our freedoms secure. We are forever grateful.",en,Tweet,0,5,1,2,310,2025-09-18 18:53:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JaKVCXwAAWVBb.jpg
'1968397929707954236',"🚨 WIN: @WaysandMeansGOP just unanimously passed my bipartisan Fair and Accountable IRS Reviews Act through committee.

Taxpayers deserve safeguards against unjust IRS penalties. My bill restores accountability by requiring direct supervisor approval before penalties are assessed.

Protecting taxpayers → Restoring integrity.",en,Tweet,0,3,1,2,360,2025-09-17 20:33:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EndbsXcAI1jK6.jpg
'1968310021403410640',"On September 17, 1787, the Constitution was signed, laying the foundation for our great nation. It enshrined the principles of liberty, limited government, and individual rights that still define America today.

These ideals are not just words on paper; they are the safeguards of our freedom. And every day, they are tested. That’s why we must remain vigilant, standing firm in defense of the Constitution and the values that make our country strong.",en,Tweet,0,5,0,11,345,2025-09-17 14:44:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DXhC4XsAAG-7r.jpg
'1967951067670356008',"I enjoyed meeting with the American Academy of Dermatology and #WI06’s own Dr. Suzanne McGoey of Sheboygan, who runs an independent practice back home.
@aadskin is a strong voice for dermatologists nationwide, and I appreciated the opportunity to discuss how we can better support physicians from our nation’s Capital.",en,Tweet,0,2,0,6,345,2025-09-16 14:57:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#WI06,,photo,https://pbs.twimg.com/media/G0-RDL9WoAA_4Ca.jpg
'1966254829082427471',"Thank you, @realDonaldTrump, for standing with Wisconsin as we work to recover from the devastating floods. 
 
I was proud to join @SenRonJohnson in requesting vital flood relief to help our communities rebuild. https://t.co/JfnIyiD0UH",en,Tweet,1,6,1,7,693,2025-09-11 22:37:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0mKWAKXQAAt9R2.jpg
'1966207208678359486',"Honored to receive @leganalysis's ""Defender of Limited Government"" award. Our Constitution’s principles of limited government continue to guide me every day. I’ll keep fighting for commonsense policies that rein in government overreach and put the American people first. https://t.co/UBtRbK43S5",en,Tweet,0,13,3,5,778,2025-09-11 19:28:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0le5KYWMAAXkdv.jpg
'1966132352217694335',"24 years ago, our nation endured the deadliest terrorist attack in our history. Nearly 3,000 innocent lives were taken, and countless heroes put themselves in harm’s way to save others.

Today, we honor the victims, the first responders, and the everyday Americans who showed extraordinary courage in the face of tragedy.

In the days that followed, our nation stood united, strengthened in our resolve to protect our homeland, cherish our freedoms, and honor the values that make America strong.

🇺🇸 May we never forget.",en,Tweet,0,55,10,14,24195,2025-09-11 14:30:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0ka86FXEAAmpfD.jpg
'1965881836581912640',"Heartbroken by the loss of Charlie Kirk. Political violence has no place in America. We can disagree without resorting to hatred or harm.

My prayers are with his family as we remember Charlie, a hardworking young man and devoted father.",en,Tweet,0,21,4,4,952,2025-09-10 21:55:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1964040841309147595',"I had a great visit to Amcor in Neenah to see the impressive work happening right here in Wisconsin. From research and development to manufacturing and sustainable innovation, Amcor is driving the way forward.

Their commitment to keeping manufacturing strong in the U.S. and Wisconsin means more jobs, more innovation, and stronger communities.",en,Tweet,0,5,0,12,534,2025-09-05 20:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0BuGC6XcAA1rpX.jpg
