tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970569745104597242',"Democrats are threatening to shut down the government unless they get free healthcare for illegals &amp; taxpayer funded transgender surgeries. All with a $1 trillion+ price tag.

Republicans won't stand for it. If the government shuts down, it's on #ShutdownSchumer &amp; the democrats.",en,Tweet,7,763,333,222,15311,2025-09-23 20:23:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#ShutdownSchumer,,,
'1970292028862042384',"For years, autism rates climbed while Washington stayed silent. Now, President Trump (@POTUS) and @SecKennedy are stepping in and expanding support, funding research, and putting families first. Real action is finally here for those who truly need it.",en,Tweet,9,703,120,42,38317,2025-09-23 02:00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969507945835594110',"Today, I hosted my annual Congressional Military Academy Day, where students and families learned about the incredible opportunities at our nation’s service academies. So glad to see bright young leaders considering a future of service to our country! 🇺🇸 https://t.co/KT1UcWF971",en,Tweet,0,9,1,8,713,2025-09-20 22:04:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1UZCBeW0AAz6jn.jpg,https://pbs.twimg.com/media/G1UZCBhXAAIp4TZ.jpg,https://pbs.twimg.com/media/G1UZCBrXsAAXxff.jpg,https://pbs.twimg.com/media/G1UZCBcXoAAvcVI.jpg"
'1969130443350933838',"Today, 58 democrats voted against condemning Charlie Kirk’s assassination. 

Think about that. 58.

It shouldn’t be difficult for everyone to agree that the assassination of a Republican figure is horrible.",en,Tweet,0,11,2,5,632,2025-09-19 21:04:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968700322240491743',It's time to hold ANTIFA terrorists and those who fund them accountable. Thank you President Trump! @POTUS,en,Tweet,2,34,9,13,2571,2025-09-18 16:35:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968394652869882029',"Big News! My bill to permanently authorize OSHA's Voluntary Protection Program just advanced out of full committee. This program has a record of reducing injuries and illnesses while recognizing employers that go above and beyond. Instead of a one-size-fits-all, enforcement-only approach, my legislation will lock in a model that helps businesses comply, rewards excellence, keeps workers safe, and creates a true partnership between employers, employees, and OSHA.",en,Tweet,1,7,1,2,401,2025-09-17 20:20:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968326061873123676',"It's always a good day when we can celebrate our founding documents. Happy Constitution Day!

My office offers pocket-sized U.S. Constitutions to constituents of Tennessee’s First Congressional District. If you’re interested in requesting one, click on the link below ⬇️⬇️⬇️ 

All requested U.S. Constitutions will be available while supplies last and will be mailed. Due to a limited supply, one booklet will be available per household or family. 

https://t.co/qPlED18L0o",en,Tweet,0,3,1,3,352,2025-09-17 15:47:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967979001303138601',Professors who celebrate political assassinations in our country have no business teaching the next generation.,en,Tweet,2,49,12,5,1569,2025-09-16 16:48:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967725220283945021',.@POTUS President Trump is leading the way in America's fight against crime! 🇺🇸,en,Tweet,0,20,3,1,1201,2025-09-16 00:00:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967680729095004248',"After almost a year of hard work and dedication, I-26 in Erwin has officially reopened both lanes of traffic, following the devastating floods brought by Hurricane Helene last year.

This milestone is a testament to the resilience of our community and the tireless efforts of TDOT crews and local leaders who worked around the clock to restore this critical roadway. The reopening of I-26 means safer travel, stronger connections for families and businesses, and another step forward in rebuilding after disaster.",en,Tweet,0,9,1,3,719,2025-09-15 21:03:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G06bMO8XUAA1UzO.jpg,https://pbs.twimg.com/media/G06bMPCXsAACW3N.jpg"
'1967660387916017748',"Big news: @HHSGov @SecKennedy & @CMSGov Admin. @DrOzCMS just opened applications for the $50B Rural Health Transformation Fund that was created by President Trump's Working Families Tax Cuts. This is the largest rural health investment in our nation’s history, will create more access & keep services close to home.",en,Tweet,1,12,2,6,1430,2025-09-15 19:42:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966988760962527689',"Team Harshbarger had a great time at the Tug on the Taug Veterans Fishing Event yesterday! 🎣 🇺🇸 

It was an honor to join Project Healing Waters in supporting our veterans and enjoying one of East Tennessee’s most beautiful rivers. Events like these remind us of the healing power of community, the outdoors, and fellowship.",en,Tweet,0,5,0,3,795,2025-09-13 23:14:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0wl2XcWwAEFJkM.jpg
'1966589239820275729',Good. If you celebrated the assassination of Charlie Kirk you should not be working in our education systems. It's vile and disgusting.,en,Tweet,7,606,118,52,9950,2025-09-12 20:46:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966253767088611794',"This morning, Team Harshbarger joined neighbors, veterans, and community leaders in Washington County to honor the memory of those we lost on September 11, 2001. 

Moments like these remind us not only of the sacrifices made that day, but of the strength and resilience that defines the American spirit.

As we reflect on the lives lost and the heroes who answered the call 24 years ago, let us also take time to pray for our nation in light of yesterday’s tragic events. In times of grief and uncertainty, we must stand united and remain grounded in our faith.

We will never forget.",en,Tweet,0,8,0,18,24341,2025-09-11 22:33:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0mJYTWW0AAgSAq.jpg
'1966136534148796664',"It's been 24 years since an attack on America changed the world and brought our nation together like never before. Even as the years have gone by, these words still ring true, Never Forget. https://t.co/dIXJub3SHO",en,Tweet,0,11,4,3,561,2025-09-11 14:47:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kdk7pWwAAotVN.jpg
'1965893286935314621',"Charlie Kirk was a husband, father &amp; champion for an entire generation of future leaders. He devoted his life to creating dialogue, having civil discussions, &amp; upholding the ideals of our republic. Please join me in praying for his family, friends, &amp; the Turning Point community.",en,Tweet,3,270,37,24,31791,2025-09-10 22:40:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965852933695877196',Please pray with me for Charlie Kirk and his family right now.,en,Tweet,0,17,0,2,1971,2025-09-10 20:00:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965803044639215887',Say HER name!,en,Tweet,1,44,8,7,2888,2025-09-10 16:42:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965531856096346592',THIS is how the New York Times wants to frame this? You’re dang right it’s ignited a firestorm. It should ignite a firestorm in everyone! The brutal murder of Iryna Zarutska happened because of the radical Left’s soft-on-crime policies. And the mainstream media and democrats have barely said a word about it! It’s despicable.,en,Tweet,1,8,4,6,860,2025-09-09 22:44:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0b4zjpXsAA6TPC.jpg
