tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970205824174956660',"Students and I also took time to chat about foreign policy, gun violence, income inequality, and more. I'm always amazed by the incredible teens in our community. https://t.co/ur7kexpAH1",en,Tweet,0,5,0,1,595,2025-09-22 20:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eTwHlWoAABb_Z.jpg
'1970205692293456113',"Focusing on young people's mental health is so important, so I was glad to see how Novato High School is helping students with their brand-new Wellness Hub. https://t.co/KROFi8hHd7",en,Tweet,0,2,1,0,992,2025-09-22 20:16:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eTnJ2WoAABOIH.jpg
'1969086582985490508',"(2/2) Democrats are ready to support a budget that lowers costs and protects Americans’ health care, but the GOP refuses to negotiate.

Republicans have total control of the government. If there's a shutdown, they’re responsible.",en,Tweet,0,3,0,0,622,2025-09-19 18:09:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969086497396502590',"(1/2) We're 11 days away from a government shutdown, and Republicans just jammed through a partisan funding bill that will never pass the Senate – and then sent all of us home.",en,Tweet,0,3,0,0,999,2025-09-19 18:09:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969070214156349614',"RFK Jr. is taking our country back decades, and it’s going to cost lives. He is grossly unqualified and should never have been confirmed in the first place. 

This science-denying conspiracy theorist needs to resign before we have another self-induced public health crisis on our hands.",en,Tweet,0,30,4,4,2837,2025-09-19 17:04:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969038160500822383',"I'm hearing from #CA02 constituents like Anca who are dealing with the impacts of wildfires up and down the North Coast.

My team and I are working hard to assist you all in any way we can. To contact us for help with a federal agency, please visit here: https://t.co/U85ZaBRsne https://t.co/cS6JLuAOrW",en,Tweet,0,4,0,0,386,2025-09-19 14:57:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#CA02,https://huffman.house.gov/helping-you/help-with-a-federal-agency,photo,https://pbs.twimg.com/media/G1NtxQZW4AAk0r3.jpg
'1968750148491579634',"This is authoritarianism 101. Trump is abusing his power to intimidate and silence critics, and Jimmy Kimmel is just his latest target.

I'm signing onto @yassaminansari's resolution to reaffirm the right to free speech and denounce what’s happening.",en,Tweet,1,21,4,7,824,2025-09-18 19:53:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968722703541498143',"Greenhouse gases are both endangering public health and fueling the climate crisis.

Trump's solution? Dismantling our systems that limit these emissions.

His denial of science, truth, and the global crisis is out of control, and Republicans are doing less than nothing to stop him.
https://t.co/4bkF5xp0ED",en,Tweet,1,3,0,0,397,2025-09-18 18:04:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968066703621075431',"ATTENTION: all young coders in #CA02!

You can still submit applications to the Congressional App Challenge by October 30th at 12 p.m. ET.

Learn more and apply here: https://t.co/VzlAehTfs8",en,Tweet,0,2,0,0,473,2025-09-16 22:37:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#CA02,https://huffman.house.gov/helping-you/congressional-app-challenge,,
'1967944251389731007',"Great to chat with @billmckibben about the importance of renewable energy in addressing the climate crisis, the challenges posed by fossil fuel interests, and more.

I'm grateful for conversations like this as we work to accelerate the transition to a sustainable energy future. https://t.co/Bqt0UAMNxd",en,Tweet,1,15,5,1,802,2025-09-16 14:30:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-K3gPXsAA1_7a.jpg
