tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970549002052538668',"Freedom to speak your mind is a fundamental right to the foundation of our democracy. We should never take the rights afforded to us in our Constitution for granted. That's why I'm pleased to see that the Disney company did not succumb to the censorship threats that were made by this administration. 

So tonight, Jimmy Kimmel is BACK! Defending free speech means protecting the freedoms that give every American a voice.
 
In America, the people’s voice is not just heard; whether we agree or not, it prevails.",en,Tweet,0,3,0,2,350,2025-09-23 19:01:07,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1970261893458567213',"Team Costa had the opportunity to celebrate and recognize Henry De La Torre, who was sworn in as Fresno Postmaster at USPS. This celebration marks 34 years of dedicated service to our postal service.  

We thank him for his longstanding service and commitment to our Valley. https://t.co/Kj7JIyMee3",en,Tweet,0,0,0,0,270,2025-09-23 00:00:15,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1fGv2iXgAAcbi7.jpg
'1970231644415009202',"Wishing a happy Rosh Hashanah to all those celebrating! This holiday is a time of self-reflection, renewal, and setting intentions for the year ahead. 

May the new year bring peace, joy, and blessings to you and your loved ones.",en,Tweet,0,1,1,0,250,2025-09-22 22:00:03,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1969506973897855142',"Calling all CA-21 students! The 2025 Congressional App Challenge is here — your chance to showcase your coding and app development skills. 

Want to participate? Check out the details below ⤵️ https://t.co/pwPMCSa4MZ",en,Tweet,0,0,1,0,270,2025-09-20 22:00:28,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1UYJv7X0AAf8Mh.jpg
'1969065366908211213',"This budget fails to meet the real priorities of my constituents and the people of the San Joaquin Valley. 

I do not support shutting down the government, but I will not stand by and allow my constituents to face higher health care costs or see their care stripped away. 

Democrats put forth a compromise proposal that keeps the government open and permanently locks in lower healthcare costs through the Affordable Care Act (ACA).

We owe it to the Valley and to the nation to deliver a budget that truly puts people first.",en,Tweet,0,3,0,4,579,2025-09-19 16:45:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968860119778677115',"To avoid a government shutdown, we need bipartisan cooperation.

It’s clear we must improve communication and work together to get this done. https://t.co/GWLGU9aqnY",en,Tweet,1,3,0,1,404,2025-09-19 03:10:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968860031547490304/vid/avc1/1280x720/luKs6mUlGJ21FJ3-.mp4?tag=21
'1968800967643513233',"Happy 78th Birthday to the @usairforce! 

Today, we celebrate seventy-eight years of the brave men and women whose unwavering dedication has safeguarded our freedoms and ensured America’s security. 

We are forever grateful for their service and commitment to our nation.",en,Tweet,0,2,2,0,270,2025-09-18 23:15:03,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1968767908919620041',"Great meeting with Richard Navarro of Fresno and his colleagues @AmericanCancer about advancing the Medicare Multi-Cancer Early Detection Act. 

Early screenings save lives. We must act now to make them accessible for all seniors & extend health care tax credits for families who need relief.",en,Tweet,0,1,1,1,316,2025-09-18 21:03:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1J32PrXgAE0VRV.jpg,https://pbs.twimg.com/media/G1J32PsWgAA__FG.jpg,https://pbs.twimg.com/media/G1J32QVWUAEXu9r.jpg"
'1968758071091413097',"The continuing resolution Republicans are pushing is more of the same – hitting into the pockets of hardworking, middle-class Americans. 

Instead, we must prioritize America's healthcare and put families first. https://t.co/OAquxhubTi",en,Tweet,0,1,0,2,276,2025-09-18 20:24:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968757880083075072/vid/avc1/968x540/hJC3ndZEueYvKlP3.mp4?tag=21
'1968490285593190637',"Every child deserves a fair shot at education, health, nutrition, and family support.

That’s why I met with the @FresnoEOC to discuss the vital importance of the Head Start program and the need for continued funding. https://t.co/W74HSdKGbn",en,Tweet,0,2,0,1,363,2025-09-18 02:40:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1F7exwaQAArZwJ.jpg
