tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970566473144750325',"Passing a budget is our most basic job—but Republicans refuse to negotiate in good faith. Their plan raises costs &amp; slashes healthcare, and they won’t come to the table to discuss it.

Democrats are fighting for a bipartisan deal to keep the government open &amp; protect families. https://t.co/kymE0SXxBO",en,Tweet,0,4,2,1,208,2025-09-23 20:10:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jbw1_WoAAfSCK.jpg
'1970535653168554263',"Wishing all those celebrating #RoshHashanah in #MD02 a happy, healthy, and sweet new year!

Shanah Tovah U'metukah! https://t.co/djzhph84v4",en,Tweet,0,6,2,1,401,2025-09-23 18:08:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#RoshHashanah,#MD02",,photo,https://pbs.twimg.com/media/G1i_u6EWIAA1aiU.jpg
'1970508647911321882',"Housing policy isn’t always easy to navigate. That’s why I hosted a bipartisan Housing 101 briefing for Congressional staff with @NHLP’s Noelle Porter &amp; Haleigh Quinn, @NLIHC’s Kim Johnson, and @CenterOnBudget’s Sonya Acosta.

Thank you to everyone who joined us! https://t.co/FsMJJWcm44",en,Tweet,0,6,2,3,339,2025-09-23 16:20:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1ife-OXoAAM9ec.jpg,https://pbs.twimg.com/media/G1ife-GXwAAhKwY.jpg,https://pbs.twimg.com/media/G1ife-OXcAAUf7Q.jpg,https://pbs.twimg.com/media/G1ife-IXUAAYLPu.jpg"
'1970467119122006251',"About to join @c4 @BryanNehman on @wbalradio to discuss @Ravens, a potential government shutdown, Key Bridge funding and more. Tune in! 🎧",en,Tweet,0,3,2,1,540,2025-09-23 13:35:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970284356720816512',"I agree that we need to give the new Syrian government space to rebuild and strengthen its economy. At the same time, the interim government must protect the rights of all Syrians and promote a secure and fully representative Democratic society.",en,Tweet,1,6,0,2,321,2025-09-23 01:29:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970167576618483959',"#TeamMaryland is urging @EPA to maintain its landmark 2009 Endangerment Finding, which states that greenhouse gases endanger public health—a finding based on science and facts.

Rolling it back would fuel climate change, harm Marylanders, and give polluters a free pass. https://t.co/MgcL9ypTtc",en,Tweet,0,1,1,2,204,2025-09-22 17:45:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#TeamMaryland,,photo,"https://pbs.twimg.com/media/G1dw-AwWwAAL-tZ.jpg,https://pbs.twimg.com/media/G1dw-AyWQAAbpi0.jpg"
'1969134651441631531',"To the dedicated trades workers of #MD02, I want you to know that I will always have your back in Congress. You keep our community connected day-in and day-out, and that’s why I’m fighting for you. #NationalTradesmenDay 🛠️ https://t.co/kptXG6gSsY",en,Tweet,0,1,1,0,258,2025-09-19 21:21:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#MD02,#NationalTradesmenDay",,photo,https://pbs.twimg.com/media/G1PFh6kWQAA4QkI.jpg
'1969089759923351678',My statement on voting against a harmful Republican Stop-Gap Budget. https://t.co/AEAjxihj64,en,Tweet,0,1,1,3,217,2025-09-19 18:22:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1OcszdXsAE4kai.jpg,https://pbs.twimg.com/media/G1OcszVXgAAMSUq.jpg,https://pbs.twimg.com/media/G1OcszQW4AAPQ9z.jpg"
'1968758307071340748',"Keep our waters blue! 🌊🚰🏞️

The Trump admin &amp; House GOP are gutting clean water protections, firing EPA scientists, and siding with polluters.

That's why I joined @LCVoters &amp; @MDLCV to send a clear message: clean water is a human right that must be protected. https://t.co/HxTdRPtQ7k",en,Tweet,0,2,0,1,166,2025-09-18 20:25:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JvPo1XoAAo7zQ.jpg,https://pbs.twimg.com/media/G1JvPo6WAAAu2Tl.jpg,https://pbs.twimg.com/media/G1JvPo6XoAAKK0V.jpg,https://pbs.twimg.com/media/G1JvPo0WIAEtXap.jpg"
'1968693125779456113',"The takedown of Jimmy Kimmel mirrors the type of censorship we see in authoritarian regimes and is part of the White House’s ongoing effort to silence its critics and political opponents.

We must stand firm in defending free speech.",en,Tweet,0,6,1,2,244,2025-09-18 16:06:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
