tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970612663353835676',"Happy 76th birthday to the one and only Bruce @Springsteen!

The Boss is a Jersey and American hero.

Thank you for continuing to share your talent with Jersey — and Jersey with the world. https://t.co/i7DIsoVUl1",en,Tweet,0,8,0,2,999,2025-09-23 23:14:05,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,photo,https://pbs.twimg.com/media/G1kFxhYWoAAccON.jpg
'1970572906297012240',"Networks shouldn’t be bowing to political pressure, and politicians shouldn’t be abusing their power to silence dissent. 

This is America, and we have free speech for a reason.
https://t.co/G4EHF2yOn6",en,Tweet,0,2,2,7,941,2025-09-23 20:36:06,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,https://www.nytimes.com/2025/09/22/business/media/jimmy-kimmel-returns-abc.html,,
'1970544115419861297',"Trump and his allies in Congress are refusing to negotiate to keep the government open.

Government funding runs out in just 7 days and millions of Americans are facing skyrocketing health care premiums because of tax credits expiring at the end of this year.

This is an avoidable crisis. We must put politics aside and work across the aisle to get this done.",en,Tweet,0,3,2,5,1379,2025-09-23 18:41:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970465555967525140',"Honored to join Temple Sinai of Bergen County last night.

In light of last week’s antisemitic vandalism, where the synagogue’s Israeli flag was burned, it’s more important now than ever before that we stand together as a community and reject hate in all its forms. https://t.co/4skN8aP8uB",en,Tweet,1,59,7,12,7589,2025-09-23 13:29:32,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,photo,"https://pbs.twimg.com/media/G1h_98dW8AAzWxE.jpg,https://pbs.twimg.com/media/G1h_-ODWsAArn1s.jpg,https://pbs.twimg.com/media/G1h_-fJWoAAdK8G.jpg,https://pbs.twimg.com/media/G1h_-tuWYAEfEkO.jpg"
'1970237196595564822',"L’shana Tovah from my family to yours!

Wishing all who celebrate a sweet New Year! https://t.co/5WpMvD670Y",en,Tweet,0,17,2,5,1014,2025-09-22 22:22:07,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,photo,https://pbs.twimg.com/media/G1ewSfQX0AAiyRi.jpg
'1970220714788528585',"My full statement after the United Kingdom, Canada, Australia, France, and others formally recognized a Palestinian state: https://t.co/LfjHT9Ve6F",en,Tweet,2,132,12,50,11681,2025-09-22 21:16:37,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,photo,https://pbs.twimg.com/media/G1ehTJqXoAAVQ2B.jpg
'1970209407528038834',"I’m calling on House and Senate leadership to come together in a bipartisan way, fund the government, and extend the ACA premium tax credits.

We have just days before the government shuts down.

These aren’t red or blue issues — they’re pocketbook issues. Families deserve affordable health care.",en,Reply,0,0,0,1,546,2025-09-22 20:31:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970209405963550983',"Across the country, 22 million families will face higher premiums, and more than 4 million Americans will lose their coverage altogether. In New Jersey, more than 180,000 residents could lose health care.

Despite all this, the far-right jammed through a reckless budget that ignored the ACA tax credits — pulling the rug out from under our hard-working families.",en,Reply,0,2,0,2,565,2025-09-22 20:31:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970209404005064928',"In New Jersey, more than 454,000 residents — including 38,000 in my District — will see their @GetCoveredNJ health insurance premiums skyrocket.

The average family of four in Bergen County will see a 114% increase in their health care — more than $1,700 a month.",en,Reply,0,1,0,1,55,2025-09-22 20:31:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970209400615731507',"Today, I stood with health care workers at Bergen @NewBridgeMedCtr to sound the alarm. 🚨

If Congress doesn’t act, critical Affordable Care Act premium tax credits will expire at the end of this year — and families will get crushed. 🧵 https://t.co/0zaSyC0LKE",en,Tweet,0,2,1,2,909,2025-09-22 20:31:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eW4cdX0AAqNQB.jpg
'1970162851558850703',"Nearly 90% of aid trucks in Gaza are diverted or looted by Hamas before reaching families in need. That’s unacceptable.

I led my colleagues in urging the UN to take action to protect its trucks by deploying peacekeepers so humanitarian aid gets to innocent Palestinians — not Hamas terrorists.",en,Tweet,3,24,6,25,2713,2025-09-22 17:26:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dspCDWIAA-e66.jpg,https://pbs.twimg.com/media/G1dspCFWAAMsKQn.jpg"
'1970096286566060428',"Always great to spend time with families at St. Nicholas Church’s annual Greek Festival in Wyckoff! 🇺🇲 🇬🇷

Thanks for letting me help out in the food tent — can’t wait for next year! https://t.co/8eARUfwjx8",en,Tweet,1,8,2,6,1204,2025-09-22 13:02:11,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,photo,"https://pbs.twimg.com/media/G1cwHyAW8AAzW4a.jpg,https://pbs.twimg.com/media/G1cwIAuWMAAPFYM.jpg,https://pbs.twimg.com/media/G1cwISbXgAAhm2a.jpg,https://pbs.twimg.com/media/G1cwIf5WQAABPqB.jpg"
'1969870248380903777',"The #TeamGottheimer Constituent Service Team will be holding mobile office hours in Mahwah on Monday, September 22, and in Ho-Ho-Kus on Tuesday, September 23.

If you’re experiencing an issue with a federal agency, we’re here to listen & help with VA benefits, Social Security, Medicare, & much more.",en,Tweet,0,0,1,0,836,2025-09-21 22:04:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#TeamGottheimer,,photo,"https://pbs.twimg.com/media/G1Yru11WUAIxlYj.jpg,https://pbs.twimg.com/media/G1YrvjXX0AAWJXo.jpg"
'1969840580210381203',"NJ has the third most cases of antisemitic incidents in the country — and violence nationwide is only surging.

Our state cannot back away from the ADL’s critical work to fight hate, foster inclusivity, and protect Jewish communities through education.
https://t.co/TNeHCO4z4K",en,Tweet,0,10,1,10,868,2025-09-21 20:06:06,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,https://jewishinsider.com/2025/09/josh-gottheimer-new-jersey-state-board-of-education-cair-adl/,,
'1969809075983564944',"It was great spending time with families this weekend at Mahwah’s 30th Annual Town Day!

Thanks to Mayor Jim Wysocki for showing me around and our first responders for keeping us safe. https://t.co/ZgbjW3NDSg",en,Tweet,0,2,1,0,677,2025-09-21 18:00:55,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,photo,"https://pbs.twimg.com/media/G1Yq5HsXEAA2wQm.jpg,https://pbs.twimg.com/media/G1Yq5oLWwAEaVIn.jpg,https://pbs.twimg.com/media/G1Yq6GjXQAAeB3K.jpg,https://pbs.twimg.com/media/G1Yq6nhXcAAQYrn.jpg"
'1969742433991721185',"Iran’s reign of terror threatens Israel, our allies, and the world. We must all stand together to ensure Iran does not gain access to a nuclear weapon.

I’ve long called for the UN to reinstate snapback sanctions, and I’m glad to see them follow through.
https://t.co/iTlfmhmmu7",en,Tweet,0,19,2,13,5872,2025-09-21 13:36:06,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,https://www.washingtonpost.com/world/2025/09/19/iran-snapback-sanctions-nuclear-united-nations/a71278c4-950e-11f0-8336-4757e168ec2a_story.html,,
'1969512641782825090',"Hamas terrorists looting food meant for malnourished children proves what we’ve long known: they steal aid and starve civilians, including kids and babies.

The UN says nearly 90% of aid never arrives.

Hamas doesn’t care about children — only terror.",en,Tweet,0,28,13,9,1896,2025-09-20 22:23:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969477206234562825',"If your flight gets canceled or significantly delayed because of the airline, you should be compensated.

I’m fighting to put money back in your pocket when airlines are at fault for delays and cancellations.
https://t.co/0wyjWYE49q",en,Tweet,0,4,0,0,630,2025-09-20 20:02:11,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,https://newyork.news12.com/airlines-may-have-to-pay-cash-to-air-travelers-for-delays-and-cancellations,,
'1969431975053217943',"This week, I was proud to help pass a House resolution honoring the memory of Charlie Kirk.

There is no place for political violence in America. We must come together as a country, lower the temperature, and find ways to work together. https://t.co/OMo8lDzra5",en,Tweet,0,9,0,4,1513,2025-09-20 17:02:27,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,,video,https://video.twimg.com/ext_tw_video/1969431878298923008/pu/vid/avc1/720x1280/AAHAvnsoker4eLrU.mp4?tag=12
'1969379530318983647',"E-bike accidents have surged 293% between 2019 and 2022 alone, and too many tragedies are happening right here in North Jersey.

My E-Bike Safety Plan ensures our children are riding safely and that bikeshare companies enforce their safety rules.
https://t.co/Db1Bod0cSe",en,Tweet,0,1,2,1,640,2025-09-20 13:34:03,"<a href=""http://www.oneupapp.io"" rel=""nofollow"">OneUp App</a>",,https://www.northjersey.com/story/news/2025/09/16/nj-congressman-s-a-f-e-ride-act-josh-gottheimer/86164491007/,,
'1969198756315758630',"Today marks two years since Azerbaijan launched an ethnic cleansing of the indigenous Christian Armenian population — forcing more than 150,000 Armenians from their ancestral homeland.

As a member of the bipartisan Congressional Armenian Caucus, I will continue to speak out about this humanitarian disaster, fight back against violence and the abuse of Armenian prisoners in Artsakh (Nagorno-Karabakh), and stand strong with the Armenian people.",en,Tweet,0,15,6,6,1143,2025-09-20 01:35:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969179950533263551',"After the tragic killing of Charlie Kirk, we must do everything we can to lower the temperature and reject political violence in all forms.

FCC Chairman Carr’s actions to censor voices do just the opposite: they violate the law and undermine the very values — like freedom of speech — on which our nation was built.",en,Tweet,0,3,1,3,969,2025-09-20 00:21:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,video,https://video.twimg.com/amplify_video/1969149366871961600/vid/avc1/640x360/OOCa6V64Hdfejwuh.mp4?tag=21
'1969148124519121314',"The President promised to lower costs — but today’s funding bill fails to protect hardworking families from skyrocketing health care costs.
 
If we don’t act now, critical Affordable Care Act tax credits will expire. Premiums will soar and more than 4 million families nationwide will lose health care.
 
In Jersey, more than 454,000 people — including 38,000 in the Fifth District — will see their GetCoveredNJ premiums spike.
 
Our ask is simple: extend the credits and lower health care costs for families.",en,Tweet,0,1,1,3,1012,2025-09-19 22:14:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969148041765552128/vid/avc1/478x854/wZ2f7DJpcE8jN8L9.mp4?tag=21
