tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970602987857809689',Social Security at risk! https://t.co/s3wK1VUJUD,en,Tweet,0,1,1,4,265,2025-09-23 22:35:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970602762674040832/vid/avc1/2160x3840/fW5ORayE6wqlNI00.mp4?tag=21
'1970247813511717344',Happy Hispanic Heritage Month!!! https://t.co/PJwIlccpIn,en,Tweet,0,5,3,2,359,2025-09-22 23:04:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e58coW0AAgeL7.jpg
'1969838762218996169',"Which bill has gone up the most for your family lately? Housing, groceries, gas, or PG&amp;E?",en,Tweet,0,3,1,3,465,2025-09-21 19:58:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969173956465762322',"The No Bribes for Politicians Act is simple:

❌ No luxury gifts
❌ No side hustles
❌ No secret deals
❌ No family profiteering

Just a government that works for you.",en,Reply,0,4,1,0,217,2025-09-19 23:57:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969173952925770221',"No First Family cash-ins.

The presidency isn’t a family brand. This bill makes sure no First Family can profit from their name while in office. https://t.co/F6p83QWCml",en,Reply,0,1,1,1,258,2025-09-19 23:57:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PpRhDXkAAJjbM.jpg
'1969173946617495618',"Global business deals? Banned. 

When presidents cut overseas business deals, it puts private profit ahead of national interest. This bill makes sure that never happens again. https://t.co/hAUKeaNbzY",en,Reply,0,1,0,1,29,2025-09-19 23:57:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PpRPsWcAID_BL.jpg
'1969173942276436087',"Foreign side deals? Off the table.

Backroom contracts with foreign powers undermine America’s security. This bill makes sure our leaders aren’t negotiating for themselves behind closed doors. https://t.co/yES9xpbjQQ",en,Reply,0,2,0,1,33,2025-09-19 23:57:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PpQ9RXMAEPt7y.jpg
'1969173936689521013',"No side hustles in the White House. 

Running a business while running the country is a CLEAR conflict of interest. This bill makespublic office a full-time job. https://t.co/FZUa4hDAma",en,Reply,0,2,0,1,37,2025-09-19 23:57:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PpQlGWAAAkCJ9.jpg
'1969173929940885533',"Bans the Qatari Jet. Permanently.

Foreign governments should never be allowed to hand luxury gifts to our leaders in exchange for influence.This bill grounds corruption before it ever takes off. https://t.co/L3GfjS3ngu",en,Reply,0,2,0,1,44,2025-09-19 23:57:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1PpQI0W8AAg2lz.jpg
'1969173923670433835',"Washington should work for the people, not as a side hustle for the powerful. 

Here are 5 ways my new bill puts an end to political corruption.",en,Tweet,0,4,1,6,308,2025-09-19 23:57:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969118846121300020',Why fighting corruption matters. https://t.co/pJnASoaBHn,en,Tweet,0,1,1,3,278,2025-09-19 20:18:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969118712113307649/vid/avc1/2160x3840/LD56an2qScXjz6Mx.mp4?tag=21
'1968800992297725982',"Van Buskirk Park is getting a full makeover! New basketball courts, a splash pad for kids, and upgraded walkways. Glad we’re bringing home $7 million so South Stockton gets the park it deserves! https://t.co/vPagc8HWjB",en,Tweet,0,4,3,3,379,2025-09-18 23:15:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KWEWpWIAA6lf0.jpg
'1968781649321103734',3 ways to fight corruption. Our new landmark bill. https://t.co/cu8DDefR5L,en,Tweet,0,3,1,6,787,2025-09-18 21:58:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968781466751406080/vid/avc1/1080x1920/et5-weEsm9k0zlKx.mp4?tag=21
'1968373577457221781',Another new study telling us what we already know. Rent costs are OUT OF CONTROL in California. It can’t keep on going like this! https://t.co/OZt1G2Sbqc,en,Tweet,0,4,2,3,1131,2025-09-17 18:56:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ERVlPXQAAI4jr.jpg
'1968338394251219365',"Happy Birthday to my brilliant wife Pam. Lillian, Karina, and I are so lucky to have you! https://t.co/UmaeCYQ8mj",en,Tweet,0,3,0,1,365,2025-09-17 16:36:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DxVogWgAEgwBy.jpg
'1968113009064284638',We introduced a landmark anti-corruption bill: the No Bribes for Politicians Act. We’ve never seen this level of corruption in D.C. before. It’s time somebody stood up and fought back. Here’s what our bill does: https://t.co/Ki5Hlab9fV,en,Tweet,1,4,3,0,559,2025-09-17 01:41:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1AkWcWXgAAMKO3.jpg,https://pbs.twimg.com/media/G1AkWcGXcAAUfaF.jpg,https://pbs.twimg.com/media/G1AkWcKXEAEhdE2.jpg"
'1968090375928811699',Bipartisanship isn’t dead! I started the Build America Caucus with D’s and R’s because getting energy and housing costs down shouldn’t be political. Thanks to @Inclsvabundance for hosting an important conversation about how we can actually get things done for families. https://t.co/LYPqdsILSo,en,Tweet,0,2,1,3,458,2025-09-17 00:11:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1APxF-WsAAmH_I.jpg,https://pbs.twimg.com/media/G1APxF9XcAAmguQ.jpg,https://pbs.twimg.com/media/G1APxGKWcAAEraC.jpg"
'1968070156770504729',Corruption is everywhere. Our new landmark bill the “No Bribes for Politicians Act” will put an end to it. https://t.co/BG2VuxjAwP,en,Tweet,1,2,1,4,493,2025-09-16 22:51:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_9YJFWEAAB-Ip.jpg
