tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970505345383493865',"Under Chairman Cole’s leadership, @HouseAppropsGOP did our job in passing all 12 budget bills - demonstrating our commitment to transparency and fiscal responsibility.

The short-term CR allows us to negotiate a responsible solution for the American taxpayer. https://t.co/dX3oxN4Qf2",en,Tweet,0,13,2,6,901,2025-09-23 16:07:39,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1970503404112744448/vid/avc1/1566x884/ukPuLNV-LFS749ou.mp4?tag=21
'1969145331603386609',"Welcomed @GNOinc to the office this week to discuss economic development, energy, workforce development and more. https://t.co/lFCoCU44fw",en,Tweet,1,9,1,3,544,2025-09-19 22:03:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1PGfZnXgAIdu2J.jpg,https://pbs.twimg.com/media/G1PGg6nWAAAFaXZ.jpg"
'1969133483638346199',Met with representatives from the Army Corps of Engineers (Vicksburg District) about water infrastructure projects underway in Louisiana’s 5th District. https://t.co/hiMJ5mEW40,en,Tweet,1,11,2,1,427,2025-09-19 21:16:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1PDeMWWcAAMVdc.jpg
'1969107427594277296',Had the honor of joining actresses Mandy Moore and Lupita Nyong’o for a bipartisan conversation about women’s health research. I enjoyed listening to the personal stories of these wonderful advocates and sharing my perspective on the work ahead. https://t.co/OQ6nLvB9rg,en,Tweet,1,8,1,0,486,2025-09-19 19:32:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Or5ehW0AIAYsj.jpg
'1969027445518164356',"Louisianans welcome help from the federal government to increase public safety.

President Trump proved in DC that increased resources could help fight crime. Let’s see the same in New Orleans and Baton Rouge! https://t.co/pVAob2xPVO",en,Tweet,2,9,3,5,507,2025-09-19 14:15:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968679255748878336/vid/avc1/1280x720/33ny7sLUZEuhjcS_.mp4?tag=21
'1968782078410912014',"My Op-Ed in the @WashTimes: Under President Trump, we’ve seen a sea change in effective immigration enforcement.

Now with a new ICE facility in my district funded by the Big Beautiful Bill, Louisiana is leading the way in securing the border and keeping our citizens safe.",en,Tweet,0,12,0,2,834,2025-09-18 22:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968738185564881334',My Farm Rescue Act will provide more timely support for our Louisiana growers in time for the next planting season. Read more: https://t.co/nQqyPlVD7C https://t.co/N40FRIhuVu,en,Tweet,3,10,3,5,574,2025-09-18 19:05:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://bit.ly/46Ff1jj,photo,https://pbs.twimg.com/media/G1JZipSXAAAslpo.jpg
'1968687707451977788',"As a former higher education professional, I admire what Charlie Kirk did to promote free speech and make conservatives feel welcome on college campuses.

We have to treat each other with more civility and respect in politics. https://t.co/Q2cZmnXHD3",en,Tweet,2,10,2,1,556,2025-09-18 15:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968676469518811136/vid/avc1/1080x1080/6hHBmqpHX9uX6pYz.mp4?tag=21
'1968499728183636440',"Coming from the higher education world, I want our colleges and universities to champion open dialogue and diverse viewpoints - the very principles advanced by Charlie Kirk. https://t.co/YCGBnhP1aY",en,Tweet,0,18,2,2,1347,2025-09-18 03:18:02,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968476364756992000/vid/avc1/1280x720/M9wCPTGPJC9Kucm8.mp4?tag=21
'1968318760647086345',"238 years ago, America’s Constitution was signed by our founding fathers.

On this Constitution Day, we celebrate the founding document that shaped the future of our great country. https://t.co/WPM5KLIn9c",en,Tweet,1,15,2,0,537,2025-09-17 15:18:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DfNxlWMAAsds6.jpg
