tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970607392003105010',"We're seven days from a Republican shutdown and the president won't even meet with Democrats to discuss a bipartisan path forward.

Trump and Republicans would rather shut down the government than address the health care crisis they created.",en,Tweet,3,23,3,7,1079,2025-09-23 22:53:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970233573748715750',Shanah tovah u'metukah! Wishing a happy and sweet new year to all those celebrating Rosh Hashanah in Los Angeles and across the world!🍎🍯,en,Tweet,0,7,5,1,610,2025-09-22 22:07:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970209217580839257',"NEWS: My Enduring Welcome Act to reestablish the Office of the Coordinator for Afghan Relocation Efforts passed markup with bipartisan support last week! Congress will not abandon our Afghan allies in their moment of need. Grateful to @RepMcCaul, @RepMikeLawler, &amp; @repdinatitus. https://t.co/aWzqPV7dZD",en,Tweet,1,5,4,1,352,2025-09-22 20:30:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970209136647286786/vid/avc1/1080x1920/cx-pM8bBIbgk6f1t.mp4?tag=21
'1970161234730516586',"A $100K fee on H-1B visas will decimate US competitiveness, hurt American businesses, and further damage the US-India relationship.

American workers are suffering from Trump's rising unemployment &amp; inflation. How about fixing that instead of more harmful &amp; xenophobic policies?",en,Tweet,4,66,15,14,13345,2025-09-22 17:20:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969831030992355381',"Another unprecedented attack on the free press.

What is Pete Hegseth hiding? The American people deserve transparency from the Defense Department.",en,Tweet,0,14,2,3,952,2025-09-21 19:28:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969550195256893760',Didn’t peg Kash Patel as a words of affirmation guy,en,Tweet,10,451,40,14,62729,2025-09-21 00:52:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969513583894516052',"Basketball is more than just a game—it fuels learning, improves health, and unites us.
 
I had a blast celebrating the ribbon cutting of Crenshaw High's newly refurbished basketball court with our community, local leaders, and It’s Bigger Than Us. https://t.co/c74PABfS1Z",en,Tweet,0,4,3,0,269,2025-09-20 22:26:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969512928786235392/vid/avc1/1080x1920/gxZFF_AsjY_1ZeL7.mp4?tag=21
'1969116248014278691',"I love games! But I don’t love the games that Trump is playing with people’s health care.

So, I'm quizzing folks on the streets of LA to spread the word about what really happens if Trump gets his way and defunds Planned Parenthood. https://t.co/JauqwIWhP6",en,Tweet,2,5,4,12,1546,2025-09-19 20:07:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969116103507849216/vid/avc1/1080x1920/Q2JtiOmuSnCvSvjw.mp4?tag=21
'1969110165631684624',He's very familiar with garbage https://t.co/yFnlsTUOyD,en,Tweet,0,7,2,1,442,2025-09-19 19:43:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1OvQm2W0AEwdmB.jpg
'1969066573651497302',"I voted no on House Republicans’ one-sided, short-term continuing resolution.
 
Democrats were crystal clear: we’ll work in good faith to keep the government open—but we won’t rubber-stamp anything that worsens the health care crisis created by Trump and Republicans. https://t.co/2GG5ebwvQe",en,Tweet,0,5,3,1,292,2025-09-19 16:50:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1OHnORXcAAqn3l.jpg,https://pbs.twimg.com/media/G1OHnOcXcAEy94c.jpg"
