tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970623309168394413',"The UN has become the epicenter of antisemitism. Holding a Gaza meeting on Rosh Hashanah isn’t a coincidence—it’s a message: isolate the Jewish people, deny them a seat at the table and silence them. Totally unacceptable.",en,Tweet,1,29,2,3,1059,2025-09-23 23:56:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970522752802021422',"Without a stable, domestic food supply, America cannot be safe. From unfair trade practices to high fertilizer costs, our farmers are under attack, and that means our security is too. https://t.co/gzFjdo42oH",en,Tweet,1,14,4,6,888,2025-09-23 17:16:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970522164542480384/vid/avc1/1920x1080/YWeZ_aOIfbmBYMMZ.mp4?tag=21
'1970481740947898699',"@TinaCert it’s extremely troubling to see you call a murdered husband and father an “uneducated white boy” and his memorial service a “Drump rally.” Referring to anyone as an “uneducated white boy” is not only racially charged but also divisive. 

It’s clear that you view my family or any family that doesn’t share your political views, through the lens of hate. 

As a parent in this district, I expect our school leaders to set a positive example for our kids. You have chosen hate, division and political bias instead and for that you should resign.",en,Tweet,1,20,9,9,1138,2025-09-23 14:33:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iOsx4WYAAZ9TW.jpg
'1970231496544763923',"Washington is broken. Democrats are willing to shut down the government to protect big insurance while Americans are left behind. 

I joined @MariaBartiromo to discuss. Watch ⬇️ https://t.co/uvRv1PxD8E",en,Tweet,0,13,2,9,723,2025-09-22 21:59:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970230390141972480/vid/avc1/1920x1080/2A1OwgCTXk8yQoKu.mp4?tag=21
'1970131737473597728',"Delayed flight? That wasn’t going to stop us from celebrating this milestone of agricultural collaboration and international friendship.

Agriculture is far more than ranching & farming - it brings people together, drives innovation, and serves as the foundation of America’s prosperity. 🌾

This partnership is also a major economic win for Florida’s beef cattle industry, ensuring new opportunities for our ranchers and strengthening America’s role as a trusted supplier of safe, high-quality food. 

Thank you to the University of Florida for hosting, and to the Florida Cattlemen’s Association and the Taiwan Agricultural Trade Goodwill Mission for cultivating lasting partnerships that foster excellence, prosperity, and the protection of our national security.",en,Tweet,0,10,0,2,842,2025-09-22 15:23:04,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,"https://pbs.twimg.com/media/G1dQXW3W4AAc_d_.jpg,https://pbs.twimg.com/media/G1dQXWZWkAAIHBb.jpg"
'1969384594622251197',Being anti-mandate is not the same as being anti-vaccine. 💉 Families deserve the freedom to make informed health decisions—without government mandates. https://t.co/diuZutsVQc,en,Tweet,2,80,26,14,1585,2025-09-20 13:54:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969376842080452608/vid/avc1/1920x1080/jvFjmVPfoZD1dhog.mp4?tag=21
'1969058040574857406',"Today, we honor the brave service members who never returned home. Their courage and devotion to our nation embody the highest form of patriotism. We will never forget their sacrifice and remain committed to bringing every hero home. 🇺🇸 https://t.co/pYNTOrofh3",en,Tweet,0,11,4,2,656,2025-09-19 16:16:34,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,https://pbs.twimg.com/media/G1N_2eMWwAA9iwB.jpg
'1968820421656039612',"When lives are on the line, there’s no room for failure. Through relentless oversight on @HouseCommerce, we exposed years of neglect in the organ procurement system and demanded accountability. From shining a light on the failures of OPOs to advancing the Charlotte Woodward Organ Transplant Discrimination Prevention Act, we’re fighting to protect patients and ensure every family can trust this life-saving network.

https://t.co/HUF7Ej0oyO",en,Tweet,2,14,5,2,1139,2025-09-19 00:32:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968661195524579510',"Happy 78th birthday to the world’s greatest Air Force! ✈️ From strength in the skies to support at home, our Airmen embody courage and commitment. 🇺🇸 https://t.co/nscO19lBQk",en,Tweet,0,15,3,3,612,2025-09-18 13:59:39,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,https://pbs.twimg.com/media/G1IW7BXXAAERIyj.jpg
'1968401085015671211',"President Trump pushed back and he delivered! The Fed’s rate cut marks a pivotal victory for working families and small businesses, offering long-overdue relief from high borrowing costs. This move will help lower interest rates on mortgages, car loans, and business credit—fueling investment, job growth, and stronger economic momentum across the country. 🇺🇸",en,Tweet,0,23,6,5,1616,2025-09-17 20:46:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968371944794796438',"Got a bright idea? 💡

If you’re a middle or high school student who loves coding, app design, or thinking outside the box, this is your chance to shine. 🌟 Whether you’re just getting started or already building your own projects, the deadline to apply is October 30th.

Learn more and apply at https://t.co/EW9QjBhoj5. 

#NationalAppChallengeDay",en,Tweet,0,7,2,0,607,2025-09-17 18:50:16,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,https://pbs.twimg.com/media/G1EP2h-WEAAUmfI.jpg
'1968319793481555994',"Our Constitution is the cornerstone of the greatest nation on Earth — safeguarding our freedoms, defending our rights, and inspiring generations of patriotism. This Constitution Day and Citizenship Day, we celebrate the profound honor of calling this land of liberty our home. 🗽 https://t.co/jk1kphYJU5",en,Tweet,0,16,2,2,642,2025-09-17 15:23:03,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,https://pbs.twimg.com/media/G1Dga4lWgAAVxUB.jpg
'1967955868265431223',"Despite Dem outrage, Trump’s crime crackdown is delivering results. 💪 

I joined Rita Cosby &amp; John Catsimatidis to discuss why it’s working. Listen ⬇️ https://t.co/2jsmP9ThcN",en,Tweet,0,16,4,2,1118,2025-09-16 15:16:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967955482955423744/vid/avc1/1920x1080/cArFdYkvC2HrpCOy.mp4?tag=21
'1967715107598709069',"Watch our full press conference ⬇️

https://t.co/NpBKzSNJvd",en,Tweet,0,4,0,0,1288,2025-09-15 23:20:14,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,https://youtu.be/G3FNr1GyYQ8?si=u1GKDtOhXdZ6KLsw,,
'1967712708930818207',"Last week, alongside Congresswoman Sydney Kamlager-Dove and multi-platinum singer-songwriter Christina Perri, I launched a bipartisan resolution to expand prenatal screening for APS—because early detection can save lives and prevent countless miscarriages and stillbirths. https://t.co/O3ul0FA08U",en,Tweet,0,8,2,0,820,2025-09-15 23:10:42,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,"https://pbs.twimg.com/media/G064RggWAAA9VPx.jpg,https://pbs.twimg.com/media/G064RgpXoAA2g28.jpg,https://pbs.twimg.com/media/G064RhyX0AAkn25.jpg,https://pbs.twimg.com/media/G064RipWgAA2xQ2.jpg"
'1967637935928332772',"🚛 From coast to coast, truck drivers keep America moving. 

This #TruckDriverAppreciationWeek, we recognize the men and women behind the wheel who deliver for our communities every single day. 

From pushing for lower fuel costs and supply chain reforms to supporting workforce development, rural infrastructure projects, and driver training programs in our district, we’re working to keep America’s trucking industry strong.",en,Tweet,0,23,3,5,1272,2025-09-15 18:13:35,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",#TruckDriverAppreciationWeek,,photo,https://pbs.twimg.com/media/G050RgmWkAArlzp.jpg
'1967611203011870838',"The political assassination of Charlie Kirk is a national tragedy. If we as Americans continue to go down this path, no one succeeds. Division breeds destruction, and we all lose when we forget what unites us as Americans. 🇺🇸 https://t.co/9VXKaW8kSW",en,Tweet,0,27,1,8,800,2025-09-15 16:27:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967610359981756416/vid/avc1/1920x1080/TPqgelGe5WpbKoUz.mp4?tag=21
'1966971020642054603',"Today, I joined @AnnaKooiman to share my reaction to Charlie’s assassination and his wife Erika’s incredible address to the nation. We will overcome the hate and violence that has taken root like a cancer and we will do it peacefully. His mission lives on in all of us who will continue the fight for truth, freedom and faith.",en,Tweet,0,22,0,7,1030,2025-09-13 22:03:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966970875879510016/vid/avc1/960x540/joWh9mB9ttIZlCFa.mp4?tag=21
'1966558078473556053',"We CANNOT let hate become the new normal. Violence has no place in our Republic. Praying for Charlie’s loved ones, his TPUSA family, and for a country that chooses unity over hate, peace over violence, and hope over fear. 🇺🇸 https://t.co/0hs3rRwVvJ",en,Tweet,0,28,6,9,944,2025-09-12 18:42:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966557666077007872/vid/avc1/1920x1080/R-PntB0U-wfktfLE.mp4?tag=21
'1966170636977389650',"Great discussion with Nvidia co-founder Chris Malachowsky and his team along with the University of Florida on the importance of AI computing resources for academic research and AI education. With UF Provost Dr. Joe Glover representing Florida’s 3rd Congressional District, we highlighted how partnerships—like Nvidia’s work with UF—are helping expand AI opportunities in our state and beyond. With innovation, workforce development & national defense in mind, we are working on something big that is going to be transformational. Stay tuned! 🐊🇺🇸💪🏼",en,Tweet,0,9,2,4,1038,2025-09-11 17:03:04,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,"https://pbs.twimg.com/media/G0k9w-GWYAAdtVv.jpg,https://pbs.twimg.com/media/G0k9w95W4AAqCIX.jpg"
'1966125775515423218',"September 11, 2001—We remember the lives lost, salute the first responders, and reaffirm our promise: Never forget. Always honor. 🇺🇸 https://t.co/h5dQM4Md2C",en,Tweet,1,26,7,1,959,2025-09-11 14:04:48,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,https://pbs.twimg.com/media/G0kU-MIWsAAH2tJ.jpg
'1965854236874518594',"Lifting up Charlie Kirk and his family in prayer—for healing, strength, and justice.",en,Tweet,0,229,29,9,3927,2025-09-10 20:05:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965812456544227382',"This morning on the Bob Rose Show: yesterday’s APS resolution introduction, my FY2026 NDAA amendments, and what’s next in Congress. Listen here ⬇️ https://t.co/1rMog7bMjS",en,Tweet,1,14,4,5,1421,2025-09-10 17:19:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1965811929701560322/vid/avc1/1920x1080/rdVWjVv2U9Oucftw.mp4?tag=21
