tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970546478033608866',"The best thing for the American people is for both sides to come together and negotiate a bipartisan package to keep the government open, restore funding for local law enforcement and preserve tax credits that help Long Islanders afford health care. 

The President cancelling today’s planned meeting is a step in the wrong direction.

https://t.co/Xbv6lCC3eO",en,Tweet,0,4,1,5,303,2025-09-23 18:51:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jJlABXkAEnlUJ.jpg
'1970499468559634556',Our law enforcement officers put their lives on the line every single day and Congress has a duty to ensure they have the resources to protect our communities. I will continue to urge my colleagues across the aisle to put public safety above politics and deliver the support our officers need.,en,Tweet,1,2,0,5,409,2025-09-23 15:44:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1iewEoWUAA76B2.jpg
'1970465883366580267',"Stony Brook University is leading the nation in groundbreaking Quantum computing research. This investment will ensure that Long Island’s research corridor continues to attract the world's best researchers while boosting our economy.

As a member of @sciencedems, I am committed to supporting Long Island’s exceptional universities.

https://t.co/6T3JyOLRHm",en,Tweet,0,4,1,4,329,2025-09-23 13:30:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iARx9XsAAVAQk.jpg
'1970267941313626611',"Rising health care costs are straining Nassau County families and towns. We must prioritize defending and expanding access to high-quality, affordable care, rather than allowing policies that push coverage out of reach and drive up costs for hard-working Long Islanders.

https://t.co/OCExTgo0ft",en,Tweet,0,2,0,4,262,2025-09-23 00:24:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fMQCWWgAAnHdG.jpg
'1970255699482747303',"Shana Tova to Long Islanders celebrating Rosh Hashanah today. Wishing you a very happy, blessed and peaceful New Year. https://t.co/5O6vVa5QdH",en,Tweet,0,4,3,0,281,2025-09-22 23:35:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1fBGgOXgAAqqR4.jpg
'1969884943732850901',"Happy National New York Day!

From the bright lights of the city that never sleeps to the serene beauty of Long Island, New York is truly one of a kind. I’m proud to be a Representative of this incredible state. https://t.co/RY9PQCuMjI",en,Tweet,1,5,2,0,369,2025-09-21 23:02:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Zv6opW8AAC25m.jpg
'1969413985335210391',"Carle Place teacher Rosemary Hunter represented the best of who we are. For 26 years, she nurtured the young minds of Cherry Lane Elementary School and provided students a role model to look up to. 

My thoughts are with her family during this difficult time.

https://t.co/EooUaqnwVp",en,Tweet,0,4,1,0,413,2025-09-20 15:50:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1TDlRoWsAAVYdu.jpg
'1969116967077626234',"Immigration is one of the top issues I hear about from Long Islanders. That’s why I’m helping lead the bipartisan Dignity Act, a bill that will secure our borders while providing a pathway to lawful status for the law-abiding, hard working immigrants who are part of the fabric of our communities.",en,Tweet,0,8,3,8,499,2025-09-19 20:10:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1O1XQSW4AA1zUg.jpg
'1969088260887461997',"Republicans’ government funding plan fails to extend the Affordable Care Act tax credits, threatening health care access for 80,000 New Yorkers. These tax credits have cut health care costs for Long Islanders and I’ll keep fighting to make sure every family can access affordable care.",en,Tweet,0,1,2,3,364,2025-09-19 18:16:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ObRa9W4AA5tiE.jpg
'1969080913045963225',I was glad to speak with @FTAMarcMolinaro this morning to ask for full and fair consideration for @NassauCountyNY's application for a federal grant to upgrade the fleet of @theNICEbus buses and to build a new maintenance facility. I’ll continue working hard to improve transportation for Long Islanders and bring more of our tax dollars back home.,en,Tweet,0,2,1,0,302,2025-09-19 17:47:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
