tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970171925788860696',"Wishing all who celebrate a sweet and meaningful Rosh Hashanah. May this new year be filled with peace, joy, and blessings.",en,Tweet,0,4,0,1,319,2025-09-22 18:02:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969018425801408556',"On National POW/MIA Recognition Day, we honor the brave men and women who were prisoners of war and those still missing in action. Their courage and sacrifice will never be forgotten, and our nation remains committed to bringing every hero home. https://t.co/ckI8egk99h",en,Tweet,1,91,26,12,8093,2025-09-19 13:39:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Nbu9fWQAALg9B.jpg
'1968679265668391173',"Happy 78th Birthday to the @USAirForce! Proud to honor the legacy of courage, innovation, and strength that continues to protect our great nation. https://t.co/9zwPcqOhIC",en,Tweet,0,8,2,1,418,2025-09-18 15:11:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1InWhiWEAAispZ.jpg
'1968396351051272318',"From counterterrorism to cybercrime, the FBI’s work affects us all. Today, @JudiciaryGOP heard directly from @FBIDirectorKash. Watch below: https://t.co/7awUejGXzL",en,Tweet,4,81,23,15,5856,2025-09-17 20:27:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968396166065696768/vid/avc1/1280x720/G9Lq7YED-QoSLwJ3.mp4?tag=21
'1968322367178035667',"Today, @FBIDirectorKash is here testify in front of the @JudiciaryGOP.  Watch below:",en,Tweet,3,45,7,9,9374,2025-09-17 15:33:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968321249895190609',"Today, on Constitution Day, we celebrate the enduring principles of liberty, justice, and democracy that guide our nation. 237 years later, our Constitution continues to protect the freedoms we hold dear.",en,Tweet,1,11,1,4,433,2025-09-17 15:28:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967583431153307708',"Last Congress, I was proud to lead the REPORT Act. Signed into law in May 2024, this law modernized how tech companies must report child exploitation online. The results are already astounding ⬇️
↗️952% CyberTipline reports of child sex trafficking
↗️77% CyberTipline reports of online enticement

This surge means law enforcement has more leads to investigate, more evidence preserved, and more children protected. I’m proud of this progress—and committed to continuing the fight to protect kids online and bring predators to justice. #REPORTAct",en,Tweet,0,9,2,2,664,2025-09-15 14:37:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1967219784761954516',The Working Families Tax Cut is simple. We are putting the hard earned money back into the hands of working families. https://t.co/QikeFx84fe,en,Tweet,2,13,1,4,748,2025-09-14 14:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kpUe4XQAAulpR.jpg
'1966508095410192513',"Each member of Congress has the privilege of nominating exceptional students from their district to our nation’s service academies each year. This event is an opportunity for students, parents, and educators from #FL15 to learn more about the United States Service Academies and congressional nomination process. 

RSVP here: ​​https://t.co/Mvkx7tjKdP",en,Tweet,0,5,0,2,362,2025-09-12 15:24:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#FL15,,photo,https://pbs.twimg.com/media/G0knPRBWUAAdhfH.jpg
'1966253165151441321',"At the @MAHACaucus briefing this week, I heard from FreshRx about their work connecting patients with access to healthy foods. Nutritious, locally grown produce not only supports better outcomes for patients with chronic illnesses, but it also strengthens family farms using regenerative practices.",en,Tweet,0,5,0,2,759,2025-09-11 22:31:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0kpEGcXEAAmNgN.jpg
'1966228136934379912',I voted for the passage of the Stop Illegal Entry Act so that illegal immigrants who continue to break our laws are held accountable for their actions.,en,Tweet,0,19,6,2,1410,2025-09-11 20:51:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
