tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970226475723894843',"As the Rosh Hashanah celebrations begin, I wish all a happy and sweet New Year filled with peace and joy. May the coming year bring blessings for you and your families. Shana Tovah.",en,Tweet,1,5,4,0,639,2025-09-22 21:39:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969077167360299074',McBath Statement on H.Res.719 https://t.co/nfpdLKvo3Y,en,Tweet,1,9,5,23,1030,2025-09-19 17:32:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ORNZtX0AkU2lQ.jpg,https://pbs.twimg.com/media/G1ORNaGXUAAFYcG.jpg"
'1967972837454647441',"Read more about our bipartisan resolution:
@RepMrvan @RepHouchin @RepBrianFitz 
https://t.co/sVtRNC7gmn",en,Reply,0,1,0,4,587,2025-09-16 16:24:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://mcbath.house.gov/press-releases?ID=81A0B74A-BE7F-4294-8B94-E18EE5B7342F,,
'1967972834182844485',"Education is the key to opportunity. Our goal is to give all Americans, no matter their age, the chance to create the best possible lives for themselves and their families.

I'm grateful to my colleagues for joining me in recognizing National Adult Education and Family Literacy Week.",en,Tweet,0,4,2,22,1063,2025-09-16 16:24:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-j2adXAAALdym.jpg
'1967970650074829059',"Happy Hispanic Heritage Month! This month, we honor the contributions of our friends and neighbors in #GA06 to our nation’s history and culture.

Our district is among the most diverse in Georgia, and I am proud to represent you in Congress.",en,Tweet,0,7,1,1,647,2025-09-16 16:15:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#GA06,,,
'1966131578448269717',"On this 24th anniversary of the 9/11 attacks, we hold in memory those who are no longer with us, honor the courage and resilience of their families, and give sincere gratitude to the first responders who saved countless lives that day.

Invisible scars remain and continue to impact families across our nation. We must never forget.",en,Tweet,0,8,3,2,955,2025-09-11 14:27:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965861672436011380',"No matter our views or our differences, political violence has no place in our democratic process. Today's shooting on a Utah college campus is a horrific example of the current state of our country and it must be condemned.

Charlie Kirk and his loved ones are in my thoughts as we await updates.",en,Tweet,0,20,5,5,4824,2025-09-10 20:35:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965523104249381208',"Our public health system is on life support and Secretary Kennedy is trying to pull the plug.

The American people deserve better. https://t.co/qzyiRzpauA",en,Tweet,0,8,4,2,602,2025-09-09 22:10:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1965485390988517376/vid/avc1/1920x1080/kneYu89Z7jdUkZyG.mp4?tag=21
'1965487391822533060',"Thank you to @SouthFulton_PD law enforcement for your swift action.

I expressed my gratitude to Sergeant Cooper and Officer Johnson on the House Floor today. https://t.co/HjI4q2tacT",en,Tweet,0,2,0,0,429,2025-09-09 19:48:05,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1965485391315677184/vid/avc1/1080x1920/LoVUSNfeDUBMUYf5.mp4?tag=21
'1963643051466690584',"Read more about our letter to Speaker Mike Johnson in the wake of the deadly school shooting in Minnesota:

https://t.co/TgtGlXLwTN",en,Reply,0,0,0,1,388,2025-09-04 17:39:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://mcbath.house.gov/press-releases?id=2C44B12D-4F5E-43C8-962E-F7ABDBB15E99,,
'1963643048308457539',"Will this generation of Republican leaders pray not only for the victims, but also for the strength to end gun violence?

Will this generation of Republican leadership protect their kids and grandkids from gun violence while praying, or at school, or in the grocery store, or at a parade?",en,Tweet,0,6,2,6,553,2025-09-04 17:39:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0A9-NnXQAAgMdT.jpg
'1963319653549375589',"House Republican Leadership just tried and FAILED to censure our colleague @RepLaMonica.

She was sent by the people of New Jersey's 10th to be their voice, and has done so fearlessly. The political targeting of her is a clear attempt to give more power to this President's agenda.

She won’t back down, and neither will we.",en,Tweet,1,30,9,6,1555,2025-09-03 20:14:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gz8chpOXEAAlsYI.jpg
'1963229480572317926',"The recent attempt by Georgia Republicans to fine—and even jail—Democratic election board members for refusing to seat election deniers is a dangerous escalation of political games that undermine our democracy.

Those who don't respect our elections can't be trusted to oversee them.",en,Tweet,0,12,6,3,489,2025-09-03 14:15:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1960781599504785807',"With the school year barely underway, students have already experienced a mass shooting. In Minneapolis, two precious children who went to school this morning will never return home to their families.

That is the devastation we are dealing with in light of another senseless school shooting. My heart aches for the mothers, fathers, and siblings who are facing a pain no person should have to experience. Weapons of war do not belong in our schools or houses of worship.",en,Tweet,1,12,3,7,803,2025-08-27 20:08:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1955621623039701095',"No matter where you live, we must stand with the residents of the District of Columbia, speak out against these actions, and reject this dangerous overreach by the Executive branch.",en,Reply,0,3,0,2,476,2025-08-13 14:25:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1955621619767873634',"The announcement made by the Trump Administration to take control of the DC police is not just dangerous for the folks who call our capital city home—it's a warning sign to every community across our country.

If local government can be invaded for political gain, not one city or town is immune.",en,Tweet,0,13,3,12,775,2025-08-13 14:25:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1954947550953529668',"Read more about our work:
@SenOssoff @SenatorWarnock @RepHankJohnson  @RepDavidScott @RepNikema @SanfordBishop
https://t.co/GMizA1CTtz https://t.co/Uor8Y2MFVo",en,Reply,0,3,0,1,436,2025-08-11 17:46:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://mcbath.house.gov/press-releases?id=0919ACE9-3AE0-4C0B-9B66-CCCF6C7761A6,photo,https://pbs.twimg.com/media/GyFeNvAWgAAgkpZ.jpg
