tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970622459033591856',"Stay connected with my office by signing up for my newsletter! 📰

It’s the best way for you to stay informed on community events, helpful resources, and all the work I’m doing to push back on this Administration cruel attacks on our communities. 

To learn more about my work to support CA-29, sign up for my newsletter at the link in my bio!",en,Tweet,0,2,1,1,110,2025-09-23 23:53:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1kOrkbaQAAiM5i.jpg
'1970255277489627249',"Wishing all those who celebrate, a happy Rosh Hashanah!

As we come up on the New Year, this is a time to reflect and look ahead with hope and gratitude for all those in our community— Shanah Tovah!🎊 https://t.co/KzwxXCRsHG",en,Tweet,0,4,1,1,144,2025-09-22 23:33:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fAu4xaoAQh9dR.jpg
'1969100494820737251',"I voted against Republicans' spending bill that raises the costs of healthcare for working families across CA-29 and the country.

Because of Republicans' bill, millions will see their premiums soar – or even lose their care all together.

This week's #RivasRewind⏪ https://t.co/U4mSrFmBn7",en,Tweet,0,2,0,6,166,2025-09-19 19:05:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#RivasRewind,,video,https://video.twimg.com/amplify_video/1969100289530564608/vid/avc1/1080x1920/ROw0pvmIol80wnXL.mp4?tag=21
'1968767858525311348',"I joined @RepZoeLofgren, @SenAlexPadilla, @SenAdamSchiff, and our California colleagues to introduce the Redistricting Reform Act to end Republicans' gerrymandering power grab.

Our bill reaffirms the basic principle that our communities – from North Carolina to Texas – should be fairly represented in Congress.",en,Tweet,1,14,3,4,781,2025-09-18 21:03:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968767759958863872/vid/avc1/1080x1920/J3A_DYs6j8LbGbBF.mp4?tag=21
'1968461128393978217',"Happy Citizenship Day! 🇺🇸

Today we honor the values that our democracy was founded on and the stories of all those who came from all around the world to the United States to become citizens and pursue their American Dream. https://t.co/tuH1OkJHx5",en,Tweet,0,3,1,0,129,2025-09-18 00:44:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Fg9oUbkAE1sLU.jpg
'1968396307921273040',"Trump and @HouseGOP want to let polluters harm the public health of environmental justice communities like the San Fernando Valley.

My amendment in @NRDems' markup makes sure communities can have a say in what happens in their own backyards. https://t.co/tVKJZjfTq3",en,Tweet,0,6,3,1,316,2025-09-17 20:27:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968396170473996288/vid/avc1/720x1280/PevK5r7GozvUEeFN.mp4?tag=21
'1968363906545635816',"🚨Reminder: 2025 Congressional App Challenge submissions are due October 30!

If you or someone you know is a middle school or high school student in CA-29 and is interested in STEM, coding, or robotics, this is your chance to participate in this year’s Congressional App Challenge!

Find more info at the link in our bio and don’t forget to share with a friend!",en,Tweet,0,2,0,0,179,2025-09-17 18:18:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EIieYbkAAqaH8.jpg
'1968107742125773116',"Happy Voter Registration Day! 🗳️

I will keep fighting to ensure that all citizens have their voice heard and represented at the ballot box. 

✔️ Check your status and make sure you’re registered and ready to vote at: https://t.co/tNSBXaGrmm https://t.co/KmUSskeBgJ",en,Tweet,0,4,0,0,130,2025-09-17 01:20:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://registertovote.ca.gov,photo,https://pbs.twimg.com/media/G1Afj2SbwAAAaGq.jpg
'1968059675691348455',"As part of our honoring of Hispanic Heritage Month, Team Rivas joined the City of San Fernando’s El Grito Celebration! 🇲🇽🎊

Every year, our community comes together in San Fernando to enjoy cultural performances, delicious food, and live music that honors our Latino heritage and pride.",en,Tweet,0,3,1,0,137,2025-09-16 22:09:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0_z1snbwAA3dJb.jpg,https://pbs.twimg.com/media/G0_z1sVaEAkqdEC.jpg,https://pbs.twimg.com/media/G0_z1sTaUAAKbUm.jpg"
'1967994372882153817',"To be global leaders in innovation, we must invest and support opportunities for our future Latino STEM leaders.

The STEM industry lacks Latino representation and with the growing need for workers, we have an opportunity for Latino students to fill these roles. 

To kick off Hispanic Heritage Month, I am proud to introduce a resolution that highlights the importance of federal resources to Latino students to pursue a career in STEM and develop solutions to our most pressing issues.",en,Tweet,0,4,0,1,125,2025-09-16 17:49:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0-4c3naIAAQMfJ.jpg,https://pbs.twimg.com/media/G0-4c3iaEAAbBjG.jpg"
'1967353876585263227',"Yet another opportunity for low-income minority communities to get ahead has been stripped away by the Trump Administration. 

The decision to end grant funding for Minority-Serving Institutions will undoubtedly affect students’ ability to access educational programs that are meant to help them succeed in the future.",en,Tweet,0,4,0,1,168,2025-09-14 23:24:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G01x7INaIAARnML.jpg,https://pbs.twimg.com/media/G01x7IabAAASRXk.jpg"
'1966672458863583484',"I’m in Van Nuys doing another Summer Small Business Walk! 

I stopped by Cemitas Poblanas Don Adrian and Ay Papa Que Rico where I learned about how the owners pursued their American Dream and built staple restaurants in our community. 

To ensure that small businesses owners have what they need to be successful, I will keep advocating for federal resources that will support workers, businesses, and our economy.",en,Tweet,0,3,0,6,162,2025-09-13 02:17:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966672382653067266/vid/avc1/1080x1920/iwpZDfVJqqSrpqzX.mp4?tag=21
'1966624491125022850',"The Trump Administration wants to hand immigrants' data to ICE.

Absolutely not.

I co-sponsored @RepJuanVargas and @RepKamlagerDove to protect immigrants' data and prevent government agencies from handing confidential information over to ICE.

This week's #RivasRewind ⏪ https://t.co/JpXJ7gyq89",en,Tweet,0,6,2,1,131,2025-09-12 23:06:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#RivasRewind,,video,https://video.twimg.com/amplify_video/1966624215508951040/vid/avc1/1080x1920/F3_I9t9JaHSEGbxT.mp4?tag=21
'1966599669343285655',"Rama from Van Nuys is this week’s CA-29 casework spotlight!

She reached out to my office to receive help with processing her green card application urgently. 

Team Rivas reached out to USCIS on Rama’s behalf and was able to notify her of her status and ultimately get her application expedited. 

If you or anyone you know needs help processing applications with a federal agency, please reach out to my office at the link in my bio! 🔗",en,Tweet,0,4,0,1,134,2025-09-12 21:27:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0rD-d1akAANV2c.jpg
'1966540245769609598',"Serving the San Fernando Valley and the neighbors I grew up with in the halls of Congress is the honor of a lifetime.

Hearing from the needs of my constituents in neighborhoods across CA-29, including Toluca Lake, drives me to keep pushing back against Trump and fighting for the people I grew up with in the Valley.

Read my full article with the Toluca Lake Magazine here: https://t.co/nT5LEOtS1G",en,Tweet,0,6,1,0,221,2025-09-12 17:31:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0qN7hBbMAATjC1.jpg,https://pbs.twimg.com/media/G0qN7hHbIAAHUjX.jpg,https://pbs.twimg.com/media/G0qN7hMboAApQbN.jpg"
'1966293526389617015',"We need to strengthen the pathways for STEM education for all students across CA-29.

The National Science Foundation has awarded Los Angeles Valley College a $658,000 federal grant to help them build a cybersecurity pathway for students interested in STEM careers. 

Congratulations @lavalleycollege! I look forward to working together to establish accessible pathways for students in the Valley to enter the STEM workforce. 🤝",en,Tweet,1,4,1,1,184,2025-09-12 01:11:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0mtiexaMAIhePl.jpg,https://pbs.twimg.com/media/G0mtid_aMAMDyPP.jpg"
'1966252697646149881',"Our communities deserve to live in safety and without the fear that their personal information will be turned over to ICE to be used against them.

That is why I co-sponsored @RepKamlagerDove and @RepJuanVargas’ bills that protect highly sensitive information from being exploited by the Trump Administration.",en,Tweet,0,15,6,2,717,2025-09-11 22:29:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0mIZ46aUAAbyyA.jpg
