tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970620441221046339',"Watch these young Americans share why they love this country. Their answers will inspire you! 🇺🇸 

Why do you love America? #America250 https://t.co/nlPSjMO7il",en,Tweet,0,6,0,2,285,2025-09-23 23:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#America250,,video,https://video.twimg.com/amplify_video/1970612194220863488/vid/avc1/1080x1920/XEJ2jFKG1gNH6z0L.mp4?tag=21
'1970593709395005512',How do you celebrate the beginning of fall in St. George when it’s 89 degrees? With pumpkin chocolate chip cookies and Spice Spice Baby Swig. https://t.co/rRUQ41jbPs,en,Tweet,0,7,0,1,208,2025-09-23 21:58:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jzVphbUAAp43Z.jpg,https://pbs.twimg.com/media/G1jzVpgaoAczG1A.jpg"
'1969185361822642411',"This week's Highlight on the Hill! 

Full video 👉 https://t.co/ziP6GLzs5l https://t.co/LebCCcfIlk",en,Tweet,0,8,1,4,258,2025-09-20 00:42:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=BsCy1uDdDMM&t=34s,video,https://video.twimg.com/amplify_video/1969183376666988544/vid/avc1/1920x1080/zUMJ8Y-Y897illuL.mp4?tag=21
'1968428719036346549',"Now more than ever, we have to hold the line on what unites us as Americans: our shared belief in constitutional principles—including free speech and the right to peaceably assemble. https://t.co/YdNaYyPOhj",en,Tweet,0,13,3,8,474,2025-09-17 22:35:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968428176549257216/vid/avc1/1920x1080/CWH7aFMUgLenPhJN.mp4?tag=21
'1968366525938905092',"On this Constitution Day, let's unite behind the principles that make our country great.

I introduced the STARS Act granting free entry to our national parks on Constitution Day 2026 to celebrate America’s 250th anniversary. Until then, I encourage you to read the Constitution for yourself. Preserving the liberties enshrined there is up to us now.

Read more about the STARS Act here 🔗 https://t.co/PnMEL1jKNM",en,Tweet,0,4,0,1,302,2025-09-17 18:28:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967959694636662819',Join me tomorrow for my next telephone town hall. I look forward to hearing what's on your mind and sharing updates from Washington. https://t.co/YhuJyQLu21,en,Tweet,0,1,0,2,268,2025-09-16 15:32:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-Y6XObkAA45ND.jpg
'1966609969572135054',My message to Washington County: https://t.co/IymbSUKVvM,en,Tweet,0,27,1,7,7868,2025-09-12 22:08:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966609827871764480/vid/avc1/320x568/HTYushiEXbeKNiGG.mp4?tag=21
'1966558390924214696',"Thank you, law enforcement community, for your excellent, tireless work this week and going forward. I am completely confident that justice will be done.

Now, as a community, we can trust them to do their part while we play ours - to grieve, heal, and grow together as Utahns.

The violence from this week affects all of us in a lot of different ways. People are hurting and uncertain. 

We have an opportunity to invoke the best parts of ourselves and heal together, stronger, like Utahns have always done. Call your friends and neighbors who are hurting. Let's help each other work through the ugly feelings without being ugly to each other. Let’s rise to this occasion together.",en,Tweet,0,8,0,2,412,2025-09-12 18:43:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966276937934057738',"After yesterday’s tragic events, I want to speak directly to Utahns—and especially to our young people. My message is below.

Full video 👉 https://t.co/EdjkqQf9ox https://t.co/BRok0JUXz1",en,Tweet,0,7,0,3,448,2025-09-12 00:05:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=_XKrtVtiDQg&t=1s,video,https://video.twimg.com/amplify_video/1966275594011742208/vid/avc1/1920x1080/VXDW9awor4mupqhQ.mp4?tag=21
'1966182612537368942',"Following 9/11, President Bush said, ""Our enemies have made the mistake that America's enemies always make. They saw liberty and thought they saw weakness."" Liberty allows us to debate, question, innovate, adapt, and overcome. Liberty isn’t our weakness. It’s our greatest strength.

Never Forget.",en,Tweet,0,6,0,0,401,2025-09-11 17:50:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0lIWgaXUAAPez2.jpg
'1965890932915773944',"My prayers are with Charlie's family as they mourn the devastating loss of a beloved husband and father. 

Violence like this has no place in our society or politics. Universities especially should be havens for debate and disagreement. Please join me in praying for the nation, for peace, and for healing.

Law enforcement has my full support as they work to apprehend the shooter.",en,Tweet,1,30,5,9,1306,2025-09-10 22:31:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965850321663701303',I am horrified by the news coming out of UVU. I’m following the situation closely and praying for Charlie Kirk and all those affected. This doesn’t reflect who we are in Utah.,en,Tweet,0,22,1,2,2485,2025-09-10 19:50:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965822737278271635',"Good news for Utahns. We asked the administration to reconsider this rule, and they listened.",en,Tweet,0,5,1,0,726,2025-09-10 18:00:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965479944626241558',"The Wildland Firefighter Hazard Pay Correction Act will help us recruit and retain firefighters who do prescribed burns and other dangerous jobs critical to managing our forests. 

Read more here 🔗 https://t.co/0dWRrFANle https://t.co/luBAXsfdaK",en,Tweet,0,4,0,1,315,2025-09-09 19:18:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://maloy.house.gov/news/documentsingle.aspx?DocumentID=1705,photo,https://pbs.twimg.com/media/G0bJl6fasAEjMSx.jpg
'1965441992311407064',"Want to boost American innovation and economic growth?

The Build America Caucus, One Big Beautiful Bill, and my FREE Act work together to cut red tape, streamline permitting, and unleash our economy's potential. Listen to my interview on @americasrt1776 to learn how these initiatives will deliver results 🔗 https://t.co/GxIX5mH4GC",en,Tweet,0,7,4,2,297,2025-09-09 16:47:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965441384674213888/vid/avc1/1600x900/XCoqMpeRJnuXFYe6.mp4?tag=21
'1964089911029727290',I know you're hearing a lot of speculation about government funding. Let me tell you what's actually happening with the appropriations process: https://t.co/EeEOkBMEpX,en,Tweet,1,20,1,28,5265,2025-09-05 23:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1964080718406881280/vid/avc1/1920x1080/YM4hjZrOLID8wVq7.mp4?tag=21
'1964059878470950953',"On this day in 1774, Patrick Henry declared at the First Continental Congress: 'I am not a Virginian, but an American.' No matter where we live, we are Americans first and foremost. #America250 https://t.co/E8fAGWfDlO",en,Tweet,0,8,1,4,401,2025-09-05 21:15:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#America250,,photo,https://pbs.twimg.com/media/G0G-DI7bQAAP41N.jpg
'1963359987083989091',#America250 https://t.co/7LDbGajQzm,qme,Tweet,0,5,0,9,409,2025-09-03 22:54:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#America250,,photo,https://pbs.twimg.com/media/Gz9BgKObkAI_Nki.jpg
'1963312749716672814',Listening to local leaders matters. That’s why I brought the Forest Service Chief and county commissioners from Garfield and Piute counties together to tackle concerns about active forest management. It is a refreshing change to have an administration work with us on commonsense solutions for Utah’s public lands.,en,Tweet,0,10,2,8,927,2025-09-03 19:46:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gz8WL24WAAAO0He.jpg
