tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970579672930070562',"Charlie Kirk often said that when you stop talking with people you disagree with, that’s when violence happens.

There is no place for political violence in our society, and we should carry on Charlie’s mission of engaging in open debate in a free society. https://t.co/haaHNcCw9Y",en,Tweet,0,3,0,4,275,2025-09-23 21:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970178887704317952/vid/avc1/1920x1080/yIDAmpMgZZMhB6WY.mp4?tag=21
'1970489580055884283',"I met with leaders from @kscorn and the @farmcredit to discuss the strong agriculture wins in the Working Families Tax Cuts bill, including historic investments into trade promotion programs like MAP and FMD, bolstering crop insurance, and updating reference prices. Now, Congress needs to pass Farm Bill 2.0 to ensure that producers have the certainty they need to plan for the future. Thank you both for the productive meetings.",en,Tweet,0,5,3,1,719,2025-09-23 15:05:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1d6W_EXgAAo_GH.jpg,https://pbs.twimg.com/media/G1d6ZSUXMAA1jSK.jpg"
'1970212755103002905',"Unfortunately, too many in Washington would rather see President Trump fail than work together to keep the government functioning and funded responsibly. It's time to stop the political grandstanding and do what's best for the country. https://t.co/I9A7O1lvpW",en,Tweet,0,1,0,4,309,2025-09-22 20:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1d4V1iXAAAD6kC.jpg
'1970131104951660855',"When terrorists attacked our country on 9/11, they didn’t see red states or blue states—they saw Americans. We should never let political divisions blind us to the fact that we are one nation, united under God.

When we lose sight of seeing the humanity in our fellow Americans who vote differently than us, we are feeding into the very thing our adversaries want– to destroy us from within.

We are better than this.",en,Tweet,0,3,0,3,364,2025-09-22 15:20:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970131039390486528/vid/avc1/1920x1080/wXkVhJb7R7ZU3BTy.mp4?tag=21
'1968735206803914960',"Every parent should have access to the classroom that best meets the educational needs of their children.

I had the opportunity to speak with members of @ACSIUSA during their trip to Washington about the importance of nationwide school choice initiatives and the hard work ACSI is doing to promote educational freedom.

I’m grateful for the work Christian educators do every day to serve students and strengthen communities. Thanks for having me!",en,Tweet,0,6,2,5,391,2025-09-18 18:53:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1JZPBEWIAAaxn0.jpg,https://pbs.twimg.com/media/G1JZPBBXYAAf_sC.jpg"
'1968699415293554872',".@HouseGOP embraced commonsense, pro-growth policies to deliver real wins for Kansas agriculture:

➡️ Expanded crop insurance
➡️ Updated reference prices
➡️ Reduced taxes on family farms

But now we must pass a full Farm Bill that provides further certainty and resources our agricultural community counts on to feed, fuel, and clothe the world.",en,Tweet,0,5,2,2,673,2025-09-18 16:31:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968397896203612567',"America’s farmers and livestock producers deserve sound policies that strengthen our food supply, grow our rural economies, and reflect the changing nature of production agriculture. I sat down with @MeatInstitute and the Kansas Pork Association in Washington last week to discuss the labor shortages facing meat processors, misguided regulatory efforts like Prop 12, and the need for common-sense, science-based nutrition guidelines. Thanks for the meeting.",en,Tweet,0,5,3,3,892,2025-09-17 20:33:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1EnMvCWkAAC4u0.jpg,https://pbs.twimg.com/media/G1EncwGWQAE8Ezh.jpg"
'1968350386772693445',"Every instance of fraud or overpayment in the SNAP program is money taken from vulnerable families in our state who rely on this assistance to meet their nutritional needs. Kansans deserve a system that protects taxpayer dollars and serves the people it was designed to help.

@RepRonEstes and I sent a letter to Governor Kelly to urge her to work with @USDA to strengthen SNAP instead of allowing millions of Kansans’ tax dollars to be wasted and abused.",en,Tweet,0,10,3,3,458,2025-09-17 17:24:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1D8PMjW0AErta6.jpg,https://pbs.twimg.com/media/G1D8PMIXMAA_ddL.jpg"
'1968097316394389808',"Grain handlers, feed processors, and ag suppliers are vital to Kansas' farm economy. I had the opportunity to speak with the @NGFA in Washington this week to share updates on our legislative priorities, including the ag wins we secured in July and the ongoing progress toward passing Farm Bill 2.0. 

We had a productive discussion and I appreciated their thoughtful questions and continued commitment to feeding the world. Thanks for inviting me!",en,Tweet,0,1,0,3,277,2025-09-17 00:39:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G0_ZIUUWUAA3kxc.jpg
'1968061581217923432',"Pharmacy Benefit Managers have driven up costs and hurt patients for too long. I cosponsored the PBM Reform Act to increase transparency in the industry and ban abusive drug pricing.

This is a commonsense step to bring accountability to the prescription drug supply chain.",en,Tweet,0,3,0,4,257,2025-09-16 22:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
