tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970609088112283831',"NW Ohio is blessed with extraordinary public lands that honor our history. From the hallowed grounds of Fallen Timbers to the wetlands of Ottawa Refuge, these places connect us to our past and sustain our communities. On National Public Lands Day, we recommit to protecting these treasured lands.",en,Tweet,0,13,5,1,548,2025-09-23 22:59:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1kChUNXsAAA2qP.jpg
'1970222509850054983',"As Jewish communities in NW Ohio, across the Buckeye State, throughout our country, and around the globe begin Rosh Hashanah celebrations tonight, let this time spent with family bring you closer together. Wishing you all sweet tidings for a happy and healthy New Year to come. https://t.co/zY7mvJqTou",en,Tweet,0,23,3,0,784,2025-09-22 21:23:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ei7W6W4AAAU9h.jpg
'1970150290234982636',"Congresswoman Mary Rose Oakar brought intellect, joy, wit, keen insight, kindness, and dynamism to every occasion. Her heart of gold was truly one of a kind. It was an honor to reflect on her service last week after news of her passing. https://t.co/9DIqNrvYyE",en,Tweet,1,15,2,1,725,2025-09-22 16:36:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970147425990885377/vid/avc1/2048x1146/hisi1vZX7P2l1HIO.mp4?tag=21
'1969786907266576456',Gift link to full story here: https://t.co/FCICCtYKcR,en,Reply,0,8,4,1,457,2025-09-21 16:32:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2025/09/20/us/politics/tom-homan-fbi-trump.html?unlocked_article_code=1.nk8.WCnq.l2WaJC5PNub0&smid=nytcore-ios-share&referringSource=articleShare,,
'1969786903684587912',"Prices for beef, electricity and essentials are going up. GOP cut health care and food assistance for workers in NW Ohio but forced permanent tax breaks for Billionaires into law. Favors for friends with money and higher costs for families is NOT what Americans voted for. Unprecedented corruption.",en,Tweet,0,70,37,21,3457,2025-09-21 16:32:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1YWv8KWMAAEe-x.jpg
'1969136479185354841',"As I returned home to NW Ohio last weekend, I found soul searching among people I represent, following tragedies in Colorado and Utah. Then, in the Point Place neighborhood of Toledo, I saw a sign that read “Love Always Heals, Hate Always Harms, All Welcome Sunday.” Simple words, but profound.",en,Tweet,0,12,4,2,468,2025-09-19 21:28:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969131017932812288/vid/avc1/2048x1146/5XoQ_MukU54bSyrW.mp4?tag=21
'1969083927752052888',"Standing up for working families, seniors, and small businesses by protecting access to affordable healthcare, and vital programs including Medicare and Medicaid. Those who would gut them will cause millions of Americans to lose coverage. We must reverse cruel GOP cuts to care. https://t.co/uveSOyWMJr",en,Tweet,0,23,7,12,1820,2025-09-19 17:59:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1OXYmRXMAALkT9.jpg,https://pbs.twimg.com/media/G1OXYmXWgAAYEVn.jpg"
'1969021023962956242',"Rail is the spine of NW Ohio, but safety has been neglected for too long. From blocked crossings to derailments, our communities deserve better. This #RailSafetyWeek, I highlight the need for action to protect workers, passengers, and families and invest in the modern rail system America needs!",en,Tweet,0,14,7,3,762,2025-09-19 13:49:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#RailSafetyWeek,,photo,"https://pbs.twimg.com/media/G1NeLuQXoAE4gWT.jpg,https://pbs.twimg.com/media/G1NeLuZXAAA34iG.jpg,https://pbs.twimg.com/media/G1NeLuYWkAA8QEK.jpg,https://pbs.twimg.com/media/G1NeLuXWoAERJSm.jpg"
'1968826881332908112',Happy 78th Birthday to the mighty @USAirForce! Grateful to support those who courageously serve and keep our nation safe in the skies above. Aim High. https://t.co/bx9vdjU6FH,en,Tweet,0,15,6,3,860,2025-09-19 00:58:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1KtnTiWoAAFvG7.jpg
'1968743505662001220',"Welcomed Ohio’s delegation to the @NationalCorn Growers convening in Washington. Thank you for our lively discussion on a broad range of topics including biofuels, tariffs, local output and the Farm Bill. https://t.co/sAVgJSx49E",en,Tweet,1,11,5,1,689,2025-09-18 19:26:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JhyMjXwAAqT9k.jpg,https://pbs.twimg.com/media/G1JhyMsWUAAHwNr.jpg,https://pbs.twimg.com/media/G1JhyMnWUAAaCgt.jpg"
