tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970577854757802455',"I had a great meeting today with neighbors from Palmetto Bay, Cutler Bay, and Pinecrest!

Your input shapes every decision I make. Together, we’re creating a stronger, brighter future for Miami. 🌴💪 https://t.co/8uXhtTRsHS",en,Tweet,2,292,38,25,4106,2025-09-23 20:55:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/ext_tw_video/1970577363227275265/pu/vid/avc1/720x924/RvbpFttrngfxWHeY.mp4?tag=12
'1970553683634200867',"¡Acabo de reunirme con los residentes de Palmetto Bay, Cutler Bay y Pinecrest!

Me encanta tener la oportunidad de escucharlos directamente y hablar sobre los temas que más les impactan. Sus voces guían mi trabajo todos los días en Washington y juntos, estamos construyendo un mejor Miami. 🌴",es,Reply,0,24,3,3,1630,2025-09-23 19:19:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970553603501830408',"I just met with my constituents from Palmetto Bay, Cutler Bay, and Pinecrest! 

I am always excited for the chance to hear directly about the issues that matter most to you because your voices guide my work every day in Washington. Together, we’re building a better and more vibrant Miami. 🌴💪",en,Tweet,1,88,14,9,3081,2025-09-23 19:19:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jQC5rXYAASnMj.jpg,https://pbs.twimg.com/media/G1jQC5zXoAATFFS.jpg,https://pbs.twimg.com/media/G1jQC5pWUAENmdS.jpg,https://pbs.twimg.com/media/G1jQC5sWsAA7rkF.jpg"
'1970275607524016342',"Shanah Tovah to all celebrating!

To our vibrant Jewish community in Miami, especially in FL-27, I send my warmest wishes for a year of peace, strength, and renewal. ✡️✨",en,Tweet,2,168,24,13,5733,2025-09-23 00:54:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970253936712974826',"¡Orgulloso de haber conseguido $4.4 millones para el Proyecto de Mejoras en Marlin Road en Cutler Bay! 🚧✨

Pronto llegarán: cruces peatonales más seguros, ciclovías, aceras, iluminación para peatones y mucho más.

¡Sigo luchando en DC por nuestro distrito para hacer de nuestra comunidad el mejor lugar posible!",es,Reply,0,37,5,3,2070,2025-09-22 23:28:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970253869092610391',"Proud to have secured $4.4M for Cutler Bay’s Marlin Road Improvement Project! 🚧✨

Coming soon: safer crosswalks, bike lanes, sidewalks, pedestrian lighting and more. 

I’m constantly fighting for our district in DC to make our community the best place it can be! https://t.co/piZPIaGpkf",en,Tweet,1,153,23,6,9512,2025-09-22 23:28:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e_ctRXgAAF7un.jpg
'1970218332621013348',"Spent the day in the amazing community of Cutler Bay in my District,  learning about the Coastal Wetlands Project, which will improve drinking water quality and is a key part of the restoration of our Florida Everglades.

Congress authorized the funds for this incredible project, and I visited myself to ensure firsthand that everything is moving forward as needed!",en,Tweet,0,120,21,1,3919,2025-09-22 21:07:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1efH7KXcAA634H.jpg,https://pbs.twimg.com/media/G1efH7TWQAA2imF.jpg,https://pbs.twimg.com/media/G1efH98WkAAEQrP.jpg,https://pbs.twimg.com/media/G1efH7HXUAAoO6B.jpg"
'1970147104958939442',"¡Hola Palmetto Bay, Cutler Bay, Pinecrest y comunidades vecinas!

Mi oficina irá a ustedes. Si tiene problemas con una agencia federal o desea compartir sus inquietudes y prioridades, acompáñenos el martes 23 de septiembre, de 11:00 a.m. a 2:00 p.m.

Estaremos allí para escucharle y ayudarle.",es,Reply,0,68,13,4,3037,2025-09-22 16:24:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970146811978608913',"Hello Palmetto Bay, Cutler Bay, Pinecrest, and surrounding areas!

My office is coming to you. If you’re facing issues with a federal agency or want to share your concerns and priorities, come meet with us on Tuesday, September 23rd, from 11:00 AM to 2:00 PM. https://t.co/eWkXfk8rY8",en,Tweet,0,139,31,30,4529,2025-09-22 16:22:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1deEYoXwAEl4k-.jpg,https://pbs.twimg.com/media/G1deEYGWIAAW9tB.jpg"
'1970135312803270990',"La ONU confirma: en Venezuela persiste una GRAVE dictadura del terror que mantiene al pueblo atrapado.

🚨 Miles encarcelados desde las protestas de 2024.

🚨 Nuevas detenciones cada semana en 2025.

🚨 Extranjeros usados como rehenes
Muertes bajo custodia. Desapariciones. Tortura.

El pueblo ha sufrido demasiado. ¡BASTA YA!",es,Reply,2,155,51,7,3325,2025-09-22 15:37:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970135193609461873',"The UN Fact-Finding Mission just published it’s Venezula report, and it confirms the DIRE situation of those trapped under this dictatorship of terror:

🚨Thousands thrown in jail since the 2024 protests.

🚨New detentions every week in 2025.

🚨 Foreigners used as hostages

Deaths in custody. Disappearances. Torture. 

The people have suffered too much. Enough is enough.",en,Tweet,44,3185,1091,55,90671,2025-09-22 15:36:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969784548360687626',"Charlie Kirk embodied courage in defending free expression and open dialogue, principles at the very heart of our democracy. His unwavering commitment reminded us that America’s strength comes from the freedom to speak, debate, and engage openly, even when we disagree.

Today, we remember his life and proudly honor the legacy he leaves behind, a legacy that challenges us to continue safeguarding the values he so boldly championed.",en,Tweet,2,257,61,21,8077,2025-09-21 16:23:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969411563636367541',".@CollegeGameDay is LIVE at The U today!

Cheering loud for our UM today! No better stage than Miami to show the pride and spirit of the Canes. 

Orange. Green. Glory. 🍊🏈",en,Tweet,2,59,10,14,5821,2025-09-20 15:41:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969158644869525603',"Congratulations to my friend @michaelgwaltz on his confirmation as U.S. Ambassador to the UN! 🇺🇸

Just as I saw you lead with courage in the House and during our time together on the Foreign Affairs Committee, I know you’ll represent America’s values with strength on the world stage at the UN!",en,Tweet,1,130,28,8,4575,2025-09-19 22:56:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969107250410324357',"Mantener abierto a nuestro gobierno fue lo correcto, para Miami y para Estados Unidos. Estoy comprometida a trabajar con mis colegas para aprobar un año completo de asignaciones que apoyen a nuestras familias, a nuestros negocios y a nuestra comunidad.

¡La Era Dorada ya está aquí! 🇺🇸",es,Reply,0,43,4,5,2207,2025-09-19 19:32:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
