tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1962664712643961159',"Today, we honor the pioneers of the labor movement, men and women who put their lives on the line, demanding fair labor practices for the workers who helped to build this country. Because of their sacrifices, we have healthcare, pensions, vacations, and fair working hours. The labor movement is responsible for workplace safety, helps protect children from being exploited in the workplace, and is responsible for building the middle class in America. We must never forget that organized labor continues its struggle for justice, fairness, and the constant fight to increase the minimum wage, especially at the federal level.",en,Tweet,6,319,56,476,21795,2025-09-02 00:51:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1952127301715394861',"Does Trump really believe the American people are stupid? There is overwhelming bipartisan support for unleashing the Epstein files! The recent questionable meeting by Deputy Attorney General Todd Blanche with Ghislaine Maxwell has resulted in the transfer of Maxwell to a minimum-security facility. It smacks of a cover-up and what we all suspect is a deal being made with Maxwell to be pardoned. Trump, you are not going to get away with this!",en,Tweet,13,724,191,1395,39607,2025-08-03 22:59:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1946057951262691489',"John Lewis was truly a human being who dedicated his life and career to the struggle for civil rights, human rights, and equality for all in this country. During the march for voting rights, John Lewis was viciously beaten and almost lost his life at the foot of the Edmund Pettus Bridge
in Selma, Alabama. Each year, many members of Congress and I make the trip to Selma and walk across the Edmund Pettus Bridge in honor of John Lewis and the brave men and women who sacrificed for civil rights alongside Martin Luther King Jr. John Lewis will forever be memorialized in history for his tremendous contributions. I am proud that John and I were great friends. We worked together in the Civil Rights movement and the Congress of the United States of America. I will never forget his awesome sacrifice to uplift our people and make America a better place for everyone.",en,Tweet,4,386,68,324,25074,2025-07-18 05:02:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1945151846433140920',"On Day 3 of Anti-Crypto Corruption Week, I’m sounding the alarm in my @MSNBC op-ed: GOP crypto bills don’t just fail to protect consumers, they greenlight Trump’s billion-dollar crypto grift and invite the next financial crisis.   

Read more: https://t.co/TEBKJsQjIy https://t.co/j3qDPP8FeM",en,Tweet,7,99,30,243,19502,2025-07-15 17:01:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://msnbc.com/opinion/msnbc-opinion/colleagues-congress-are-making-mistake-advancing-crypto-bills-rcna218266,photo,https://pbs.twimg.com/media/Gv6RS3WX0AELdQu.png
'1943101418845475055',"Dangerous right-wing haters are posting a lie about Congresswoman Waters, claiming her grandson is involved in some kind of trafficking. This is a big lie! The man being shown in a picture on social media is not my grandson. Whoever is posting this lie is probably the same one who has been threatening to kill me. You are going to get caught!",en,Tweet,18,929,278,771,58540,2025-07-10 01:14:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1942795383995818348',"Jewel Thais-Williams was an extraordinary human being. She was the most dedicated advocate for the LGBTQ community, and she created the fabulous nightclub, Jewel’s Catch One Disco. Catch One became a welcoming spot for the LGBTQ community and for many Hollywood stars and entertainers. It became a safe haven for those who were not wanted in many places in our community. Not only did she provide a very hip and well-attended nightclub, but she also worked and created funding and resources to deal with HIV/AIDS when our country was in denial. In addition to supporting healthcare for the LGBTQ community, she also became an acupuncturist. She was a dear friend, and I enjoyed all the times we worked together. She will definitely be remembered and missed!",en,Tweet,3,125,30,82,13709,2025-07-09 04:58:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1940532332416368963',17 million will lose healthcare. 12 million will go hungry. $1.3 TRILLION in cruel cuts all to hand tax breaks to billionaires. And they have the nerve to call this “fiscal responsibility”? Please! We won’t sit quietly while Republicans starve our people to feed the rich. Kill the Bill!,en,Tweet,25,615,229,721,24798,2025-07-02 23:05:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1940531924327428096/vid/avc1/1080x1350/2UsP1afgrRDURW4u.mp4?tag=21
'1939781773850026497',"Trump's outrageous, disastrous so-called ""Big Beautiful Bill"" should be called Trump's Big Betrayal Bill. I sincerely wish there were some courageous Republicans in the House who are prepared to denounce and reject Trump's Big Betrayal Bill!",en,Tweet,2,496,117,266,25570,2025-06-30 21:23:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1936803648891138126',"I believe Trump’s attack on Iran, hitting three reported nuclear targets, is tantamount to a declaration of war. The President must be confronted by Members of Congress to be reminded that the President must come before Congress to seek approval before a declaration of war. This action by the President is typical of a president out of control. The United States at one time had an agreement with Iran, and that agreement was monitored closely. But Trump withdrew from that agreement when he took office. Trump is out of control and does not contribute to an establishment of peace. It was my understanding that Trump would give two weeks’ consideration to his response to Israel’s attack on Iran, and Iran’s attack on Israel, and he has not done so. This president must be stopped. I and Members of Congress must confront this issue as soon as we return to Congress. We need peaceful negotiations, not another war!",en,Tweet,54,1558,434,3526,104393,2025-06-22 16:09:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1935815764411334842',"June 19th is a special day, celebrated by so many families, churches, friends, and institutions who are focused on this national holiday because of what it means in our lives. We celebrate Juneteenth because in 1865, two years after the Emancipation Proclamation, word got to Texas that the slaves had been freed. It is important that we continue the struggle for total freedom, justice, and equality. We must never forget that journey that brought us to America.",en,Tweet,8,661,91,486,29485,2025-06-19 22:43:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1934798506700779998',On Saturday Congresswoman Waters joined her third peaceful protest event of the day in Hawthorne. Several thousand young people showed up to voice their fear of a cruel and dangerous president and co president Trump and Musk. They must be stopped! https://t.co/GuOqJkqcCv,en,Tweet,23,1172,225,1256,68386,2025-06-17 03:21:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1934796735534317568/vid/avc1/1080x1920/gQq13s3kcPM_NlzR.mp4?tag=21
'1934684695385567276',"I joined hundreds of protestors on the streets of Playa Vista to denounce Trump, celebrating his birthday at the expense of the armed services. This country rejects his would-be dictatorship. This country has No Kings!

📸 @ ramonjgoni https://t.co/qQ2VkrL7L4",en,Tweet,5,638,124,482,19836,2025-06-16 19:49:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GtlheWhWsAAugvY.jpg,https://pbs.twimg.com/media/GtlheWiWUAA8qQf.jpg,https://pbs.twimg.com/media/GtlheWjWsAA048G.jpg"
'1934682526951346255',"I joined thousands of protestors on No Kings Day in Downtown Los Angeles, and sent a message to Trump: This country has No Kings or dictators, and his birthday is no more important than anyone else’s. 

📸 @ Keith Boykin https://t.co/CjPnjdHZcV",en,Tweet,31,2211,487,1612,55694,2025-06-16 19:40:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1934682458513133571/vid/avc1/1080x1350/Dfy38srodsHySmTU.mp4?tag=21
'1934428705314447792',Happy Father's Day to all the Fathers everywhere!,en,Tweet,2,295,20,77,19868,2025-06-16 02:51:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1933298673263292495',"On June 12th, 1963, one of our country’s greatest Civil Rights leaders, Medgar Evers, was assassinated in Jackson, Mississippi. Medgar was the NAACP’s first Field Secretary for Mississippi and was a tireless worker and promoter of voting rights. Medgar's death sent a shockwave through the African American community and triggered increased marches and protests against racism, segregation, and discrimination. Medgar's wife, Myrlie Evers, a civil rights leader in her own right, became a chair of the national NAACP after his death. My sincere condolences to the entire Medgar Evers family. May he rest in peace.",en,Tweet,17,636,183,167,19120,2025-06-13 00:01:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
