tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970249195153170623',Wishing a joyous Rosh Hashanah to all who celebrate. May you and your family have a year filled with blessings and joy. Shana Tova! https://t.co/TOhMeA9WuH,en,Tweet,1,38,9,8,1625,2025-09-22 23:09:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e7M3hXgAATZvM.jpg
'1970208034455433348',"Grateful to @RealBenCarson for the invitation to the American Cornerstone Institute’s 4th Annual Founders Dinner.  It was an inspiring evening at the historic Mount Vernon estate, celebrating timeless principles in the spirit of our nation’s founders.🇺🇸 https://t.co/QAPYkbhSHu",en,Tweet,0,17,3,4,994,2025-09-22 20:26:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1eVuPxW0AAeS21.jpg,https://pbs.twimg.com/amplify_video_thumb/1970207983784124417/img/S8SjrVaKJQYuYNzz.jpg,https://pbs.twimg.com/media/G1eVuP7XsAA4vx4.jpg,https://pbs.twimg.com/media/G1eVuPtXIAAgFGd.jpg"
'1970141929921995247',"September is Suicide Prevention Month. Let's break the stigma and reach out to those who may be struggling. You are not alone, and help is available. Together, we can save lives and promote mental health awareness. Call 988 for 24-hour assistance. https://t.co/pBRkiSDvQM",en,Tweet,0,28,3,3,1221,2025-09-22 16:03:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1dZpPTWsAAxMRl.jpg
'1969114082067333139',"@RoKhanna Anytime, Ro!",en,Reply,0,44,0,1,1153,2025-09-19 19:59:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969094038717362304',"Introducing… Tim Burchett! Even though my team beat his 44-41 (Go Dawgs), he’s a great friend and guy! Glad to work alongside him in Congress.
@timburchett @RepTimBurchett https://t.co/CL0ApZAZtx",en,Tweet,0,15,1,3,2021,2025-09-19 18:39:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969093964583100417/vid/avc1/720x1280/TJfj0OQoxAWeqawp.mp4?tag=21
'1969037570949439816',"Today, we honor the brave men and women who made the ultimate sacrifice and those who remain unaccounted for. Their courage and dedication to our nation will never be forgotten. We remain committed to bringing our missing service members home. https://t.co/epcNaYROGU",en,Tweet,1,18,3,4,1567,2025-09-19 14:55:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1NtPDvXYAAksSG.jpg
'1968750445272195244',"The Fed’s interest rate cut was LONG overdue, and it proves Republicans were right. Reckless policies fueled inflation and crushed families with high rates. Now, we’re focused on delivering relief so families and small businesses can thrive.",en,Tweet,0,101,17,22,9181,2025-09-18 19:54:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968729388050010312',"When the media normalizes hate, the consequences are astounding. The assassination of Charlie Kirk is a sobering reminder of where violent rhetoric leads. We must stand firm in free speech, not silence it through violence. https://t.co/Ez3LS2xpu0",en,Tweet,0,34,4,8,2078,2025-09-18 18:30:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968729332269916160/vid/avc1/1920x1080/fwprLoW-ss56Ly6B.mp4?tag=21
'1968697046904320337',"Happy 78th Birthday to the U.S. Air Force! Today, we celebrate the incredible service and dedication of our Airmen who have defended our skies and protected our nation since 1947. Thank you for your unwavering commitment to keeping America safe and free. https://t.co/221CXSKfWo",en,Tweet,0,31,3,5,1568,2025-09-18 16:22:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1I3h-wXkAA0kjg.jpg
'1968422781764157675',"The Incentivize Savings Act is a transformative bill that will change how the federal government spends money. Instead of encouraging agencies to waste funds by year’s end, it allows them to save, reduce debt, and reward efficiency. It’s about restoring fiscal sanity now to secure future prosperity.",en,Tweet,2,13,3,6,1509,2025-09-17 22:12:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1E-FmlX0AApx80.jpg
'1968387753240150080',"Today, we honor the foundation of our Nation and its incredible journey. Let's recommit ourselves to upholding the principles of liberty, justice, and equality enshrined in our Constitution.",en,Tweet,0,17,2,7,2078,2025-09-17 19:53:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968348212533801163',"Washington rewards waste. My Incentivize Savings Act flips the script, rewarding agencies that save YOUR tax dollars instead of burning them. It’s time for fiscal responsibility and sanity! https://t.co/EB10mdqzUh",en,Tweet,0,21,3,4,1323,2025-09-17 17:15:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968348119092875268/vid/avc1/1280x720/diAWfSFcTEOLWk0z.mp4?tag=21
'1968306782830551438',🚨TUNE IN! https://t.co/pbQ3sXpDkI,fr,Tweet,0,7,3,1,2272,2025-09-17 14:31:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/live/xYlb_m1rNnY?si=SlKbBizQJO5jU2Gi,,
'1968016132289466673',"Great fireside chat this morning with @NVIDIA on winning the global AI race. I highlighted my work repealing the AI diffusion rule, Congress’s AI moratorium, and why U.S. companies, not China, must lead. America must remain the AI capital of the world. https://t.co/3QJ6uRp6Wc",en,Tweet,0,20,1,4,1594,2025-09-16 19:16:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_MPR0XEAA5ldP.jpg
'1967965131834552675',"Our troops deserve the best, not just on the battlefield, but at home. The #FY26NDAA invests in better pay, housing, healthcare, and support for military families. @HASCRepublicans are committed to those who serve. https://t.co/nfEv2peXMV",en,Tweet,0,18,3,6,1652,2025-09-16 15:53:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FY26NDAA,,photo,https://pbs.twimg.com/media/G0-d23DWoAAYHj-.jpg
'1967692393093926956',"Introducing… House Chaplain Margaret Grun Kibben. 

Her spiritual guidance is a true blessing, and I’m grateful that despite it all, faith remains at the heart of Congress. https://t.co/09peg5RCTj",en,Tweet,0,15,1,4,1520,2025-09-15 21:49:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967691740745265152/vid/avc1/720x1280/AjpN2N1j-yqYfs9l.mp4?tag=21
'1967636572679053650',"The FY2026 NDAA has officially passed the House! This critical legislation ensures our warfighters have the tools and resources they need, when they need them. Peace through strength is how we keep America safe!
@HASCRepublicans https://t.co/0QrVZz1oE1",en,Tweet,0,29,6,12,2148,2025-09-15 18:08:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G05zCPNWMAAp82J.jpg
'1966595095068602488',"As a member of @HouseScience, I was proud to see my bill—the Aviation Weather Improvement Act—pass as part of the Weather Act Reauthorization.
 
As a former helicopter pilot, I know accurate forecasts are essential to completing missions safely and successfully. https://t.co/iH73W7pwnY",en,Tweet,0,51,3,77,5723,2025-09-12 21:09:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0q_0Q9XAAAkFYq.jpg
'1966569484392522045',"Thankful for the quick action by the FBI, local law enforcement, and the state of Utah in apprehending Charlie’s assassin. While nothing can undo this tragedy or fill the void Charlie leaves behind, justice will be served. We will not forget him, and we will not allow violence to silence the truth he stood for.",en,Tweet,1,132,17,22,6556,2025-09-12 19:27:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966551529663471748',"Yesterday, a rigged panel of five judges that included Alexandre de Moraes—a sanctioned human rights abuser and known hater of Bolsonaro—Lula’s former personal attorney, and Lula’s former minister of justice unjustly convicted former President @jairbolsonaro of plotting a coup simply for questioning the integrity of Brazil’s highly disputed and entirely electronic 2022 election, sentencing him to 27 years imprisonment and preventing him for running for reelection in 2026—all without a shred of evidence that he’s guilty of any crime. 

These criminal thugs on Brazil’s Supreme Court don’t deserve to be called decent humans, let alone “justices.” Only one judge on the panel—Justice Fux, who’s no friend to Bolsonaro—had the courage to call Bolsonaro’s prosecution what the world already knows it is: political lawfare aimed at destroying an innocent man, imprisoning a great political leader for the rest of his life, and punishing millions of freedom-loving Brazilians for supporting the candidate of their choice and questioning the integrity of Brazil’s electronic voting machines. 

As @SecRubio pointed out, the United States will not tolerate Brazil’s further descent into totalitarianism. America stands with the Brazilian people, justice is coming, and, rest assured, Moraes and all who enable his abuses on the Court and in Brazil’s Congress will be severely punished. The world is watching.",en,Tweet,476,20880,5491,2468,614662,2025-09-12 18:16:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966145072522735790',"Today and every day, we remember the lives lost and the bravery of those who responded to the attacks. As a nation, we stand united in our resolve to never forget and to honor the sacrifices and heroism of that catastrophic day. https://t.co/TBOhUnzb8v",en,Tweet,2,54,6,10,3116,2025-09-11 15:21:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kmeHyXcAEHqGT.jpg
'1965881803773980923',"I am traumatized by the murder of Charlie Kirk, a believer, a father, husband, son, friend, and leader who showed respect to others who did not offer him the same. This is devastating to so many, and we must lean on our God who will show us the way.",en,Tweet,3,141,11,18,4429,2025-09-10 21:55:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965854220755808405',Join me in prayer for Charlie Kirk and his family.,en,Tweet,1,122,14,13,3810,2025-09-10 20:05:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965807665436836291',President Trump and House Republicans are committed to making America more secure with the Peace Through Strength agenda. The #FY26NDAA will deliver on promises to fortify our national defense. @HASCRepublicans https://t.co/ofohIwhaNe,en,Tweet,0,24,6,5,1885,2025-09-10 17:00:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FY26NDAA,,photo,https://pbs.twimg.com/media/G0fzpkGXEAADp_U.jpg
