tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970567635269001685',"Republicans made their tax cuts for billionaires permanent and took away the credits for affordable health care.

Their budget will make health care more expensive for everyone. https://t.co/xX2MKnD53q",en,Tweet,0,10,0,4,388,2025-09-23 20:15:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970565669100941312/vid/avc1/960x720/eELKmUUS8z5V1-xh.mp4?tag=21
'1970250587074617705',Wishing a sweet and happy new year to all in Louisville celebrating Rosh Hashanah! https://t.co/Z9JjWUNKGr,en,Tweet,0,9,1,0,535,2025-09-22 23:15:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1e5uxeXkAAk1Rt.jpg
'1969137083424874932',"Vaccines keep our kids and entire communities safe. 

Kentuckians deserve leaders who protect our health, not undermine it. https://t.co/KGxKo6wLwv",en,Tweet,0,31,10,8,1186,2025-09-19 21:30:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://bit.ly/4puZ5Yj,,
'1969094039002575084',"Trump is silencing his critics and it should terrify everyone.

Freedom of speech protects us all. Trump thinks it only applies when he agrees with what’s being said. 

I join @RepYassAnsari in condemning these attacks and will continue fighting Trump’s actions and hypocrisy.",en,Tweet,0,13,7,1,1424,2025-09-19 18:39:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968782207566114937',"Republicans have made it clear they're for coal — I'm for the men and women who mine the coal.

I can't support a bill that wastes our time while doing nothing for the health, safety, and wellbeing of coal miners. They deserve better. https://t.co/hA9AlGsF3h",en,Tweet,0,12,2,1,648,2025-09-18 22:00:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968779245976514560/vid/avc1/1080x1920/RGMoT7xSUtcPC4uJ.mp4?tag=21
'1968758069342413064',"REMINDER: Louisville students can apply for service academy nominations through my office until October 31!

For more information and application details, visit my website: https://t.co/Bx9LDj8YKe https://t.co/NUDs4wNUEK",en,Tweet,0,4,0,1,398,2025-09-18 20:24:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://bit.ly/45YfBWE,photo,https://pbs.twimg.com/media/G1Ju2m1XgAAE_IZ.jpg
'1968434871929287099',Republicans want to shut down the government unless they can pass a budget that makes life harder and more expensive — that's not a budget I can support. https://t.co/hjjxghQHUF,en,Tweet,0,19,5,2,1194,2025-09-17 23:00:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968433840348651520/vid/avc1/1080x1920/YvK6qSq3zdu-hdAE.mp4?tag=21
'1968043627105681889',"The Trump Administration fired almost 200 people from the agency that helps our communities rebuild after a natural disaster.

When I asked about it, they couldn't even give me a straight answer. https://t.co/27aTt9goLO",en,Tweet,0,16,5,2,797,2025-09-16 21:05:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968042383884365825/vid/avc1/1080x1920/_KRRuSVfw8_cv5j8.mp4?tag=21
'1967702584753598826',"As #HispanicHeritageMonth begins, we recognize the immeasurable impact of our nation's Hispanic and Latino communities.

I'm proud to represent Louisvillians from all over Latin America and the Caribbean—their voices, culture, and experiences make our city better every day. https://t.co/FcKDtghz9X",en,Tweet,0,6,1,1,578,2025-09-15 22:30:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HispanicHeritageMonth,,photo,https://pbs.twimg.com/media/G06r6JYWsAEI_Hb.jpg
'1967680701719044605',"🚨 LOUISVILLE GRANT ANNOUNCEMENT 🚨

$10 million in federal funding we helped secure is now headed to create Waterfront Park! 

Not only will these efforts create a new space for Louisvillians to use, they'll rehabilitate and revitalize the Ohio River in the process. https://t.co/MEvtA0xOoR",en,Tweet,0,18,6,3,745,2025-09-15 21:03:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06ajpcWkAAS9Yg.jpg
