tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970613141097619889',"I’m sickened by reports that @ICEgov harassed my constituent &amp; terrorized his autistic daughter—a U.S. citizen—by using her as bait. If true, it’s cruel, inhumane, and they must be held accountable. Thuggish, lawless behavior like this has no place in our country.",en,Tweet,86,3405,952,676,59699,2025-09-23 23:15:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970598324815450467',https://t.co/dIGHVw4gtz,zxx,Reply,0,42,4,7,1849,2025-09-23 22:17:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://mcgovern.house.gov/news/documentsingle.aspx?DocumentID=400259,,
'1970598322403713341',"Hey @NXSTMediaGroup—you’ve received my letter demanding answers on why you’re silencing dissent against the government (let me guess, it has something to do with that $6.2 billion merger you need Trump to approve, right?)

You have until Friday to respond.",en,Tweet,17,1328,475,351,40232,2025-09-23 22:17:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970551446514082109',"Even the millionaires &amp; billionaires admit: the tariffs are a disaster for regular people.

This economy was already rigged for those at the top–and Trump is making it worse.

https://t.co/AC0Kmr1VRD",en,Tweet,2,53,18,44,2486,2025-09-23 19:10:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://fortune.com/2025/09/22/gary-cohn-tariffs-trump-economic-advisor-jobs-layoffs-tech-economy/,,
'1970524187740561776',"He wants a government shutdown. He could care less about what that means for regular people. Democrats want to extend vital tax credits that make a difference for millions of people. Trump simply doesn’t care. But I’ll tell you this–if billionaires’ tax credits were about to expire, he’d be rushing to make a deal.",en,Tweet,20,734,265,562,29914,2025-09-23 17:22:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970508842925727850',"Trump’s DOJ rewards child sex traffickers with cushy digs &amp; yoga classes.

Guess he’s not “tough on crime” when it comes to pedophiles. https://t.co/CboOF87wZm",en,Tweet,7,407,202,72,7333,2025-09-23 16:21:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1imSvMWYAA3uoF.jpg
'1970256481866973677',"L'shanah Tovah to everyone in Massachusetts' Second District and around the world celebrating #RoshHashanah.

May the new year bring health, happiness, and hope to you and your family.",en,Tweet,0,23,6,6,1996,2025-09-22 23:38:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#RoshHashanah,,,
'1970235360102764597',"If Trump hands TikTok over to his billionaire buddies, they could weaponize the algorithm to silence free speech &amp; spread pro-Trump propaganda. TikTok should not be a platform for authoritarian propaganda, whether it comes from China or MAGA. This is scary stuff.",en,Tweet,27,880,344,179,58096,2025-09-22 22:14:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970219374788374788',Trump is not a king. Public pressure works.,en,Tweet,15,1867,255,1094,46329,2025-09-22 21:11:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970207462151332264',https://t.co/dIGHVw4gtz,zxx,Reply,0,19,2,1,1206,2025-09-22 20:23:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://mcgovern.house.gov/news/documentsingle.aspx?DocumentID=400259,,
'1970207459261190497',"TV conglomerate @NXSTMediaGroup wants federal approval of a billion-dollar-merger.

Shortly after Trump's FCC pressured them, they announced they were preempting @jimmykimmel. Then @ABC caved.

The First Amendment is not up for negotiation—or sale.

I'm demanding answers. https://t.co/LSxMXJzI0s",en,Tweet,3,112,49,63,3298,2025-09-22 20:23:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eVPRPXsAAY8Mp.jpg
'1969844548861141142',"It’s no surprise Trump doesn’t want @USDA to measure how many people go hungry—his Big Ugly Bill kicks millions off food assistance &amp; will make hunger in America worse.

Yet again, he’s burying the data to hide how terrible his policies are for working folks.",en,Tweet,11,563,242,94,28088,2025-09-21 20:21:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969161471146828132',"For decades, families impacted by the Troubles have sought truth and accountability. They deserve transparency and justice.

The announcement by Tánaiste @SimonHarrisTD and Secretary @HilaryBennMP provides the opportunity for a meaningful path forward—a step toward restoring inquests, reopening access to justice, and ensuring victims and survivors are finally heard.

Lasting peace requires prioritizing human rights and the dignity of all families.",en,Tweet,2,21,3,8,3959,2025-09-19 23:07:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969154479938224229',Trump is exploiting a tragedy to take away your constitutional right to free speech (with @Acosta). https://t.co/XVOX3x7tZZ,en,Tweet,21,886,285,406,46392,2025-09-19 22:39:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969153633150255104/vid/avc1/3840x2160/Z4nI95dBOQ_6VVII.mp4?tag=21
'1969131459572031847',https://t.co/QeM13a2GrN,zxx,Reply,1,28,12,17,2406,2025-09-19 21:08:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.pbs.org/newshour/politics/trumps-moves-against-media-outlets-mirror-authoritarian-approaches-to-silencing-dissent,,
'1969131458364162404',"I’ve seen what authoritarianism looks like.

For decades I've called out leaders in Russia &amp; China who silence dissent. Now Trump is doing it here: using state power to crush opposition to the government.

His conduct is anti-democratic &amp; anti-American. We must fight it.",en,Tweet,10,634,216,296,11964,2025-09-19 21:08:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969123281086074964',"Trump and his cover-up crew want you to forget about the Epstein Files.

For the sake of the victims, I won’t let this go away. https://t.co/ygHZu2baWR",en,Tweet,45,4420,1361,219,32688,2025-09-19 20:35:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969117708546408448/vid/avc1/3840x2160/uuO0i6HrW_Ns9DRA.mp4?tag=21
'1968859739283939361',"Democrats have been ready and willing to engage in a bipartisan process. 

But we will not be complicit in the dismantling of the American healthcare system.",en,Reply,2,46,9,10,4448,2025-09-19 03:08:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968859736968937500',"Contrary to what Speaker Johnson said, this looming health care crisis—one of the most significant health care premium hikes in history and historic cuts to Medicaid—needs to be fixed now. 

According to the non-partisan @USCBO, if we wait until December instead of acting now to extend healthcare tax credits, 1.5 million more people will go uninsured.

@USCBO also says premiums will increase by 4% if Congress waits to act.",en,Reply,1,39,10,8,5638,2025-09-19 03:08:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968859735391600876',Option #3:  Republicans can choose to shut down the government.,en,Reply,1,23,9,2,717,2025-09-19 03:08:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968859733634290083',"Option #2: Republicans can pass a partisan CR on their own as Trump told them to. They control the House, the Senate, and the White House. The Senate blew up the filibuster just last week for Trump nominations. They have the power to go it alone if they want to.",en,Reply,1,23,10,2,746,2025-09-19 03:08:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968859732405313665',"Option #1: They can work with Democrats to fix this problem. So far, Republican leaders have refused to even meet with us, appearing to hope they can shut down the government and blame Democrats (even though they control both Congress and the White House).",en,Reply,0,28,10,2,782,2025-09-19 03:08:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
