tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970525003952120063',"Last week, @HouseGOP passed a clean CR to keep the government open.

A shutdown means service members can miss paychecks and Americans lose access to critical programs. We can't let that happen.",en,Tweet,0,3,0,3,187,2025-09-23 17:25:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970218289688162773',"Congratulations to Ohio State Parks on being named the best park system in the nation!

https://t.co/04pgNuGVri",en,Tweet,0,2,0,1,172,2025-09-22 21:06:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://ohiodnr.gov/discover-and-learn/safety-conservation/about-ODNR/news/ohio-state-parks-gold-medal-winner,,
'1969764803603574910',"Charlie Kirk was, above all else, a husband and a father of young children. His assassination means two kids now have to grow up without their dad.

This was a horrible act of violence against an innocent man. https://t.co/rQIRBPcppv",en,Tweet,0,4,1,4,290,2025-09-21 15:05:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968683748116811776/vid/avc1/1572x1318/p3Re32coVkyaUHKH.mp4?tag=21
'1969417515429478913',"Lowering crime is not a partisan issue. 

This week, the @HouseGOP passed several bipartisan crime bills to keep Washington, D.C. safe after years of high crime rates. https://t.co/ApoqyU6Fhg",en,Tweet,0,2,0,5,220,2025-09-20 16:05:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968689712547209216/vid/avc1/1572x1318/EwLUhneNfG1FTb09.mp4?tag=21
'1969077360432500881',My statement on voting to avoid a government shutdown: https://t.co/WZRfFJDzv7,en,Tweet,0,0,0,5,258,2025-09-19 17:33:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ORayqX0AMHg5n.jpg
'1968742040193192268',"Great to welcome members of The Marzetti Company, including some Ohioans, here in DC today! https://t.co/Fl2Dv0eafW",en,Tweet,0,8,0,0,316,2025-09-18 19:20:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Jgc1QXgAAgLEi.jpg
'1968708594041503939',"The numbers don't lie. Since @POTUS cracked down on crime in D.C., we have seen:

2,100+ arrests.
200+ illegal guns seized.
Missing Children rescued.

This week, @HouseGOP is passing bills to keep D.C. safe! https://t.co/WUb69ehNLP",en,Tweet,0,0,0,4,200,2025-09-18 17:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968676385305575424/vid/avc1/1572x1318/7rFXXo0bIO6BBlcw.mp4?tag=21
'1968672909896872299',Happy birthday to the U.S. Air Force and thank you to the generations of members who have served!,en,Tweet,0,1,0,1,317,2025-09-18 14:46:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968332137519858163',"A government shutdown means service members could miss a paycheck. I do not want that to happen.

Passing a clean CR is the best path forward.

More from me on @610wtvnnews: https://t.co/h5Cq8E3jMh",en,Tweet,0,1,0,4,193,2025-09-17 16:12:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968331611562233856/vid/avc1/1572x1318/lEE-5TBhaJ2CHu-H.mp4?tag=21
'1968297075197804663',"On this day 238 years ago, 39 delegates signed the U.S. Constitution, signifying the beginning of our Republic and setting the framework for America to become the greatest country in the world.

Happy Constitution Day! https://t.co/5jbr4QM7W0",en,Tweet,0,5,1,1,603,2025-09-17 13:52:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DLAkZXMAAqsq4.jpg
