tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970588955046269173',"The president now believes Ukraine can win the war against Russia. 
 
I appreciate this shift, but Trump has to turn those words into action. We need sanctions, aid, and accountability. https://t.co/bBFdxSCc7u",en,Tweet,2,37,14,9,1368,2025-09-23 21:39:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jwNguWQAEltwt.jpg
'1970579031989829956',"The @IDPH Immunization Advisory Committee is parting ways with federal guidelines on COVID-19 vaccines — and I agree with them wholeheartedly.
 
With conspiracy theorists like RFK JR. in power at the federal level, I am proud of our state for standing up for science and lifesaving public health tools.
https://t.co/AI8Jt8MtDD",en,Tweet,0,3,0,1,484,2025-09-23 21:00:27,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1970506943111233690',"Republicans demand an extreme spending plan, Democrats propose an alternative. Democrats are willing to negotiate, while the so-called dealmaker-in-chief refuses to take a meeting.

Republicans would rather shut the government down than work together for the American people.",en,Tweet,0,4,4,3,1261,2025-09-23 16:14:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970492973944070644',"On Sunday, I joined hundreds of Chicagoans in watching the Chicago RiverSwim. Organized by @alongswim1 charity, the river swim joins many open-water swimming events in raising money for ALS research. 

For the first time in nearly a century, the Chicago River is clean and ready for swimming🌊 I hope to see it used for more summer activities in the future!",en,Tweet,0,11,1,0,550,2025-09-23 15:18:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970492849557762048/vid/avc1/1440x2560/XUzZV2CoeAZfGULN.mp4?tag=21
'1970292201516064964',"Shanah Tovah! Wishing a happy and healthy new year to the Chicago Jewish community. 

May this time of renewal bring peace and happiness to you and your loved ones. https://t.co/cHqLXgV7W0",en,Tweet,0,2,0,1,724,2025-09-23 02:00:41,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1fiUKFWYAAgoNU.jpg
'1970220476728262962',This regime relies on obedience. Speaking out works.,en,Tweet,0,11,1,1,1090,2025-09-22 21:15:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970220321459281920',"“For the fourth time, Russia marks the UN General Assembly with murder,” Ukrainian President Zelenskyy says. Three killed, over 30 injured in yet another massive Russian attack this past weekend. 

And Trump? Still calling himself a peacemaker while refusing to act. We must stand with Ukraine—fully and without hesitation.
https://t.co/FKzjHUKAAn",en,Tweet,0,2,1,1,540,2025-09-22 21:15:04,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
'1970190600625635390',"Comedians are cancelled for disagreeing with the president.  Historical sites are being forced to erase history. And now reporters are no longer allowed to report. 

This is Kremlin-level censorship.",en,Tweet,0,16,5,7,1456,2025-09-22 19:16:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970149375167848803',"Yesterday marked the first ""Wadee Day"" in Illinois. Nearly two years ago, 6 year-old Palestinian-American Wadee AlFayoumi was murdered in a horrendous hate crime. 
 
Wadee would have turned 8 this October. Please join me in remembering him and standing against Islamophobia and hatred of all kinds. Children everywhere deserve peace, dignity, and protection.",en,Tweet,0,14,2,1,569,2025-09-22 16:33:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1dgal8WEAAu7sN.jpg
'1969786242033193209',"ICE is arresting U.S. citizens—and Kristi Noem keeps making excuses for these mistakes.
 
Under her watch, DHS is failing to meet the bare minimum standards of government competency. There’s no excuse for this.
https://t.co/iv9sZ3tdCR",en,Tweet,0,9,1,3,921,2025-09-21 16:30:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.chicagotribune.com/2025/09/18/editorial-ice-kristi-noem-elgin-immigration-raids/,,
'1969454053131235386',"Dreamers have legal protection nationwide—but ICE agents are still targeting them for detention and deportation. And given the lack of transparency and scale of the recent ICE raids in cities like Chicago, it’s impossible to know how many people have been taken.

I’m taking a stand with over 90 other Members of Congress to stop the madness and demand accountability for deported and detained Dreamers.",en,Tweet,0,10,3,3,887,2025-09-20 18:30:11,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1ToBh7XcAAQKaK.jpg
'1969454049679323144',"Americans want clean air, not more pollution. 

I joined over 100 @HouseDemocrats in urging the @EPA to scrap its reckless rollback of #CleanerCars &amp; #CleanerTrucks standards. 
https://t.co/oqet2Twtj8",en,Tweet,0,8,3,0,608,2025-09-20 18:30:10,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","#CleanerCars,#CleanerTrucks",https://thehill.com/homenews/house/5508521-lawmakers-call-epa-maintain-emissions-standards/,,
'1969423864405827623',"On this day in 2011, “Don’t Ask, Don’t Tell” ended. But 14 years later, our servicemembers are still fighting to be treated equally.

As Vice-Chair of the @EqualityCaucus, I won't rest until every American can serve freely &amp; openly as themselves. https://t.co/OUgCd4CDQM",en,Tweet,0,6,3,2,760,2025-09-20 16:30:14,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/G1TMkTzW8AEjbZf.jpg
'1969178665616310558',"I voted against the Republican funding bill today.  This is a pivotal time in our history. We must stand up against this wannabe-king. 

Read my full statement here: https://t.co/5ncFriyJL8",en,Tweet,0,8,1,3,583,2025-09-20 00:15:54,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://quigley.house.gov/media-center/press-releases/quigley-votes-no-republican-continuing-resolution,,
'1969130925293285874',"This week, I met with @RealEricDane and the team at @iamalsorg to discuss the pending reauthorization of my 2021 bill, the ACT for ALS.
 
The ACT for ALS had the most bipartisan cosponsors 117th Congress with over 330 cosponsors in the House. It's because of the ALS community and incredible advocates like Eric Dane that we have such incredible support and were able to make big strides in ALS research and health care access. I look forward to working with my colleagues to reauthorize this vital funding.",en,Tweet,1,6,2,1,701,2025-09-19 21:06:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1PCI5yXUAAlXJF.jpg,https://pbs.twimg.com/media/G1PCI5_X0AA2qzS.jpg"
'1969082608526008712',"Russian fighter jets just entered Estonia's airspace. This is the third time in two weeks that Putin has violated the independence of a NATO member.

President Trump needs to act fast, before this war spreads around the globe.
https://t.co/f4aM1r7YcJ",en,Tweet,0,14,6,0,706,2025-09-19 17:54:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://bbc.com/news/articles/czrp6p5mj3zo,,
'1969073531808858181',"Political violence has no place in America, but I cannot in good conscience vote to honor a legacy like this. Read my full statement here. https://t.co/tu5e3cGFzx",en,Tweet,0,8,2,9,523,2025-09-19 17:18:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://quigley.house.gov/media-center/press-releases/quigley-issues-call-end-political-violence-and-opposes-resolution,,
'1969061577765605410',"After months of delay, Trump has reportedly allowed weapons—paid for by NATO—to go to Ukraine.

It's a step in the right direction, and I hope it continues.
https://t.co/JLIGsH38VR",en,Tweet,0,4,1,1,499,2025-09-19 16:30:38,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://thehill.com/policy/defense/5506847-ukraine-receives-lethal-aid/,,
'1969051798959751349',"RFK Jr.’s panel just voted to STOP recommending the combined vaccine for measles, mumps, rubella, and chickenpox.
 
This political move puts thousands of our kids at risk. It will also force many parents to pay out-of-pocket for this shot, and cause shortages of other vaccines. 

@l_e_whyte @SabrinaSiddiqui",en,Tweet,0,2,0,0,624,2025-09-19 15:51:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968752228648231287',"I want to thank the Little Village community for having me at their Mexican independence celebration this weekend. Amid terrifying ICE raids and Trump’s threats, their resilience is unmatched.

@RepChuyGarcia
@40thforward
@ChicagoTM https://t.co/oi2VgHJO0b",en,Tweet,0,4,1,0,510,2025-09-18 20:01:23,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/G1Jpt6cW8AAMuX4.jpg,https://pbs.twimg.com/media/G1Jpt7aXIAEdrpY.jpg"
'1968724582753579330',"If Trump wants to get Putin’s attention, he and Republicans have to work with Democrats on defending Ukraine. The United States needs to pass bipartisan sanctions and a supplemental aid package.
 
See more in my Substack Live last night with Former Congresswoman Marie Newman: 
https://t.co/cpv2H7sP1m",en,Tweet,1,23,10,8,1160,2025-09-18 18:11:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968724527782739969/vid/avc1/1080x1920/-etvwYy1cuYOIyGO.mp4?tag=21
'1968699203900551206',"Trump's renaming of the Department of Defense to the Department of War could cost taxpayers up to $1 BILLION.

So much for fighting waste, fraud, and abuse. https://t.co/fpEvVr7Ao8",en,Tweet,0,5,1,1,398,2025-09-18 16:30:41,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,https://www.the-independent.com/news/world/americas/us-politics/trump-department-of-war-executive-order-cost-b2821593.html,,
