tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970632468719116697',"Upon meeting with officials in Kyiv I am deeply moved by the strength and resolve of the Ukrainian people. Despite the relentless aggression from Russian forces, their courage and determination to defend their sovereignty and freedom is truly inspiring.",en,Tweet,30,1441,213,132,25692,2025-09-24 00:32:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970575582200049972',"It was a pleasure meeting with Ambassador Julie Davis @USAmbCy in Kyiv this week. I commend her for her outstanding work in supporting President Trump's efforts to bring peace to Ukraine. Her dedication and tireless efforts are crucial in navigating the complex challenges of this conflict. Thank you, Ambassador Davis, and @USEmbassyKyiv staff, for your service and commitment to a peaceful resolution.",en,Tweet,0,22,2,4,1936,2025-09-23 20:46:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jkC5mXIAAT3Ha.jpg,https://pbs.twimg.com/media/G1jkC5gXAAE3snR.jpg"
'1970567183815290914',"There is precedence for President Trump’s response and I fully support it. 

BBC: Turkey's downing of Russian warplane - what we know
https://t.co/eyVpykE2vR",en,Tweet,2,20,5,1,1674,2025-09-23 20:13:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.bbc.com/news/world-middle-east-34912581.amp,,
'1970246406205059109',"On this Rosh Hashanah, I want to extend my warmest wishes for a sweet and prosperous New Year to all those observing this special time. May the coming year be filled with health, happiness, and peace. Shana Tova! https://t.co/aetlieC5BJ",en,Tweet,0,7,1,2,941,2025-09-22 22:58:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1e4X_YXUAAGpvj.jpg
'1969087179302584613',"I am horrified at the assassination of Charlie Kirk on September 10, 2025, and offer my deepest condolences to the Kirk family. I strongly support H. Res. 719, which honors Mr. Kirk's life and legacy, and I call on all civic leaders to reject political violence and engage in constructive civic discourse.",en,Tweet,1,31,2,13,5751,2025-09-19 18:12:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968697650829541811',"Happy 78th Birthday to the United States Air Force!
As the representative of Ohio's 10th District, home to Wright-Patterson Air Force Base, I am proud to celebrate the incredible service and dedication of our Airmen. Your commitment to defending our nation and pushing the boundaries of innovation is truly inspiring. Thank you for your service and dedication to excellence! 🇺🇸",en,Tweet,0,8,0,24,1736,2025-09-18 16:24:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1I4Ew-WcAA8Y55.jpg
'1967972362604666975',"The Ohio Defense and Aerospace Forum is an instrumental event that brings together senior government officials, military installations, industry leaders and academia. Now in its 10th year, the conversations and partnerships formed at this annual event reaffirm Ohio’s leading role in R&D of the national security solutions to present and future threats.",en,Tweet,0,9,0,8,1317,2025-09-16 16:22:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-kbzRXIAAwFhi.jpg
'1966112657347383769',"This Patriot Day as we reflect on the sacrifices made by our first responders, military personnel, and countless others, let us not forget the lessons learned. In a world that often feels divided, we must stand united against those who threaten our freedoms and way of life. 

Let us pledge to protect our democracy and uphold the values that make our country great. Stay vigilant, stay united, and may we never forget. 🇺🇸",en,Tweet,0,46,9,14,34749,2025-09-11 13:12:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kJCkaWwAA6okz.jpg
'1965877505933647995',"I am horrified by the shooting of Charlie Kirk today at his event at Utah Valley University. 
Political violence has no place in our country and should be condemned in the strongest way possible by all. 
Join me in praying for Charlie and his family.",en,Tweet,0,22,3,7,3442,2025-09-10 21:38:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1963332756588372008',"China's goal is clear: global dominance by 2049, starting in the Indo-Pacific. I recently returned from a bipartisan trip to Australia and Pacific Island Countries revealing the stark reality of Chinese economic coercion and military intimidation. The trip also showed the strength of our allies, who are stepping up to help counter this threat.
Read our full joint Op-Ed here: https://t.co/QfCoHOUva2",en,Tweet,1,20,4,150,4336,2025-09-03 21:06:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
