tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1965924518343713208',"I’m deeply saddened by the loss of Charlie Kirk. He was a gifted speaker, principled, and cared for America’s youth. Most importantly, he was a husband and father who was taken far too soon. 

Praying for his family this evening, and for an end to political violence in America.",en,Tweet,1,49,10,12,3687,2025-09-11 00:45:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965131066580369790',"It was a pleasure to welcome @EDSecMcMahon to Michigan for a roundtable with charter school leaders from our state. We discussed what schools are doing to confront learning loss and how school choice policies empower parents. Thank you for joining me, Madam Secretary!",en,Tweet,0,117,17,8,6259,2025-09-08 20:12:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0WL3HgXMAASczN.jpg,https://pbs.twimg.com/media/G0WL7u9XYAATtpl.jpg"
'1945924463444320392',"The rescissions package will allow NPR to be fully independent, and saves taxpayers billions of dollars.",en,Reply,0,12,1,8,913,2025-07-17 20:12:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1945924462357930449',"In 2023, @NPR stopped posting on X after being labeled ""government-funded media,"" claiming the taxpayer support it receives is less than 1% of its annual budget. Today, NPR is claiming losing these funds would completely dismantle the organization.

https://t.co/H4uSeLJPgI",en,Tweet,1,19,3,14,1190,2025-07-17 20:12:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.npr.org/2023/04/12/1169269161/npr-leaves-twitter-government-funded-media-label,,
'1945487761026224366',The CCP seeks to influence universities with funding from organizations &amp; individuals. Make no mistake these gifts tie back to China’s Communist government. This has no place on campus &amp; we must end this foreign influence. UM should disclose all foreign gifts and follow the law.,en,Tweet,2,73,28,17,5869,2025-07-16 15:16:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1938610059736486134',"The WHO repeatedly failed the world in its response to COVID-19, spreading false information about the virus at the behest of the CCP. 

Proud to join @RepTiffany on this critical legislation to ensure future presidents cannot submit our nation to the WHO's corrupt guidance.",en,Tweet,2,21,6,15,1934,2025-06-27 15:47:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1936600177437192542',"President Trump has been consistent. A nuclear Iran poses a grave threat to our nation, our military, and our allies. His decision to strike Iran is necessary to keep us and our allies safe, and ensure the largest sponsor of terror in the world does not develop nuclear weapons.",en,Tweet,4,109,19,29,7715,2025-06-22 02:40:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1933356716269150483',"Israel has every right to defend itself against those who wish to destroy it. A nuclear Iran poses a critical threat to the United States and our allies, and puts American military personnel in the Middle East at risk. I stand with Israel as it confronts this threat, and it would be a mistake for the Iranian regime to target American servicemembers in retaliation.",en,Tweet,14,1113,109,195,35447,2025-06-13 03:52:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1923420249094853052',Duke Kunshan University’s website promotes Chinese military training. It is outrageous an American university would lend its name to training the military of a foreign adversary. @RepWalberg and I are calling for @DukeU to close DKU immediately. https://t.co/ktsEhsbBNR,en,Tweet,11,54,24,22,8057,2025-05-16 17:48:17,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,photo,https://pbs.twimg.com/media/GrFcAEOWAAABDO5.png
'1917335328160878697',"My colleagues from Michigan and I have worked diligently to secure a new mission. This is another win for our state as the administration ends its first 100 days. 

Thank you @POTUS!",en,Reply,0,6,0,3,578,2025-04-29 22:48:59,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1917335326890102833',"Selfridge Air National Guard Base is crucial to Michigan's economy and our national security. Today, President Trump recognized the role it plays in keeping our country safe, announcing the base will be home to the new F-15EX Eagle II fighter mission.

https://t.co/3F78ItgM1w",en,Tweet,0,9,3,8,783,2025-04-29 22:48:58,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.mlive.com/politics/2025/04/trump-lands-at-selfridge-makes-big-announcement-at-michigan-air-base.html,,
'1910041115341836677',The House Select Committee on the CCP and the Senate Special Committee on Aging are live!,en,Tweet,1,17,3,7,1471,2025-04-09 19:44:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1908264522382529014',"I am grateful to be joined by my colleagues from Michigan, @RepWalberg, @RepHuizenga, @RepJackBergman, @RepLisaMcClain, @RepJames, and @RepTomBarrett.",en,Reply,0,17,2,6,993,2025-04-04 22:04:50,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1908264521195524315',"This week, Secretary of State  Benson reported more illegally cast ballots were counted in our election results. This is unacceptable. I called on Sec. Benson to explain this failure, and her opposition to election integrity measures like the SAVE Act.

https://t.co/xDuwrp9mGw",en,Tweet,1,26,9,11,1661,2025-04-04 22:04:50,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://moolenaar.house.gov/media-center/press-releases/moolenaar-michigan-gop-representatives-call-sos-benson-explain-failures,,
'1903132088968065086',"Today, I joined @MariaBartiromo on @FoxBusiness to talk the threats posed by the CCP, how the Trump admin is looking to counter them, TikTok, and false reports that Elon Musk is receiving top-secret briefings from the Pentagon. Watch my interview here.
https://t.co/8qPCd9QV31",en,Tweet,2,30,8,28,2055,2025-03-21 17:10:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.foxbusiness.com/video/6370324826112,,
'1902401032048800136',"The U.S. should not tolerate a compromise on the sale of TikTok. The app's CCP-affiliated ownership poses a threat to our national security, and the future of the tech industry. The law is clear - any deal on TikTok must eliminate the CCP's influence and control of the app.

Read my op-ed on TikTok in @NRO below.
https://t.co/NYHMRfOuhV",en,Tweet,13,401,116,62,26237,2025-03-19 16:45:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1895115767659581583',"Thank you to cosponsors @RepJackBergman, @RepBentz, @RepRickCrawford, @RepWebster, @RepHuizenga, @RepMeuser, @RepScholten, @RepFrankLucas, @RepNewhouse, @RepLaHood, and @RepRussFulcher.",en,Reply,0,9,2,2,693,2025-02-27 14:16:23,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1895115766799704301',"I have met with sixth-generation Michigan farmers who fear that unless something changes with how this wage rate is calculated at @USDOL, they will be the last in their family to farm. My bill will help them maintain a reliable and legal workforce, while still making ends meet.",en,Reply,0,11,2,1,668,2025-02-27 14:16:23,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1895115765856006356',"Yesterday, I introduced a bipartisan bill to provide relief for farmers. For 12 years farmers across Michigan have been subjected to unsustainable wage mandates by the Dept. of Labor. My Supporting Farm Operations Act will help them stay in business.

https://t.co/unId3kgRgW",en,Tweet,0,18,3,12,949,2025-02-27 14:16:22,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,http://moolenaar.house.gov/media-center/press-releases/supporting-michigan-agriculture,,
'1892993697836327179',"The Chinese Communist Party has long sought to manipulate international bodies and misrepresent Taiwan’s status for its own gain. We must ensure that Beijing’s distortion of history does not go unchallenged, and that Taiwan’s sovereignty is respected on the world stage.",en,Tweet,30,891,234,195,73878,2025-02-21 17:44:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1892601172181102599',@EasternMichU @oaklandu President Taylor @DetMercy has personally expressed cooperation on this matter. I look forward to hearing from him further as he protects the advanced technologies at UDM’s Center for Automotive Systems Engineering and ends UDM’s connections to four Chinese schools.,en,Reply,0,5,3,0,692,2025-02-20 15:44:16,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1892601080107639010',@EasternMichU @oaklandu @OaklandU has NSA-designated cybersecurity programs that share six key personnel members with Oakland’s joint institute with Zhengzhou University. This channels U.S. taxpayer dollars into programs that could help the PRC develop cyber tools to use against us.,en,Reply,0,7,3,2,772,2025-02-20 15:43:54,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1892600957680209982',"@EasternMichU @OaklandU partners with three Chinese universities that all want to advance national defense technologies for the Chinese military. At the same time, Oakland has received more than $2.5 million from DOD for defense research.",en,Reply,0,5,2,1,213,2025-02-20 15:43:25,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1892600746698219977',"@EasternMichU @EasternMichU also partners with Beibu Gulf University, an institution that trains wartime reserve forces for the Chinese military. This is not an institution an American university should be partnering with.",en,Reply,1,6,3,2,251,2025-02-20 15:42:35,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1892600516493848947',"@EasternMichU’s GameAbove College receives federal funding for cybersecurity programs. At the same time, the college sends faculty to China to train Chinese students. Our nation faces unprecedented cyberattacks from the CCP. This collaboration must end.",en,Reply,0,7,3,1,416,2025-02-20 15:41:40,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1892600238113751533',"In the letters @RepWalberg and I wrote as the chairmen of @EdWorkforceCmte and @committeeonccp, we detailed how the Chinese institutions involved have close ties to the Chinese military and how the joint institutes put taxpayer-funded research at risk.

https://t.co/0whB0ZTlCy",en,Reply,0,9,4,1,408,2025-02-20 15:40:34,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://selectcommitteeontheccp.house.gov/media/press-releases/moolenaar-walberg-call-eastern-michigan-oakland-university-and-detroit-mercy,,
'1892598789271142533',"@RepWalberg and I are asking @EasternMichU, @OaklandU, and @DetMercy to end their joint institutes with Chinese universities. These partnerships jeopardize taxpayer-funded research and benefit the CCP. We hope the schools will end these joint institutes.

https://t.co/LFCWA66Ria",en,Tweet,2,32,16,7,2696,2025-02-20 15:34:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://selectcommitteeontheccp.house.gov/media/press-releases/moolenaar-walberg-call-eastern-michigan-oakland-university-and-detroit-mercy,,
'1887279235384979709',Look forward to working with @CongressmanRaja and all the members of the @committeeonccp.,en,Tweet,2,36,13,16,7189,2025-02-05 23:16:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886910880165556264',Thank-you to @SenRickScott for introducing my NO GOTION Act in the Senate. The United States is in competition with the CCP and under no circumstance should CCP-affiliated companies like Gotion benefit  from the tax dollars of hardworking American families.,en,Tweet,6,85,23,18,7382,2025-02-04 22:53:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1883953015104889020',"As well as @MikeKellyPA, @RepJoeWilson, @RepTimMooreNC, @RepEricBurlison, @DrNealDunnFL2, @RepTomBarrett, @RepMarkGreen, @RepFranklin, @RepNewhouse, @RepBuddyCarter, @RepJames, @RepMillsPress, @RepMikeLawler, @RepJohnMcGuire, and @RepBenCline.",en,Reply,0,5,2,3,676,2025-01-27 18:59:35,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
