tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970216656304754858',Shana Tova! Wishing a happy and healthy new year to all those beginning Rosh Hashanah celebrations tonight. https://t.co/Enl0O9muyR,en,Tweet,0,42,4,15,2286,2025-09-22 21:00:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1eddcjW0AEq5S8.jpg
'1968446024441041202',"Reminder on today's #NationalAppChallengeDay that we're a little over a month away from the October 30 submission deadline for this year’s Congressional App Challenge.

We look forward to seeing the innovative apps you come up with!",en,Tweet,1,6,2,22,3536,2025-09-17 23:44:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NationalAppChallengeDay,,,
'1966133835734622379',"September 11, 2001 was one of the darkest days in our nation’s history. We can #NeverForget what happened that day, the lives we lost, the bravery of law enforcement and first responders, and the sacrifice of the men and women who put their lives on the line to defend our nation. https://t.co/1OPmu78wfl",en,Tweet,0,148,28,21,4421,2025-09-11 14:36:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#NeverForget,,photo,https://pbs.twimg.com/media/G0kcOd4WUAA_VS7.jpg
'1965913851754590678',"Multiple schools today faced traumatizing, needless instances of gun violence.

It happened in 2018 at my high school Marjory Stoneman Douglas, and today it happened at Utah Valley University and Evergreen High School in Colorado.

This can't be the norm. We need action.",en,Tweet,2,266,53,16,12701,2025-09-11 00:02:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965856946776584251',Today's attack on Charlie Kirk is reprehensible. Political violence can never be an option and must not become normalized into our country.,en,Tweet,3,353,45,68,8789,2025-09-10 20:16:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965814324209049869',"For more than 75 years, the NATO alliance has been a cornerstone of global security. It's critical it stay that way and we stand with our allies.

As a member of @HouseForeign, I'll continue to stand with Poland, defend NATO, and deter Putin's ongoing, unprovoked aggression.",en,Tweet,2,208,49,27,4192,2025-09-10 17:27:12,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965789155583316095',"I'm relieved to hear that Elizabeth is finally coming home. I long pushed officials to do more to secure her release, and more than 900 days after her unjust kidnapping at the hands of Kataib Hezbollah, this news is long overdue.",en,Tweet,0,89,12,10,5131,2025-09-10 15:47:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965192431336599949',"In their ongoing campaign of distraction, my colleagues across the aisle found a new target: January 6. We won't let their effort rewrite that dark day.

I look forward to serving on this Judiciary subcommittee that can only be described as a giant waste of time &amp; taxpayer money. https://t.co/shYfC7eFV0",en,Tweet,12,781,241,124,11693,2025-09-09 00:16:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0XD4eiWwAAJkQn.jpg
'1964060131181658219',"One of the first bills I led in Congress was the FEMA Independence Act—a landmark bill to remove FEMA from DHS &amp; restore it as an independent, Cabinet-level agency reporting directly to the President.

This week it passed @TransportDems as part of the bipartisan FEMA Act of 2025.",en,Tweet,2,64,12,8,8123,2025-09-05 21:16:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1963436641999036582',"Vaccines work. They save lives.

This decision risks wiping away decades-long progress for public health in Florida, and it threatens the wellbeing of kids, seniors, and people with preexisting conditions across our state. It will not make Florida more healthy.",en,Tweet,6,797,156,184,24169,2025-09-04 03:59:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1962608909694157001',Happy Labor Day! Today we celebrate the hardworking Floridians who power our economy and make this state an incredible place to live. I’ll always have your backs. https://t.co/feqDdNU5bz,en,Tweet,0,95,9,10,3870,2025-09-01 21:10:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GzyWZe9WYAAVo_1.jpg
'1961547067169312909',It was an honor to join President Hasner and the @FloridaAtlantic community this week to kick off construction of their Kurt &amp; Marilyn Wallach Holocaust &amp; Jewish Studies Building—a facility that will no doubt continue to build on FAU's world-class education. https://t.co/AzHdoplGCE,en,Tweet,1,29,1,3,2096,2025-08-29 22:50:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GzjP62EXEAAg8nK.jpg
'1960758355263156401',"I'm horrified by today's tragedy in Minnesota—an unspeakable event that's shattered another community.

From Minneapolis to my hometown of Parkland, our kids and teachers shouldn't have to be afraid to go to school and worship. Congress must work together to keep them safe.",en,Tweet,2,184,23,20,5998,2025-08-27 18:36:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1956075250950791549',"90 years ago, FDR signed Social Security into law, and today, it remains a critical lifeline for more than 160,000 Floridians in my district.

I'll always be committed to protecting Social Security and the vital resources that help our seniors access the benefits they earned. https://t.co/n4zQ3RenpV",en,Tweet,1,100,33,15,5349,2025-08-14 20:27:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GyVf0SgW0AMzQ0N.jpg
'1954949543734202808',"Summer's officially coming to an end (even if the summer weather hasn't), which means school's back in session. Wishing all of our students and teachers across Broward and Palm Beach Counties a successful start to the year. Welcome back! 📚 https://t.co/I0eBt5OjIl",en,Tweet,0,41,5,4,4566,2025-08-11 17:54:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GyFfrRNWYAAQIl0.jpg
'1951372242056618173',"Today is the last day for another great group of Moskowitz interns! Zach, Saumil, Idan, and Gabriella have been so much help to our DC office, and Ethan, Ben, Attilio, and Nathan have been doing fantastic work in our Coral Springs office. Thanks to them all! https://t.co/vtCRu4DvRx",en,Tweet,0,110,6,9,3725,2025-08-01 20:59:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GxSqtfHWcAA6buJ.jpg,https://pbs.twimg.com/media/GxSqtfDWsAAyhRv.jpg"
