tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970491525411881342',Shanah Tovah to all celebrating Rosh Hashanah. Wishing you and your families health and happiness in the new year!,en,Tweet,0,6,1,16,794,2025-09-23 15:12:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968752518411739562',"Congratulations to these six remarkable constituents for their integrity, compassion, and commitment to our community. They set an example not just for the Sixth District, but for our entire nation. Visit our website to learn more about their stories. https://t.co/D34NfRYKao",en,Tweet,0,8,0,7,1174,2025-09-18 20:02:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1Jp-1QXEAEMngt.jpg,https://pbs.twimg.com/media/G1Jp-1DWsAEom-u.jpg"
'1968708711121105378',Grateful to @congressfdn for recognizing our office with the award for Best of Constituent Experience in DC. Our democracy works best when we put people over politics—and that’s exactly what we strive to do every day. https://t.co/3NxHhPAWJU,en,Tweet,0,6,4,12,1559,2025-09-18 17:08:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1JCI2cXAAAJTJo.jpg,https://pbs.twimg.com/media/G1JCI2aX0AAkkwm.jpg"
'1968378392249778599',"Republicans control all three branches of government.

If they can't keep the government open and refuse to negotiate with Democrats, they bear sole responsibility for this governing failure and the pain that families across America will feel as a result. https://t.co/yn7n0W63z4",en,Tweet,1,16,3,42,1088,2025-09-17 19:15:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968377474418376704/vid/avc1/1920x1080/KQkOtF0QWd2dOVsz.mp4?tag=21
'1968320192137883944',"Constitution Day and Citizenship Day remind us of the duty we have to protect the Constitution in order to safeguard freedom and equality for everyone here in America. 

At a time when constitutional protections are being tested, we must stand firm in upholding them. https://t.co/zrdoCpRqgG",en,Tweet,0,22,2,15,1230,2025-09-17 15:24:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DfmPeXsAA6GR5.jpg
'1967979839660691667',"This month and every month, we honor the rich history, culture, and contributions of Hispanic and Latino communities here in Massachusetts and across the country.

Our nation and our future are stronger because of this vibrant community. https://t.co/4bEgaVwZ3a",en,Tweet,0,7,1,11,965,2025-09-16 16:52:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-q0OJWsAEp9XS.jpg
'1966598075239026843',"My office has received an extraordinary number of violent and graphic threats yesterday and today from right-wing individuals online and over the phone—directed toward me, my family, and my staff—after I pointed out the simple fact that President Trump should join Speaker Johnson and other level-headed Republicans in condemning political violence, not inciting it further.

The solution to political disagreement in America is never violence. It should be easy for everybody to say that. 

Republicans need to condemn violence committed by the right, just as I and many other Democrats condemn violence by the left.",en,Tweet,1984,21359,4887,8047,2395688,2025-09-12 21:21:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966598020889260032/vid/avc1/720x900/xHMf9CfYaGs4vg20.mp4?tag=14
'1966211201139982820',"As a Democrat, I have no issue condemning any and all violence on the left.

I just wish Republican leaders like President Trump had the same moral clarity when it comes to condemning violence on the right.

Instead, they excuse it or even incite it further. It must stop. https://t.co/VNQIfGfczl",en,Tweet,601,25629,3832,9052,1067580,2025-09-11 19:44:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966210376413986816/vid/avc1/1920x1080/LKXfRVVaOY2uW6oA.mp4?tag=21
'1966169945454293340',Never forget the lives lost and the heroes who answered the call. https://t.co/nEeAMsD8su,en,Tweet,4,45,6,228,11198,2025-09-11 17:00:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0k8kwSXoAEaNtB.jpg
'1965795310644662332',"The Trump Administration is dismantling DACA without saying it out loud through detentions, deportations, and silence. We see what they’re doing. And we won’t let them get away with it. #ProtectDACA",en,Tweet,3,27,7,164,6004,2025-09-10 16:11:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#ProtectDACA,,,
