tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970585781233140136',"For over 30 years, Delta Fabrication and Machine has helped power key industries from right here in East Texas — from aerospace to energy. Their work reminds us that skilled trades and strong infrastructure are essential to a thriving economy.

What starts in East Texas, is helping to shape our world.",en,Tweet,0,8,0,0,282,2025-09-23 21:27:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1jtLOlXAAAMBd5.jpg,https://pbs.twimg.com/media/G1jtMT_WIAAHdAP.jpg"
'1970557558764027922',"Team Moran Takeover: Happy Birthday, Congressman Moran! 🎉

We are grateful for your steadfast leadership, unwavering commitment to public service, and the example you set through your integrity and dedication.

It is an honor to work alongside someone who leads with faith, strong values, and a deep commitment to the people of Texas’ First District. Thank you for your continued service!",en,Tweet,0,10,1,2,280,2025-09-23 19:35:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1jTgYhXMAA-UzF.jpg
'1970136487753580741',"Great to meet with Clinical Speciality Infusions Pharmacy, who provide service every day to patients with chronic and rare illnesses, requiring complex care.

Their work has helped countless individuals and their families. Great to look at new ways we can provide support to those who have rare diseases and their support systems.",en,Tweet,0,4,0,0,254,2025-09-22 15:41:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1dUpWIWIAAkmV7.jpg
'1969906251338223747',Watch the full interview here: https://t.co/X5LWntr7Gc,en,Reply,0,2,0,1,209,2025-09-22 00:27:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969905616501035008/vid/avc1/1920x1080/SQATIBqho0__Tg1d.mp4?tag=21
'1969906249425637754',"Charlie spoke truth. Charlie pointed everyone around him to Christ.

May we honor his legacy by living the same way. https://t.co/1R7VjwLrch",en,Tweet,0,6,2,2,317,2025-09-22 00:27:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969905551153762304/vid/avc1/1920x1080/pVtE_wtJfuVr_lZ4.mp4?tag=21
'1969828247405035925',Here in Phoenix to honor the life of Charlie Kirk—a devoted husband and father whose courage in faith and bold stand for Jesus Christ continue to inspire. His mission to raise up the next generation in truth and conviction will live on. https://t.co/VJtiXYJk0b,en,Tweet,0,17,2,5,950,2025-09-21 19:17:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969828126227132416/vid/avc1/1280x720/dcYFCpL4L_NNZYdN.mp4?tag=21
'1969763326922993989',"Honoring one of my favorite traditions—the East Texas State Fair and Rodeo! 🎡🐂

The rodeo wraps up tonight, but the fair fun is going strong through next week. Don’t miss the rides, food, and great company that make it special. https://t.co/o3AzUx0PfI",en,Tweet,0,7,1,3,272,2025-09-21 14:59:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969763126095626240/vid/avc1/1920x1080/mCS3ryw5G7qCi_n9.mp4?tag=21
'1968782842235637923',"Great to join @RepWesterman and Brad Brookshire from Brookshire's Grocery Company today.

With stores on both sides of the Texas and Arkansas border, Brookshire's plays an important role throughout the region and is a model of service and giving wherever you find them. https://t.co/O9EWxwdb4e",en,Tweet,0,10,2,1,320,2025-09-18 22:03:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1KEs_BX0AE34HQ.jpg,https://pbs.twimg.com/media/G1KEt7EXUAA4x-a.jpg"
'1968710874455032113',Happy 78th Birthday to the @usairforce! Thank you to all of the brave Airmen for their sacrifice and dedication. ✈️🇺🇸 https://t.co/6VkTEljsHt,en,Tweet,0,5,0,0,280,2025-09-18 17:17:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JD5GnXQAUnWzR.jpg
'1968699772300116104',🎧 Listen to the full episode here: https://t.co/5uNdBn7BWH,en,Reply,0,3,1,0,183,2025-09-18 16:32:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://justthenews.com/podcasts/john-solomon-reports/medias-double-standard-charlie-kirks-death-and-its-aftermath,,
'1968699770974744910',Joined Ben Whedon on John Solomon Reports this week. Tune in to hear all about my legislation to balance the federal budget and the latest news in Congress.,en,Tweet,0,4,1,3,264,2025-09-18 16:32:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968417787983823029',For more information: https://t.co/JWZuhJSr6D,en,Reply,0,3,2,0,189,2025-09-17 21:52:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://moran.house.gov/services/congressional-app-challenge.htm,,
'1968417786125787246',Happy National App Challenge Day! Applications for the Congressional App Challenge are open until October 30th.,en,Tweet,0,8,2,1,672,2025-09-17 21:52:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
