tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970621148825358354',Hoy visité la Universidad Politécnica como parte del Foro Campus. Dialogamos con estudiantes sobre los cambios federales en becas Pell y préstamos estudiantiles. Escuchar sus inquietudes es clave para defender con fuerza el acceso a la educación superior.🍎📚 https://t.co/pR0hdqMHH0,es,Tweet,0,30,5,0,1618,2025-09-23 23:47:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kNfMUWAAAzYEv.jpg,https://pbs.twimg.com/media/G1kNfMMXEAAz68T.jpg,https://pbs.twimg.com/media/G1kNfMPWAAE2iCP.jpg"
'1970552309777326491',"Hoy me reuní con el U.S. Army Corps of Engineers para dar seguimiento a  proyectos prioritarios como el Caño Martín Peña y Río de La Plata entre otros. Además de discutir temas relacionados con planificación fiscal, presupuesto proyectado y asignaciones bajo legislación federal. https://t.co/RkA7sUc9tq",es,Tweet,0,31,4,2,1179,2025-09-23 19:14:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jO4WWXoAAMmar.jpg
'1970248117787467936',"Hoy visité Vega Baja para dialogar con el alcalde Marcos Cruz sobre proyectos de desarrollo económico, infraestructura y acceso a fondos federales. Seguiremos impulsando soluciones concretas para nuestras comunidades. 💪🏼 🇵🇷 https://t.co/pCeZuUNxsI",es,Tweet,0,26,3,6,2202,2025-09-22 23:05:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1e6N5BWkAAPm4X.jpg
'1970175902228095402',"➡️ Hoy participé de una mesa redonda junto al Banco de Alimentos de P.R. para escuchar a participantes del PAN y seguir impulsando la transición a SNAP. 🥗

Estos testimonios no solo humanizan la estadística: también fortalecen nuestra gestión en el Congreso. https://t.co/iHewRGGg8z",es,Tweet,0,25,2,3,1397,2025-09-22 18:18:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1d4ijzWkAAG4Th.jpg,https://pbs.twimg.com/media/G1d4ikXXkAAqlpB.jpg"
'1969812934932283588',🚨 Circula en las redes una carta falsa de mi supuesta autoría sobre el concierto de Bad Bunny. Es un montaje.,es,Tweet,0,50,17,14,15817,2025-09-21 18:16:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968853957041676427',"🏆 ¿Qué significa este paso?

Cumplo con mi compromiso: exigir respuestas, fiscalizar a las compañías y defender que cada dólar federal se use para que nuestra gente tenga la luz que merece.

-Seguimos Trabajando",es,Reply,0,3,0,0,185,2025-09-19 02:45:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968853954554380388',"✊🏽 ¿Por qué es importante?

Porque sin transparencia y rendición de cuentas no hay manera de construir la red moderna y resiliente que Puerto Rico necesita.",es,Reply,0,3,0,1,216,2025-09-19 02:45:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968853952511852930',"🔍 ¿Qué va a revisar el estudio?

•Las decisiones de LUMA y Genera sobre proyectos, contratos y coordinación.
•Las políticas del gobierno local que afectan la recuperación.
•Los obstáculos que frenan el uso de fondos federales.
•Recomendaciones para un mejor sistema.",es,Reply,0,0,0,1,27,2025-09-19 02:45:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968853949550563823',"⚡ Hoy presenté el Puerto Rico Energy Oversight and Accountability Act.

📑 ¿Qué propongo?

Ordenar a la Oficina de Responsabilidad Gubernamental (GAO) hacer un informe a fondo sobre LUMA y Genera y exponer con claridad qué decisiones están fallando y cómo se puede mejorar la red https://t.co/8HTixDSxDL",es,Tweet,0,9,1,4,441,2025-09-19 02:45:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1LGO0TWUAAIQD_.jpg
'1968106004769616030',"Tendrás la oportunidad de conversar directamente con reclutadores de las Academias de Servicio de EE.UU., conocer sus requisitos de admisión y explorar otras oportunidades educativas vinculadas al servicio militar.

👉🏽 Reserva tu espacio aquí: https://t.co/jHAhU2I5MK",es,Reply,0,4,2,0,200,2025-09-17 01:13:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmFhaeybxU-1NuXkZGPpttKFUN0pRMUIzTUxRREo0OVlPMjVRWklRSVo0Ty4u&route=shorturl,,
