tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970597718205833429',"Had a great visit to Lakes and Pines Community Action Council in Mora today! We had thoughtful conversations about their vital programs that support our kids, make homes safer and more affordable, and keep our communities connected. I’m grateful for their commitment to helping families thrive!",en,Tweet,1,7,1,6,679,2025-09-23 22:14:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1j4LfHWEAA-36m.jpg
'1970518034319085966',"The Minnesota Pollution Control Agency (MPCA) under Governor Walz is seeking to enforce a sulfate standard that does not follow the science and puts our proud iron mining heritage at risk.

That’s why I recently sent the MPCA the following letter requesting they refrain from including sulfate limits in U.S. Steel’s permits for their Keetac facility.",en,Tweet,0,17,1,12,795,2025-09-23 16:58:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ivl9ZXoAAqxY-.jpg,https://pbs.twimg.com/media/G1ivnDtWkAAsNzM.jpg"
'1970248490531070194',Wishing all celebrating a sweet and peaceful Rosh Hashanah. Shana Tova! https://t.co/xiHM0lHSDw,en,Tweet,0,6,1,1,534,2025-09-22 23:07:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-8YFHXYAABRSw.jpg
'1970163386584269300',Visited Minnesota Power this morning to discuss energy infrastructure. Energy dominance is key for America’s economy and security!,en,Tweet,1,11,1,11,1234,2025-09-22 17:28:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dtFPfWAAEPPTr.jpg,https://pbs.twimg.com/media/G1dtFPxWAAAsKUR.jpg,https://pbs.twimg.com/media/G1dtFPXWAAUYrPp.jpg"
'1970116313319456790',Happy Monday! Here’s a look at some highlights from some of my recent events. I hope you have a great week! https://t.co/olYBUnIeg5,en,Tweet,0,11,0,9,618,2025-09-22 14:21:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970115917112549376/vid/avc1/1080x1920/UYp-_xrX3tRjUOVI.mp4?tag=21
'1969545312898281770',"Mary Moriarty’s decision not to prosecute felony crimes stemming from lawful traffic stops is both dangerous and reckless. The public expects law enforcement to enforce our laws and prosecutors to prosecute felonies! 

Yet another ridiculous blunder and dereliction of duty!",en,Tweet,0,25,0,9,1629,2025-09-21 00:32:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969401669432561712',"In June, every Republican in Congress joined Democrats to unanimously condemn the assassination of Melissa Hortman.

Yesterday, 96 Democrats refused to do the same for Charlie Kirk by voting no or present. 

Americans deserve better. https://t.co/Uj2r4DK7AF",en,Tweet,1,25,5,19,1069,2025-09-20 15:02:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1S4YaDWQAE2Wce.jpg
'1969077929687609683',"The House just did its job to prevent a government shutdown.

Now it’s time for Chuck Schumer and Senate Democrats to step up and do their part.

Americans deserve a functioning government.",en,Tweet,0,11,0,18,858,2025-09-19 17:35:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969009075095822736',Today we solemnly honor our POW and MIA heroes. Their sacrifice is NEVER forgotten. Their courage inspires us all. https://t.co/ao4gl9bYNi,en,Tweet,0,11,1,6,585,2025-09-19 13:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-78hAWUAE-Y_J.jpg
'1968783153222636012',"In 2024 alone, MN Metro Transit reported 7,402 crimes.

And after the horrific murder of Iryna Zarutska, it’s clear that Democrats’ soft-on-crime approach is plaguing public transit in other states.

Today, I participated in a @TransportGOP roundtable to discuss the urgent need to crack down on crime and restore safety in our public transportation systems.",en,Tweet,0,8,2,8,1060,2025-09-18 22:04:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KAim2WoAAupqb.jpg
'1968695693976957126',"I had the pleasure of personally thanking members of the National Guard serving in Washington, D.C. and dropping off breakfast as a small token of appreciation for all that they do.

These heroes are making our nation’s capital safe again – and I'm grateful for their dedication! https://t.co/aBDcBF4mQk",en,Tweet,0,22,1,11,661,2025-09-18 16:16:44,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1I2FGXXgAAjDGM.jpg,https://pbs.twimg.com/media/G1I2GJPWEAAgQcz.jpg,https://pbs.twimg.com/media/G1I2HqrXEAAj30s.jpg,https://pbs.twimg.com/media/G1I2I0XXsAABqSL.jpg"
'1968332460154089835',"Every year, I have the honor of nominating young people from my district to the prestigious U.S. Service Academies. If you or someone you know might be interested in applying to one of the Academies, please join my next Service Academy Night! https://t.co/6IxMsvr06m",en,Tweet,0,6,1,3,645,2025-09-17 16:13:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0__TTCXcAAvfXi.jpg
'1968284550951252397',"Honoring Constitution Day, we celebrate the enduring framework of our liberty and justice. Grateful for our Founding Fathers’ vision that guides us still. 🇺🇸 https://t.co/zORoackCyk",en,Tweet,0,8,3,14,693,2025-09-17 13:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-7e8jWIAAH19A.jpg
'1968069372079206816',"On average, it takes 458 days for unions to get their first contract. 

This is unacceptable.

The Faster Labor Contracts Act will fix this problem by requiring negotiations to begin 10 days after workers vote to unionize. https://t.co/eMRAepxgl5",en,Tweet,0,7,2,6,573,2025-09-16 22:47:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968069182609612800/vid/avc1/1920x1080/cBksnylw8CEJbULX.mp4?tag=21
'1968051806879310208',"Too often, American workers are met with silence or stalling tactics from employers when negotiating their first union contract.

That’s why I was proud to join @DonaldNorcross and the @Teamsters in announcing the Faster Labor Contracts Act. I’m proud to champion legislation that will ensure workers get a fair shot at the negotiating table!",en,Tweet,0,8,2,4,887,2025-09-16 21:38:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_ssAnWYAAyVjQ.jpg
'1967736592300212700',"Tonight, I participated in a prayer vigil in memory of Charlie Kirk at the U.S. Capitol.

As God continues to wrap his loving arms around Charlie’s loved ones, I hope they seek comfort in the knowledge that Charlie did not die in vain. 

His legacy will continue to inspire us to speak fearlessly and stand by the truth.",en,Tweet,5,196,30,37,10920,2025-09-16 00:45:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G07OAGQXcAAGVmc.jpg
'1967675790218416624',It's National Truck Driver Appreciation Week! Thank you to the millions of American truck drivers who keep our economy moving. Your hard work and dedication are vital to Minnesota and our nation! https://t.co/tyOg32a6Od,en,Tweet,0,14,6,6,1256,2025-09-15 20:44:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G06WpDDWwAA-7AY.jpg
'1966684983872864393',Same! What a powerful message.,en,Tweet,0,25,1,13,2745,2025-09-13 03:06:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
