tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970493365281267815',"President Trump is right. Dems are threatening a shutdown unless they get trillions for transgender surgeries &amp; healthcare for illegals.

If that’s their hill to die on, they can own it.

Americans don’t want their money wasted on this radical nonsense.",en,Tweet,0,73,19,28,1920,2025-09-23 15:20:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970125844854288468',"Career politicians weren’t what our Founders intended.

It’s time to RESTORE accountability and put America first!! https://t.co/U0uSaI6Hf3",en,Tweet,0,43,10,22,3528,2025-09-22 14:59:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970125472605384704/vid/avc1/1080x1080/3MAQrUnP6rhPek7U.mp4?tag=21
'1969408708640981430',"Had the pleasure of joining @TPPatriots at the Capitol to demand the Senate pass the SAVE Act. With over 23 million potential noncitizen voters, the threat of foreign interference is real.

ONLY U.S. citizens should be allowed to vote. https://t.co/81k243FsIf",en,Tweet,2,69,14,22,2248,2025-09-20 15:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1O81cOX0AEU4lm.jpg
'1969052410560594081',"Happy Birthday to one of SC's finest, @SenatorTimScott! https://t.co/mtIq3g22mV",en,Tweet,0,15,1,8,768,2025-09-19 15:54:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N6utTWIAAWF_Q.jpg
'1969026122730881148',"South Carolina is home to more than 34,000 truckers who keep America moving.

This National Truck Driver Appreciation Week, I want to thank them for the long hours, hard work, and dedication that fuel our economy. https://t.co/O5UTiiphhC",en,Tweet,0,25,2,4,1039,2025-09-19 14:09:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1NivNxWEAAIE-0.jpg
'1968775535728935312',"Honored to be speaking at the Library of Congress today with business and community leaders from the Midlands. Strong federal advocacy starts with making sure our local voices are heard in Washington.

Thank you for having me! https://t.co/KhkbSPTVoz",en,Tweet,1,16,3,2,816,2025-09-18 21:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1Jfp7PXgAAGDLr.jpg,https://pbs.twimg.com/media/G1Jfp7OW4AABjC-.jpg,https://pbs.twimg.com/media/G1Jfp7PXoAAMu_9.jpg,https://pbs.twimg.com/media/G1Jfp7cXsAAIXku.jpg"
'1968739904109662560',"Had the pleasure to meet @Citadel1842 cadets during their visit to D.C. Always encouraging to see the next generation of leaders gaining a first-hand look at how the political process works.

Hope y’all enjoy your trip!! https://t.co/tGEAnWZa71",en,Tweet,0,13,1,5,817,2025-09-18 19:12:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JeYWiWQAEU5vs.jpg
'1968415434673102927',"My term limits amendment is about restoring citizen government. Our founders never intended for Congress to become a career ladder.

100 cosponsors down, more to come. 👊🇺🇸",en,Tweet,1,50,9,11,1410,2025-09-17 21:43:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968348975620403488',"🚨BREAKING: 100 co-sponsors now back my constitutional amendment for TERM LIMITS in Congress. Career politicians beware, momentum is building. https://t.co/kVDpzGI057",en,Tweet,1,63,21,14,2628,2025-09-17 17:19:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1D6qToW0AQB4-D.jpg
'1968308283686683104',"Today we honor the Constitution, the foundation of our Republic and the safeguard of our freedoms. May we always defend the liberties and responsibilities in this remarkable document. https://t.co/uEZSXKdDzl",en,Tweet,2,55,18,6,2062,2025-09-17 14:37:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1DV1YgWAAA22qZ.jpg
'1967972897541996602',"Now more than ever, prayer must be at the center of our lives.

Thank you @SenatorTimScott for hosting the annual SC Prayer Breakfast this morning! Powerful fellowship and a reminder of God’s sustaining grace.",en,Tweet,1,104,10,15,9056,2025-09-16 16:24:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0-kDIgXMAEmdt0.jpg,https://pbs.twimg.com/media/G0-kDIxWcAAtmo6.jpg,https://pbs.twimg.com/media/G0-kDIzXEAcUOL_.jpg"
'1967934609469182278',The Working Families Tax Cuts increases take home pay for hard-working Americans! https://t.co/VHs7zl8B33,en,Tweet,1,16,5,5,1241,2025-09-16 13:52:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-B4ffXwAAgu2p.jpg
'1967619418554298391',"EPIC’s latest report shows taxpayer $$ are bankrolling activist NGOs. If Washington funds them, Americans deserve to know if they’re also funded by the WEF, Gates Foundation, or even foreign adversaries.

Proud to cosponsor the Putting Trust in Transparency Act to expose it.
https://t.co/CF7ffZypj9",en,Tweet,1,30,7,9,1041,2025-09-15 17:00:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1967589488026435952',"The American people deserve answers. The radical left’s violence isn’t random. It’s organized, funded, and encouraged. 

It’s time to follow the money and hold them accountable.
https://t.co/CaEFBOEytO",en,Tweet,5,213,42,47,7522,2025-09-15 15:01:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.breitbart.com/law-and-order/2025/09/12/house-republican-group-wants-probe-into-force-behind-left-wing-violence/,,
'1966523867612037217',"Great to join @HUDgov’s Innovative Housing Showcase in D.C. As a member of the Housing & Insurance Subcommittee on @FinancialCmte, I’m always working to support policies that promote innovation, affordability, and access to housing for families nationwide.",en,Tweet,2,13,2,11,2213,2025-09-12 16:26:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0p-Sr3WgAA1W_u.jpg,https://pbs.twimg.com/media/G0p-SrjWcAItT94.jpg"
'1966493633231638653',"After the tragic assassination of Charlie Kirk, I signed on with @chiproytx and several of my colleagues calling for a Select Committee.

We’ve got to get to the bottom of the money and power driving these radical assaults on America. Enough is enough.",en,Tweet,37,3055,912,718,70403,2025-09-12 14:26:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966120043281854698',"Today we remember one of the darkest days in our nation’s history—the evil we faced, and the unmatched strength of the American spirit. I am forever grateful to our first responders and to the men and women in uniform who answered the call.

God bless the USA. https://t.co/QYzEfu27kq",en,Tweet,1,46,7,10,2656,2025-09-11 13:42:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kPjyQWsAAasno.jpg
'1965880702257529067',"This is truly heart-breaking. Elaine and I are praying for Charlie's young family.

Political violence has no place in America. Justice must be swift. https://t.co/KESgxuhLXe",en,Tweet,1,110,18,9,4742,2025-09-10 21:50:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0g1_8VWwAAsEG1.jpg
'1965853246049898889',Please join me in prayer for Charlie Kirk and his family.,en,Tweet,1,103,13,9,3134,2025-09-10 20:01:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965823966213537941',No — my amendment says you can't gut a program meant for military families with special needs just to fund radical experiments on kids and irreversible medical procedures on minors. https://t.co/D4k7mgd9YI,en,Tweet,1,14,4,3,821,2025-09-10 18:05:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965823911070715904/vid/avc1/1560x884/5ZHowrQwuYLGZCAH.mp4?tag=21
'1965813912286486853',"🚨I just offered an amendment to the NDAA to stop the Exceptional Family Member Program from being hijacked for gender transition procedures.

This program was created to help military families with REAL special needs — not to fund life-altering surgeries for kids.",en,Tweet,2,39,6,6,2162,2025-09-10 17:25:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965781361291321695',"If we don’t enforce our laws, we don’t have a country. 

Criminals belong behind bars — not roaming our streets.",en,Tweet,1,50,9,17,3881,2025-09-10 15:16:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
