tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970505034107617689',"Happy Rosh Hashanah to all who celebrate! Robin and I wish you and your loved ones a healthy and peaceful New Year—may it be a time of reflection, renewal, and joy. Shanah Tovah! https://t.co/noJm07xhVd",en,Tweet,0,0,0,0,199,2025-09-23 16:06:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ij1J7XgAAA5Xa.jpg
'1969573425459937725',"Such an honor to speak at tonight's prayer vigil for Charlie Kirk in Evans.

We will never forget Charlie’s enormous contributions and tireless work to ensure America lives up to its founding principles. May God grant comfort to his wife, Erika, his children, his family, and all who loved him.

Romans 8:28—""And we know that for those who love God all things work together for good, for those who are called according to His purpose.""",en,Tweet,0,10,1,1,438,2025-09-21 02:24:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1VUcjUW0AAecEF.jpg,https://pbs.twimg.com/media/G1VUd6xX0AAL2AW.jpg,https://pbs.twimg.com/media/G1VUfh3WsAADKhD.jpg,https://pbs.twimg.com/media/G1VUhISW4AA2V2g.jpg"
'1969083067617649146',"Proud to reintroduce the Safe Step Act with @RepLucyMcBath, @RepMMM, @RepRaulRuizMD, and @RepBobOnder!

This bipartisan bill will help ensure patients can safely and efficiently access the best treatment available by improving step therapy protocols.

https://t.co/NHB0y5lJd9 https://t.co/u9UHdqgfn5",en,Tweet,0,4,0,2,213,2025-09-19 17:56:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://allen.house.gov/news/documentsingle.aspx?DocumentID=6946,photo,https://pbs.twimg.com/media/G1OWiqBXYAAQtI5.jpg
'1968680832735797723',"Today, we honor the proud legacy of the men and women who have taken to the skies in service to our nation.

@usairforce continues to defend freedom with strength, precision, and innovation. Thank you to all who serve, past and present. Aim High… Fly-Fight-Win! 🇺🇸 https://t.co/zNm9RmOIGH",en,Tweet,0,0,0,0,174,2025-09-18 15:17:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1IorQsXoAAcC8b.jpg
'1968403433439846720',"✅ @EdWorkforceCmte advanced my Retire Through Ownership Act today with overwhelming bipartisan support!

This legislation will help ensure that those who pursue Employee Stock Ownership Plans (ESOPs) can do so with confidence and enjoy a secure retirement. https://t.co/odZ4eiUGcb",en,Tweet,0,4,2,4,531,2025-09-17 20:55:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EsAfkXMAAuKav.jpg
'1968315659324215624',"Today, we celebrate the signing of the U.S. Constitution on September 17, 1787 — the foundation of our democracy and the rights we cherish every day. 

Let us honor the vision of our Founding Fathers and continue to work toward a more perfect union.",en,Tweet,0,6,2,0,300,2025-09-17 15:06:37,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1967938650043564520',"Joined my colleagues in the U.S. Capitol last night for a prayer vigil honoring the life of Charlie Kirk—a devoted husband, father, and man of faith.

May God continue to bless Charlie's family and legacy. https://t.co/YwmhQzMb49",en,Tweet,0,98,15,19,8100,2025-09-16 14:08:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-FijWXMAAxtvw.jpg
'1966515131489128652',"The Fiscal Year 2026 National Defense Authorization Act (NDAA) restores peace through strength and ensures our fighting force remains the STRONGEST in the world.

My full statement: https://t.co/WSNbqVIzyr",en,Tweet,0,4,0,2,307,2025-09-12 15:51:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0p28J8WUAID8WO.jpg
'1966498204393890072',"Thank you, @AGPamBondi, for your leadership on upholding constitutional rights and supporting parents in America.",en,Tweet,0,5,0,2,584,2025-09-12 14:44:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966128002963747203',"Today, we remember.
We remember the lives lost.
We remember the heroes who ran toward danger.
We remember the unity that brought us together in the face of unthinkable tragedy.

24 years later, we still carry the memory of September 11, 2001. We will never forget. 🇺🇸 https://t.co/PDFo4ZP3te",en,Tweet,0,4,0,1,243,2025-09-11 14:13:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kWz8IXAAAD9WY.jpg
'1965882792799252782',"Please keep Charlie Kirk’s family and loved ones in your thoughts and prayers as they cope with this unimaginable loss. May our Lord and Savior hold them close in the days, months, and years ahead.",en,Tweet,0,15,3,1,2390,2025-09-10 21:59:16,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1965855610760757280',We must all unequivocally condemn the political violence plaguing our nation. Robin and I are praying for Charlie Kirk.,en,Tweet,0,8,2,1,1001,2025-09-10 20:11:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1965796385430950386',"As Chairman of the HELP Subcommittee, I will continue to call out union leaders who defend those that engage in disruptive, discriminatory, and antisemitic behavior at the expense of fair representation.

https://t.co/Wv7UXu4do6",en,Tweet,0,27,8,3,7436,2025-09-10 16:15:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.newsmax.com/politics/rick-allen-jewish-workers-unions/2025/09/10/id/1225830/,,
'1965513915879882776',"The federal government has no business tilting the scales on what appliances American families should buy.

@HouseCommerce is fighting to preserve consumer choice.",en,Tweet,0,1,1,3,399,2025-09-09 21:33:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965466960495329398',"We're approaching the one-year mark since Hurricane Helene devastated the 12th District. Many lessons were learned in the immediate aftermath—including the importance of emergency communications during natural disasters. 

Check out my questions during today's @HouseCommerce hearing on public safety communications:",en,Tweet,0,0,0,3,353,2025-09-09 18:26:54,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1965156477158457485',"September is National Literacy Month! 📚

Literacy is more than just reading—it’s the key to learning, lifelong opportunity, and achieving the American Dream. As a member of @EdWorkforceCmte, I will continue to shine a light on the importance of strong literacy skills for all students!",en,Tweet,0,3,1,1,541,2025-09-08 21:53:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0WjZjZXEAAomeg.jpg,https://pbs.twimg.com/media/G0WjZjcWoAAu-aC.jpg,https://pbs.twimg.com/media/G0WjZjaWAAAv8Kk.jpg,https://pbs.twimg.com/media/G0WjZjWWEAAulEF.jpg"
'1963597651301085374',"On average, tipped workers could see up to $1,300 more in their pockets thanks to 'no tax on tips.'

Enjoyed highlighting my visit to Dolan's Bar-B-Que in Statesboro during @HouseGOP's special order earlier this week. Watch here: https://t.co/jDxrl2pvy9",en,Tweet,0,6,3,4,403,2025-09-04 14:38:56,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1963594850424500224/vid/avc1/1280x720/NA8oyXKxrTXLU2Fs.mp4?tag=21
'1962512047775547533',Have a safe and blessed Labor Day! 🇺🇸 https://t.co/fl8gXL1d0y,en,Tweet,0,20,1,11,1364,2025-09-01 14:45:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/Gzw-TiCXoAAucoC.jpg
'1960736828404691364',"Robin and I are devastated by today's tragic shooting at Annunciation Catholic School in Minneapolis. Our prayers are with the families, students, and all those who have been impacted by this heart-wrenching tragedy.

We are also grateful to our law enforcement officers and first responders for their swift response and action. Please join us in praying for Minneapolis.",en,Tweet,0,5,1,4,656,2025-08-27 17:11:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1960388393960865935',"Four years ago today, 13 brave U.S. servicemembers tragically lost their lives in the Abbey Gate terrorist attack during the disastrous withdrawal from Afghanistan.

We will never forget their courage and sacrifice. https://t.co/gu5kdZx55p",en,Tweet,0,4,2,5,269,2025-08-26 18:06:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GzSyysKXMAA7zwt.jpg
'1958927740700070081',"95% of employees at Dolan's Bar-B-Q in Statesboro are college students.

Thanks to the One Big Beautiful Bill, these young workers will pay no taxes on their tipped income—putting more of their hard-earned money where it belongs: in their pockets. https://t.co/O6F5u8hIGw",en,Tweet,1,78,13,50,8033,2025-08-22 17:22:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gy-CNv-WoAEjySZ.jpg,https://pbs.twimg.com/media/Gy-CQGxWoAgO2G6.jpg,https://pbs.twimg.com/media/Gy-CRMxXIAAcJR2.jpg,https://pbs.twimg.com/media/Gy-CSY1WoAkGMDG.jpg"
'1957900875399127297',".@eastgahealth serves 12 counties in Georgia's 12th District.

I enjoyed stopping by the Swainsboro location to learn more about the many services this medical clinic provides to residents and those in need. Proud to have such dedicated caregivers right here in #GA12. Thanks for having me!",en,Tweet,0,4,0,4,321,2025-08-19 21:21:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#GA12,,photo,https://pbs.twimg.com/media/GyvcXaOXIAAtg_4.jpg
'1956378096447144252',"It was an honor to join the @CHCSga Administrative Building Ribbon Cutting Ceremony in Sandersville on Wednesday!

This tremendous addition to the community will help provide top-notch health care services to Washington County residents. Great crowd and great celebration! https://t.co/HoTFozpOiz",en,Tweet,0,2,5,5,341,2025-08-15 16:31:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GyZzda2XAAE6KxQ.jpg
'1955647324232753288',"The Evans, Tattnall, and Toombs Counties @FarmBureau legislative dinner brings together many voices of rural Georgia to discuss our state's number one industry: agriculture.

While the One Big Beautiful Bill delivers significant wins for farmers and producers, more work remains to ensure our farm families are made whole again after Hurricane Helene's destruction.",en,Tweet,0,4,7,3,318,2025-08-13 16:07:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GyPawB9XAAAmQg1.jpg,https://pbs.twimg.com/media/GyPax9eWwAA1Wob.jpg,https://pbs.twimg.com/media/GyPazNaWEAAxT44.jpg,https://pbs.twimg.com/media/GyPa0UQX0AAtVMO.jpg"
'1955292228693229692',"📉 Since President Trump took office, inflation is tracking at 1.9% and prices for everyday goods continue to decline. 

Pro-growth economic policies are a WIN for hardworking American families!",en,Tweet,0,8,10,39,1195,2025-08-12 16:36:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1954005539366547676',"Heartbroken by the loss of life in Atlanta this evening. Robin and I are praying for the family and loved ones of the officer who was tragically killed in the line of duty.

This brave hero rushed into danger to save innocent lives. Please join us in praying for all those impacted by this senseless act of violence.",en,Tweet,0,7,11,9,553,2025-08-09 03:23:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1953874893193498711',https://t.co/ILYBLXt1BL,zxx,Tweet,1,26,17,9,6820,2025-08-08 18:44:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://x.com/i/article/1953872767079567360,,
'1953525180015272166',"""Using union funds to pay a luxury private limousine service suggests that AFT is financing personal conveniences for senior officers rather than using union funds appropriately.""

Chairman @RepWalberg and I are demanding answers.",en,Tweet,0,7,12,4,1038,2025-08-07 19:34:32,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1953503565395206494',"Today is Purple Heart Day, a time to remember and recognize the brave U.S. servicemembers who were wounded or gave their lives in combat.

To all recipients of the Purple Heart — we are forever in your debt. https://t.co/BVHpvKa5bw",en,Tweet,0,17,11,6,3813,2025-08-07 18:08:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gxw7--UWsAAupGT.jpg
