tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970559875190055226',"When workers form a union, it shouldn't take years to get a first contract.

I'm supporting the Faster Labor Contracts Act to give workers the power to win fair wages and crack down on the big corporations who use delay tactics to wear them down.

https://t.co/pdhHDMrFZL",en,Tweet,0,4,2,1,328,2025-09-23 19:44:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.fingerlakes1.com/2025/09/23/riley-pushes-bill-to-speed-up-union-contracts-curb-corporate-delays/,,
'1970527573584040413',https://t.co/qOPBHzht4H,zxx,Reply,0,0,0,0,241,2025-09-23 17:35:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://nysfocus.com/2025/09/18/new-york-energy-bill-hikes,,
'1970527571667304749',"Utility bills in Upstate New York haven’t been this high in a decade. 

Over a million homes are at least two months behind on payments.

That’s why I introduced the Keep the Lights Local Act—to cut costs and put power back where it belongs: with the people who pay the rates.",en,Tweet,0,4,1,1,348,2025-09-23 17:35:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970239179012612147',Shana Tova to all Upstate New Yorkers celebrating Rosh Hashanah over the coming days! May this New Year be full of blessings and joy.,en,Tweet,0,9,1,0,365,2025-09-22 22:30:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970172665517261235',"I met with the Gilbertsville Fire Department to hear firsthand how rising NYSEG rates compromise the ability of rural fire departments to serve our community.

When essential services like local fire departments have to stretch every dollar just to keep the lights on, it puts public safety at risk.",en,Tweet,0,1,0,0,314,2025-09-22 18:05:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1d1WIvWgAEifj2.jpg
'1969898650907312545',"This weekend in Oneonta, veterans received support with health care, housing, VA services, and more at the Stand Down. 

Their sacrifice can never be repaid, but our community showed what it means to honor those who served. https://t.co/cUpczgwfij",en,Tweet,0,1,0,0,308,2025-09-21 23:56:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1Z8KiRXcAAKBbF.jpg,https://pbs.twimg.com/media/G1Z8KiPXgAA4LLu.jpg,https://pbs.twimg.com/media/G1Z8KiRXAAAK7Q1.jpg,https://pbs.twimg.com/media/G1Z8KiHXsAAvwi-.jpg"
'1969770844277662019',"Central Hudson says it’s “completely irrelevant” that it sends $80M/year to its foreign parent corporation. But for Hudson Valley families, it matters a lot. 

Why is that money going abroad instead of staying in your pockets? I filed this appeal to demand answers.

https://t.co/0buOzoNeHu",en,Tweet,0,4,0,0,272,2025-09-21 15:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969518860098220270',Great to attend the Vietnam Vets Watchfire in Lansing last night! https://t.co/x5RhgyFFAS,en,Tweet,0,2,0,0,324,2025-09-20 22:47:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1Uir6HX0AA4c_o.jpg,https://pbs.twimg.com/media/G1UisYKXEAAJHDB.jpg"
'1969396685605388576',"NYSEG and Central Hudson hate my bill to ban foreign corporations from owning American utility companies. 

Good. It's time we take our power back. https://t.co/CfKkSwiP1Y",en,Tweet,0,3,0,1,328,2025-09-20 14:42:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969396172797181952/vid/avc1/1280x720/SNDKE9kMZGdbAjnN.mp4?tag=21
'1969051392498421775',"An all too familiar story:

NYSEG and Central Hudson ask for rate hikes while their foreign parent corporations swim in cash.

Their army of lobbyists grease the politicians and the state regulators roll over.

The rates get approved, and Upstate New Yorkers get screwed. 

I’m introducing the Keep the Lights Local Act to ban foreign corporations from owing American utility companies.

This rigged system ends today.",en,Tweet,1,0,0,1,355,2025-09-19 15:50:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969050341015457792/vid/avc1/1080x1920/XKVj8w6tQ2_rr01N.mp4?tag=21
