tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970282918858608851',The Trump Administration has refused to send a bipartisan congressional delegation to the UN this year — blocking my official participation but not my Republican counterpart’s. This isn’t the strong showing of unity and cooperation that we need at the UN.,en,Tweet,1,99,42,51,28459,2025-09-23 01:23:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970264431373222300',"To everyone celebrating Rosh Hashanah — Shana Tova! As I spend time with my family, I’m wishing you all peace, joy, and sweetness as we start the new year.",en,Tweet,0,25,4,3,1745,2025-09-23 00:10:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970214956068188569',"It was so fun meeting the 4th graders at Foster Elementary School! They were so engaged and excited to talk about the three branches of government and my job as a Member of Congress, which they're learning about in social studies. https://t.co/duKwgLY6VQ",en,Tweet,1,18,6,4,1302,2025-09-22 20:53:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1ecAhjWcAAcKl7.jpg,https://pbs.twimg.com/media/G1ecA9SXkAAlLnz.jpg"
'1970174466841035252',"I joined El Cajon Valley School District 4th and 5th grade families and their USD student mentors for fun, hands-on STEAM activities (like Minecraft!) as part of Project eSPAC3! https://t.co/rUpmbMkr0X",en,Tweet,0,11,1,0,947,2025-09-22 18:12:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1d3OSrWcAAYRwQ.jpg,https://pbs.twimg.com/media/G1d3OSdWAAASlox.jpg"
'1970156350044070140',"It was great to celebrate 20 years of College-Rolando Branch Library!

Our public libraries are institutions of democracy, inclusion, and free thought where people of all kinds can build community. We need great libraries like this one now more than ever. https://t.co/b3JVMGYSaV",en,Tweet,0,17,1,1,1364,2025-09-22 17:00:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dmuyIXoAE088S.jpg,https://pbs.twimg.com/media/G1dmuyTWEAAUMuU.jpg"
'1969868032152621546',"A lesser-known benefit of Medicaid was that it helped people find and stay in stable housing. Republicans just gutted Medicaid – potentially pushing more people into homelessness. 
https://t.co/1lMIG3dQji",en,Tweet,8,200,97,136,6433,2025-09-21 21:55:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2025/09/17/us/politics/trumps-medicaid-cuts-homeless.html,,
'1969492955955114454',"HALF of all children in the U.S. get their health insurance through Medicaid.

Families with kids already dealing with medical conditions will now have to face losing insurance and care after Republicans’ passed their Big Ugly Law and gutted Medicaid.
https://t.co/2lgWP5ikyi",en,Tweet,2,27,16,12,3011,2025-09-20 21:04:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.theguardian.com/us-news/2025/sep/17/medicaid-health-insurance-cuts-trump,,
'1969113992325914772',"70 million people with disabilities and serious medical conditions receive in-home care assistance they otherwise could not afford without Medicaid.

This is about survival AND quality of life. By gutting Medicaid, Republicans' Big Ugly Law threatens both.
https://t.co/s4g5yHYKkU https://t.co/icFSiVDVt1",en,Tweet,1,24,8,5,1837,2025-09-19 19:58:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.theguardian.com/us-news/2025/sep/12/medicaid-caregivers-trump-cuts,photo,https://pbs.twimg.com/media/G1OysxyXsAAseYX.png
'1969092576276873455',I was happy to join folks at Ward Canyon Park for a community cleanup last weekend. Thanks to SD City Councilmember @SeanEloRivera for organizing this alongside several great organizations! https://t.co/DbiFQY3ycq,en,Tweet,0,11,1,2,1322,2025-09-19 18:33:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OfQFHXwAAoWV2.jpg,https://pbs.twimg.com/media/G1OfQFEXIAAPs9K.jpg"
'1969043921746448749',"JD Vance said he doesn't ""give a shit what you call it” when accused of WAR CRIMES.

That's why I introduced an amendment to prohibit funds authorized in this bill from being used to commit war crimes.

Sad that it's needed — even sadder that my Republican colleagues voted NO. https://t.co/cUkYGMHVPM",en,Tweet,72,2954,737,331,58077,2025-09-19 15:20:28,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1969042739024039936/vid/avc1/720x1280/wCHPv3PjCiMcv5em.mp4?tag=21
'1968761825387827290',Guess my Republican colleagues didn’t think this one through. https://t.co/ey4TOsfm5a,en,Tweet,1908,14143,1630,327,607842,2025-09-18 20:39:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968761767351271424/vid/avc1/1080x1920/aPrFAp3Msmrioulk.mp4?tag=21
'1968721755926589942',"This isn’t cancel culture – it’s state-sanctioned censorship. The President of the United States should know and respect that our First Amendment protects speech even if he doesn’t agree with it. If Jimmy Kimmel can be fired, you can be too.
https://t.co/f7qaQJOBMG",en,Tweet,18,1043,291,1519,29192,2025-09-18 18:00:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nbcnews.com/pop-culture/tv/disneys-abc-pulls-jimmy-kimmel-live-fcc-chair-blasts-hosts-charlie-kir-rcna232033,,
'1968356039813923251',"24 million people on ACA health insurance plans will see their costs go up by up to 75% next year–unless Republicans join Democrats in Congress to extend the ACA premium tax credit.

For many, this tax credit is the difference between having health care and not.
https://t.co/GGoCLhq9a7",en,Tweet,2,16,4,5,2427,2025-09-17 17:47:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968307557535265177',"Grocery prices are up, tariffs are piling on, job numbers are down – and Trump is too busy lining his own pockets with crypto schemes to care.",en,Tweet,2,14,4,13,3184,2025-09-17 14:34:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968009566291173768',"1 in 4 military families report infertility (higher than the national average). That’s why I'm fighting to expand military health care coverage of IVF and fertility treatments for our service members and their dependents.
https://t.co/0OViMKn0yF",en,Tweet,0,5,1,4,1536,2025-09-16 18:50:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.axios.com/local/san-diego/2025/09/12/jacobs-military-fertility-coverage,,
'1967973450578047141',"Health care costs are rising and Republicans in Congress are making it worse.

They voted to gut Medicaid and have (so far) failed to extend the ACA premium tax credits that help millions of working families afford health insurance. We need action now.
https://t.co/1UWnmEHUa4",en,Tweet,0,6,3,4,1965,2025-09-16 16:26:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cnbc.com/2025/09/11/cpi-report-health-care-inflation-rises.html,,
'1967699118110949501',"Quick question: is pushing 1 million people into poverty making America great again?? Just curious.
https://t.co/LbEcCuuSgp",en,Tweet,1,14,6,8,1955,2025-09-15 22:16:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cnn.com/2025/09/10/business/trump-trade-prices-poverty-report,,
