tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970550039820009680',"At a time when aviation professionals are needed more than ever, the West Michigan Aviation Academy is a huge asset to our community and our nation. It’s a launching pad for high schoolers interested in the aviation field, allowing them to SOAR to new heights. 

Always great to pay a visit to the students and instructors there!",en,Tweet,0,1,0,1,201,2025-09-23 19:05:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1jM0LYXkAAxx0F.jpg,https://pbs.twimg.com/media/G1jM0LaWgAAUnND.jpg,https://pbs.twimg.com/media/G1jM0LTWYAEX3gz.jpg"
'1970225867151327266',"Shanah Tovah! In the midst of increasingly difficult times for the Jewish community in America and around the world, may this season of renewal bring you and your family peace, happiness, and good health. https://t.co/bqRo6vBO2l",en,Tweet,1,5,1,1,283,2025-09-22 21:37:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1el-zzW4AALAPn.jpg
'1970198136342634589',"I’m proud to stand with my @DemWomenCaucus colleagues to call on @USDOL to investigate the alarming exit of women from the workforce and lead with solutions. 

We can’t wait. Our economy, our families, and our future depend on it. #WorkforceEquity",en,Tweet,0,1,0,0,317,2025-09-22 19:46:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#WorkforceEquity,,,
'1970119962170679358',"I’m grateful to be working with the @michpca and community health leaders from West Michigan. These centers care for more than 94k of our neighbors — and they need Congress to act on funding to stay afloat. 

I am proud to be part of this fight alongside them. https://t.co/JgZzpx1X0s",en,Tweet,0,3,1,0,270,2025-09-22 14:36:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1dFqUJXwAApjYV.jpg,https://pbs.twimg.com/media/G1dFqT8W8AAj8Rr.jpg"
'1969786106053882069',"Great hearing from stakeholders at our @NewDemCoalition Air Traffic Control Roundtable to hear from experts in the field and continue working together to support air traffic controllers.

They know firsthand how desperately we need to invest in our air traffic control system to keep our airways and passengers safe.",en,Tweet,0,2,1,2,236,2025-09-21 16:29:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1YWAqbXIAAbDTC.jpg,https://pbs.twimg.com/media/G1YWAqYXIAAG5lS.jpg"
'1969520271368311262',"If you're a current H-1B visa holder in the United States, you should not leave the country. If you're out of the country, you should consider returning home from abroad immediately. 

For case specific advice, I encourage all H-1B visa holders to speak to their employers or attorneys. If you are an H-1B visa holder abroad, and prevented from getting back to West Michigan, our office is here to help. Visit https://t.co/IYVhKpl1zN to contact us.",en,Reply,0,2,2,1,221,2025-09-20 22:53:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969520268319113331',"Make no mistake: President Trump's latest proclamation on H-1B visas is an attack on our economy, and a further assault on health care. 🧵 
https://t.co/zwKEoFssBU",en,Tweet,0,5,2,3,396,2025-09-20 22:53:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://apnews.com/article/h1b-visa-trump-immigration-8d39699d0b2de3d90936f8076357254e#,,
'1969479627484606674',"Our small businesses face myriad challenges when competing in the federal marketplace, and my amendment to the NDAA would help maintain a level playing field for these entrepreneurs. 

I’m proud that this amendment is moving to the Senate, and I encourage my colleagues to vote yes and support our small business owners.",en,Tweet,0,1,1,0,280,2025-09-20 20:11:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1T_R8GXkAA1hRf.jpg
'1969166546065846660',Read more here. https://t.co/W6ecOeGslR,en,Reply,0,1,0,1,170,2025-09-19 23:27:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.detroitnews.com/story/opinion/2025/09/18/scholten-congress-must-act-to-protect-michigans-wetlands/86207386007/?gnt-cfr=1&gca-cat=p&gca-uir=true&gca-epti=z115849p003550c003550e008600v115849b0041xxd004165&gca-ft=169&gca-ds=sophi,,
'1969166543159177229',"I‘ll always work to protect clean water, including our wetlands, and to ensure we are doing everything we can to limit the devastation of future floods in Michigan and beyond.

That’s why I’m leading the Federal-State Partnership for Clean Water Act — a step in the right direction to safeguard our waters and help prevent the devastation of extreme, unmitigated flooding.

Let’s pass this bill and protect our wetlands. Our clean water future depends on it. 🧵",en,Tweet,0,3,1,2,244,2025-09-19 23:27:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Pih_VWkAAvCZS.jpg
'1969117677231747562',"We’re once again on the brink of a government shutdown — a pattern that has become all too familiar in our political world. 

However, it doesn’t have to be this way. In fact, it SHOULDN’T be this way. Let’s get into it on this week’s episode of Straight Talk With Scholten.

Watch and subscribe at https://t.co/5pVZttlS7a.",en,Tweet,0,1,0,1,243,2025-09-19 20:13:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969117118927917056/vid/avc1/1920x1080/rFr-uljrcddUoTzB.mp4?tag=21
'1969077435472794102',My statement on the resolution to condemn political violence. https://t.co/U0oQ25bhmj,en,Tweet,0,2,0,2,272,2025-09-19 17:33:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ORR8BX0AYORgZ.jpg
'1968724950597972033',Our labor unions and organizations are drivers of change in the workforce. It’s always great to meet with West Michigan @Teamsters to reaffirm my commitment to American workers. https://t.co/3Iivxd2OSc,en,Tweet,0,5,1,3,428,2025-09-18 18:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JQ6CFXsAEYfEv.jpg
'1968470082218336717',"I’m determined to expand access to capital for entrepreneurs, but I’ve heard from countless Michigan small business owners that it’s becoming harder to access capital with recent changes at the @SBAgov. 

At this week’s @HSBCDems hearing, I advocated for our small business owners and asked SBA leaders how they were working to address this problem.",en,Tweet,0,5,1,1,363,2025-09-18 01:20:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968469839715893249/vid/avc1/2160x3840/UURe_VPJoMSXs5dT.mp4?tag=21
'1968451907867078675',"Today, my amendment to bolster safety and accountability in the event of a pipeline failure passed through @TransportDems. It's crucially important for our state, as the operations of our public roads and other transportation systems are integral to delivering goods across the country and the world, and pipeline failures can risk our supply chain.

Thank you to my colleagues for their support of this important amendment.",en,Tweet,0,3,0,1,299,2025-09-18 00:08:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1FYkziXwAEVqFc.jpg
'1968393180946293134',"So excited to join @MichSoS for an in-person town hall next week in Muskegon Heights! This will be a great chance to ask Sec. Benson and me questions about our work, issues impacting Michiganders, and what we’re doing to fight for you.

RSVP at https://t.co/ZAvJp2K9gS. Hope to see you there!",en,Tweet,2,2,0,4,971,2025-09-17 20:14:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://scholten.house.gov/townhall,photo,https://pbs.twimg.com/media/G1EjKF1XYAESDdv.jpg
'1968371396549189765',"We’re running out of time to keep our government functioning. The American people deserve a responsible funding package that supports our essential services and employees — not a partisan package that undermines what keeps our nation afloat. 

Let’s get to work. https://t.co/USbZGuW0AO",en,Tweet,0,0,0,1,182,2025-09-17 18:48:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EPWolXkAAuY60.jpg
'1968309124338422154',"As for me, I'll continue to fight for West Michiganders and will never bow down to a wannabe authoritarian.",en,Reply,0,2,0,1,165,2025-09-17 14:40:39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968309122497122404',"I am continually surprised at the lengths my @HouseGOP colleagues will go to in order to protect the whims and wishes of President Trump.

Even when his policies hurt their own constituents, they continue to bend the knee. https://t.co/DaQADkAfzo",en,Reply,0,3,0,1,177,2025-09-17 14:40:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.msnbc.com/inside-with-jen-psaki/watch/so-much-for-loyalty-red-states-devastated-by-trump-cuts-tariffs-234654277599,,
'1968309120727142638',"Republican leadership, chaotic as ever, took nearly an hour to get their party together and prevent the passage of this resolution — at the behest of President Trump.

So for now, the effort to enforce our constitutional authority as it relates to national emergencies is on pause.",en,Reply,0,2,0,1,26,2025-09-17 14:40:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968309118269309415',"Importantly, Congress can terminate an emergency declaration with a ""joint resolution,"" which is a measure passed by the House and Senate.

@HouseDemocrats and a few Republicans came together on a joint resolution that would terminate the President's current national emergency. https://t.co/TWZ8pr2qd7",en,Reply,0,2,0,1,29,2025-09-17 14:40:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968309116251828480',"President Trump has enforced his sweeping tariffs under the ""National Emergencies Act,"" which empowers the president to activate special powers during a crisis. President Trump uses these powers at a rate no previous peacetime president has come close to. https://t.co/nSJapF8d1G",en,Reply,0,2,0,1,43,2025-09-17 14:40:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nytimes.com/interactive/2025/08/22/us/politics/trump-emergency-immigration-tariffs-crime.html,,
'1968309114540282353',"Congress is supposed to be a separate and equal branch of government to the President and his Administration — not blind enforcers of the Executive Branch's policies.

Let's talk about what happened on the House floor this week, and how President Trump is taking power away from Members of Congress — the only directly elected government officials in our country. 🧵",en,Tweet,0,4,0,2,192,2025-09-17 14:40:36,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967956172004307373',"Every year, the government funding deadline falls on the same day: September 30th. It's not a surprise.

We only have two weeks left to pass a responsible funding package that keeps our government afloat. https://t.co/wMeF3mJ2nZ",en,Tweet,0,0,0,3,191,2025-09-16 15:18:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.nbcnews.com/politics/congress/government-shutdown-deadline-sept-30-trump-republicans-go-alone-rcna231424,,
'1967759356952457548',"Great to meet with superintendents from all across MI-03 today — we had representation from Kent, Muskegon, and Ottawa counties! I’m a steadfast supporter of our educators, and will continue working alongside them to ensure West Michigan’s students have what they need to thrive. https://t.co/Etpky7YO1M",en,Tweet,0,0,0,1,240,2025-09-16 02:16:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G07is74WsAA0QP1.jpg,https://pbs.twimg.com/media/G07is7xW4AALLNw.jpg"
'1967736110987219323',"I’m back in Washington working to do what I can to get a smart, responsible funding package passed for the American people. 

We have until September 30th to get this done. It’s time to get to work. https://t.co/S5pXAUr1x1",en,Tweet,0,4,0,4,245,2025-09-16 00:43:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967735873354555392/vid/avc1/2160x3840/o6DSc587-kzKW8qh.mp4?tag=21
'1967339926716109218',"So proud to see the affordable housing project reach completion in the Alger Heights neighborhood! I was proud to secure a grant that supported the project, and I look forward to seeing our affordable housing options continue to expand in West Michigan.
https://t.co/gBQJUEwKvI",en,Tweet,1,6,1,4,327,2025-09-14 22:29:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.crainsgrandrapids.com/news/real-estate/nonprofit-wraps-14m-conversion-of-former-school-into-27-affordable-condos/,,
'1967022363263815714',"For decades, the Grand Rapids Chapter of the National Black Nurses Association has played an important role in educating and caring for our neighbors throughout West Michigan. 

I was proud to speak at their annual Sponsoring a Dream Scholarship Gala and reaffirm my commitment to fighting for equitable, accessible health care.",en,Tweet,0,3,1,7,418,2025-09-14 01:27:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0xEZ9HXAAA32pj.jpg,https://pbs.twimg.com/media/G0xEZ9RWkAAOfx2.jpg,https://pbs.twimg.com/media/G0xEZ9RWcAAdMkS.jpg,https://pbs.twimg.com/media/G0xEZ9HXoAAMEpb.jpg"
'1966954385784619076',"On this day in 1994, President Clinton signed the first-ever Federal Assault Weapons Ban into law. Since it expired in 2004, Congress has failed to reestablish an assault weapons ban, and innocent Americans have paid the price.

It’s long past time to pass another assault weapons ban. Congress must take action now. These weapons of war have no place in our communities, churches, classrooms, or on our streets.",en,Tweet,0,9,1,5,350,2025-09-13 20:57:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966560178997703087',"I’m deeply concerned about the steep cost of health care, and the folks being hit the hardest are everyday, hardworking Americans like you. 

On this week’s episode of Straight Talk With Scholten, I discuss two of the culprits behind the costs of health care rising — two that COULD and SHOULD be resolved by Congress.

Let’s get into it.
https://t.co/pFHrWdnYKt",en,Tweet,0,13,2,7,1183,2025-09-12 18:50:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966559467392151552/vid/avc1/1920x1080/dPDugCHcLWsORzzq.mp4?tag=21
'1966519168754233476',"Our aviation professionals deserve support.

I’m a proud cosponsor of the Mental Health in Aviation Act of 2025, which passed the House this week, and would require @FAANews to review and update its regulations and policies on mental health for pilots and air traffic controllers. https://t.co/o024mYsh8H",en,Tweet,0,3,1,3,269,2025-09-12 16:08:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0p6wOEXAAEjpJX.jpg
'1966289993418096673',"At a time when the gender wage gap is widening and women are rapidly leaving the workforce, let’s set the record straight.

Women workers deserve fair pay, including women athletes. 

I sent a letter with @DemWomenCaucus colleagues urging the WNBA to negotiate fairly with players and take their requests seriously.",en,Tweet,0,17,5,6,2495,2025-09-12 00:57:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966252520868925764',"Let me be clear: I’m ready to work with anyone to enact real permitting reform that both expedites decisions AND safeguards our waters. 

@TransportDems are ready to make it happen. https://t.co/PHcZYFalAb",en,Tweet,0,1,0,1,286,2025-09-11 22:28:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0mIPvqWkAAWE7w.jpg
'1966207064339869847',Read more here. https://t.co/kxsyZSkgsb,en,Reply,0,0,0,0,262,2025-09-11 19:27:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://scholten.house.gov/media/press-releases/lowering-costs-caucus-leaders-call-dept-transportation-protect-air-travelers,,
'1966207061026304411',"Airline travelers facing delays were set to receive compensation for lengthy delays and cancellations under a Biden-era rule, that is, until recently. Trump’s @USDOT reversed course on this rule, ending a commonsense approach to flight delays — an issue we all despise.

I’m joining my Lowering Costs Caucus colleagues to call on @SecDuffy to rethink this decision and support American air travellers.",en,Tweet,0,3,3,2,1668,2025-09-11 19:27:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0le1sJWkAA3Qvk.jpg,https://pbs.twimg.com/media/G0le1sCXgAAHEDM.jpg"
