tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970570423608693024',"I introduced the Essential Workers for Economic Advancement Act (EWEA) and the USA Workforce Investment Act, two important pieces of legislation to strengthen America’s workforce.

Investing in opportunities to strengthen our workforce and grow our economy is a win-win for American workers and businesses.

A strong workforce ➡️ strong businesses ➡️ a thriving economy.
https://t.co/VyHUa7jBAJ,",en,Tweet,0,9,3,4,320,2025-09-23 20:26:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970255562832003392',Shanah Tovah to all our friends celebrating Rosh Hashanah! May this new year bring many blessings. https://t.co/QbfeT50LX2,en,Tweet,0,1,0,0,278,2025-09-22 23:35:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1fA-guWYAAyJjg.jpg
'1970217343683842367',"💻ATTENTION: Middle and High School students!

My office is participating in the 2025 Congressional App Challenge (CAC). Don’t forget to sign up by October 30!

Find out more information here:
visit https://t.co/bJlbRHqoya https://t.co/aiJLcpsQCY",en,Tweet,0,3,2,1,320,2025-09-22 21:03:14,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,http://www.CongressionalAppChallenge.us,photo,https://pbs.twimg.com/media/G1eeN1xXAAA1ZIU.png
'1969067159927062807',"Today, the House of Representatives held a moment of silence to honor the lives of three fallen Northern York County Regional Police officers who tragically lost their lives in the line of duty on Wednesday, September 17.

Det. Sgt. Cody Becker
Det. Mark Baker
Det. Isaiah Emenheiser

The Pennsylvania Delegation, along with the entire House of Representatives, mourns this tragic loss. Our hearts and prayers are with the families, loved ones, fellow officers, and our entire York County community during this difficult time.",en,Tweet,0,15,6,3,692,2025-09-19 16:52:49,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1969067011406733312/vid/avc1/1920x1080/A7rqifRL2SPVAQH1.mp4?tag=16
'1968799852956979412',"Thank you to @WaysandMeansGOP for PASSING my Social Security Child Protection Act. In 2022, 1.7 million children were victims of identity theft. This bill would require the SSA to issue a new SSN to a child under 14 years of age if the card is lost or stolen in the mail, preventing fraud before it happens.",en,Tweet,0,6,2,5,428,2025-09-18 23:10:38,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968799746618773504/vid/avc1/1920x1080/YDHvpIh7hxTKFCwa.mp4?tag=16
'1968748164707434925',"Proud to have my Claiming Age Clarity Act pass through @WaysandMeansGOP committee with strong bipartisan support. This simple, yet powerful bill helps Americans better understand their Social Security retirement benefit options. 

Thanks for the support @AARP, @AMACforAmerica, @BPC_Bipartisan",en,Tweet,0,13,2,6,407,2025-09-18 19:45:14,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968748058293702656/vid/avc1/1920x1080/kW6WSMdJ33iS9J-s.mp4?tag=16
'1968487742133715167',"I am devastated and heartbroken by the senseless and horrific tragedy that unfolded today in North Codorus Township. We mourn the brave officers who lost their lives in the line of duty, and we extend our deepest sympathies and prayers to their families and loved ones. Tonight, families are facing the unimaginable pain of loved ones not returning home and there is a profound sense of loss felt by our entire community. 

We ask everyone to keep the Northern York Regional Police Department, York County Sheriff’s Office, and all first responders across our community in your thoughts and prayers, as they grieve the loss of their fellow officers. We hope for the swift recovery of the injured officers and are grateful to the dedicated medical professionals providing their care. Our community will come together to support our brave law enforcement officers and all who are affected by today’s tragedy.",en,Tweet,1,30,9,2,1395,2025-09-18 02:30:25,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968403641556996195',"I'm proud to cosponsor the Hospital Inpatient Services Modernization Act (H.R. 4313), which PASSED through @WaysandMeansGOP committee today. 

This bill provides high-quality care to patients in the comfort of their homes, improving recovery outcomes and lowering costs for Americans. 

CC: @VernBuchanan @RepDwightEvans",en,Tweet,3,9,4,2,1390,2025-09-17 20:56:13,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1968403555938611200/vid/avc1/1920x1080/s3Yc80xVs8GSWTVt.mp4?tag=16
'1968400155113029657',"Closely monitoring breaking news reports of police officers being injured responding to an incident in York County. 

Please join me in praying for our first responders and all involved.",en,Tweet,1,26,10,4,3457,2025-09-17 20:42:22,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
'1968325825222058055',"We the People.  

Today, we celebrate the signing of the U.S. Constitution, the document that forged the foundation of our nation and secured the freedoms we hold dear. https://t.co/c9GrHWW1uu",en,Tweet,0,2,0,1,319,2025-09-17 15:47:01,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1Dl4_NWgAAbVWO.jpg
'1968087274106564772',"I had a great visit with orthopedic surgeons from Pennsylvania to discuss Medicare reforms, the burdensome prior authorization process, and ways to advance care for Pennsylvania patients. https://t.co/Qc5RBrxe6e",en,Tweet,0,1,1,3,330,2025-09-16 23:59:06,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G1AM7fuXkAA2klB.jpg
'1967941008815001624',"Congratulations and welcome to 26 of America’s newest citizens who took their Oath of Allegiance on Friday! Representing 18 different countries, they now proudly call America home. 🇺🇸 https://t.co/mRPcHP0PhW",en,Tweet,0,7,0,4,540,2025-09-16 14:17:53,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,photo,https://pbs.twimg.com/media/G0-H5t4W0AEdQwd.jpg
'1967741540970713346',"No Tax on Tips = More money back in your pocket 💸  

Listen in to hear how the No Tax on Tips provision included in the Working Families Tax Cuts lets Americans keep more of their hard-earned money. https://t.co/NLvBNSy3br",en,Tweet,0,2,1,2,460,2025-09-16 01:05:16,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1967741477087330304/vid/avc1/1920x1080/e-KNTHDyrEJTnWki.mp4?tag=16
'1967685319500898428',https://t.co/LBpqhx8xnC,zxx,Reply,0,1,0,0,226,2025-09-15 21:21:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://smucker.house.gov/media/press-releases/smucker-introduces-legislation-protect-children-identity-theft,,
'1967685318162665511',"Protecting children from identity fraud is something all of Washington should agree on.

I introduced a bill to do just that. H.R. 5348, the Social Security Child Protection Act, requires the Social Security Administration to issue a new SSN if a child’s card is lost or stolen in the mail before fraud occurs.",en,Tweet,0,2,0,4,318,2025-09-15 21:21:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967255911451271635',"50,000 acres of farmland preserved in York County!

Thank you to York County Agricultural Land Preservation Board for protecting our land and preserving our way of life that sustains families, communities, and our nation. https://t.co/ZRXVRshwuU",en,Tweet,0,9,2,3,409,2025-09-14 16:55:33,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,video,https://video.twimg.com/amplify_video/1967255784703623169/vid/avc1/884x492/rmTHlMFdg0Sx_7uL.mp4?tag=16
'1966939061806854580',"The Working Families Tax Cut is Working. For. Families:
💲 Largest tax cut in history
☕ Tax relief for overtime and tipped workers
👪 Increased Child Tax Credit
🏡 PA households save $12,000 a year",en,Tweet,0,2,1,4,315,2025-09-13 19:56:30,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,,,
