tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970596715695874393',"Today I attended the @AldineISD Knippel Education Center @KEC_AISD Hispanic Heritage celebration and had the opportunity to speak with students about my heritage and the importance of staying focused on their education. It was inspiring to see our future leaders celebrating their culture and community.

@HouseDemocrats @HispanicCaucus",en,Tweet,0,15,4,3,1268,2025-09-23 22:10:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1j3Ko_WUAAmoCd.jpg,https://pbs.twimg.com/media/G1j3KokW0AAzpMG.jpg,https://pbs.twimg.com/media/G1j3KpkWQAAQX6l.jpg,https://pbs.twimg.com/media/G1j3KoyWgAAbZ2r.jpg"
'1970564486684660127',"🚨 Big news: @EliLillyandCo is investing $6.5 billion in a new pharmaceutical manufacturing facility in Houston.

This project will mean hundreds of permanent jobs, thousands of construction jobs, and a stronger future for Houston as a center of health care innovation.

@HouseDemocrats @HouseDPCC @HoustonTX",en,Tweet,0,4,0,0,610,2025-09-23 20:02:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970515536195801477',"With ACA tax credits set to expire at year’s end, 22 million Americans face premium hikes of up to 75%. No family should have to choose between health care and groceries.

Trump and Republicans promised to lower costs — instead they’re making health care more expensive. And now, rather than act to protect families, they’d rather shut down the government and throw our economy into chaos. America deserves better.

@HouseDemocrats @HouseDPCC",en,Tweet,0,5,2,3,709,2025-09-23 16:48:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970286283848339912',"Shanah Tovah! In the midst of increasingly difficult times for the Jewish community in America and around the world, may this season of renewal bring you and your family peace, happiness and good health. @HouseDemocrats @HouseDPCC https://t.co/0v1QZ7Yd9V",en,Tweet,0,6,1,2,528,2025-09-23 01:37:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1fc18WWQAAGWOk.png
'1970200164607422594',https://t.co/eT8AsN09YJ,zxx,Reply,0,4,0,0,300,2025-09-22 19:54:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://sylviagarcia.house.gov/media/press-releases/congresswoman-sylvia-garcia-leads-bipartisan-push-to-protect-older-job-applicants,,
'1970200163336511820',"Older workers bring experience, skills, and stability. Yet too many are shut out because of age. I’m proud to be leading the bipartisan Protect Older Job Applicants Act to close loopholes and strengthen our workforce. It’s time to end age discrimination in hiring.
@RepMariaSalazar @BobbyScott @JayObernolte @EdWorkforceDems @AARP @NHCOA @NCOAging",en,Tweet,0,9,0,4,457,2025-09-22 19:54:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970186906228101551',"I hosted a rail safety roundtable today with @EastEndDistrict and @RepRickLarsen. @HouseDemocrats are being active partners in addressing blocked crossings, working hand-in-hand with state, county, and city leaders. 

With all of us at the table, we get closer to solutions that bring real relief to families and businesses in our community.",en,Tweet,0,9,0,2,493,2025-09-22 19:02:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1eBKY8WQAA82yt.jpg,https://pbs.twimg.com/media/G1eBKY1WMAAeqWC.jpg,https://pbs.twimg.com/media/G1eBKY2WEAEoqNx.jpg,https://pbs.twimg.com/media/G1eBKYsWkAAkppa.jpg"
'1970151073454100939',"This morning I was joined by @RepRickLarsen, Ranking Member on @TransportDems, for a tour of rail crossings in the district.

Last year, tragedy struck when a student lost their life trying to get to school. We have not forgotten. @HouseDemocrats are committed to delivering the resources and solutions our community needs.",en,Tweet,0,8,2,3,534,2025-09-22 16:39:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1dh9PsXwAAib2I.jpg,https://pbs.twimg.com/media/G1dh9PaWIAAe-L-.jpg,https://pbs.twimg.com/media/G1dh9PbXAAAgrRF.jpg,https://pbs.twimg.com/media/G1dh9PaXcAEvnff.jpg"
'1969926433859604520',Celebrating Bishop James Dixon on his 44th pastoral anniversary and his decades of impact in our community. I’m grateful for his faithful leadership and the inspiration he provides to so many. https://t.co/OuYxdv299W,en,Tweet,0,9,1,0,638,2025-09-22 01:47:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1aTpImXgAAB0Z7.jpg,https://pbs.twimg.com/media/G1aTpIhW4AE-JXc.jpg"
'1969825346519232862',"Dreamers were brought here as children. Today they face their most uncertain moment yet. We must act.

I’m leading the bipartisan American Dream and Promise Act to finally deliver permanent protections.

I urge my colleagues in Congress: do the right thing and stand with Dreamers.

@HispanicCaucus @HouseDemocrats @HouseDPCC",en,Tweet,2,58,20,7,8494,2025-09-21 19:05:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969162111805710829',@HispanicCaucus @HouseDemocrats @HouseDPCC @FWDus @WeAreUnidosUS @CHIRLA,qam,Reply,0,5,3,5,703,2025-09-19 23:10:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969159567608316248',"The Felon in the White House, Kristi Noem, and their ICE thugs want to ignore the legal status of DACA recipients and strip Dreamers of their rights. We won’t let it happen. This Hispanic Heritage Month, we’re standing strong and saying loud and clear: hell no — home is here. https://t.co/OvLiknFVao",en,Tweet,13,428,121,240,21307,2025-09-19 23:00:00,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1969147410673741824/vid/avc1/1080x1920/7fQnl-L9ht3QuKAj.mp4?tag=21
'1969082269680783367',"Today I honored the life of Judge Gladys Toney Bransford — a dear friend, colleague, and leader in our community. Her legacy of service will continue to inspire us all. I send my deepest prayers to her family and loved ones.

@HouseDemocrats https://t.co/sXqdonOPFM",en,Tweet,0,4,1,1,405,2025-09-19 17:52:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969080573848129536/vid/avc1/1080x1920/6yc8T8lgVoT2jb5R.mp4?tag=21
'1969075828438044887',"🚨 Republicans just rammed through a partisan spending bill that escalates their assault on affordable health care. By letting the ACA credits expire, they’re jacking up premiums by 93% for 24 million Americans.

Parents will be forced to choose between putting food on the table or taking a sick child to the doctor.

I stood with @HouseDemocrats and voted NO. Working families can’t afford these cruel policies.

@HouseDPCC @RepJeffries",en,Tweet,0,6,3,8,497,2025-09-19 17:27:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969075301364715525/vid/avc1/2160x3840/KNdgWkqxVagacXco.mp4?tag=21
'1968808427498447164',"Proud to be an original cosponsor of this resolution.

Any violence and especially political violence has no place in our country. 

We must stand together and reject political violence in every form, at any time, in every place. 

@HouseDemocrats @HouseDPCC",en,Tweet,0,5,1,2,772,2025-09-18 23:44:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968754553706213775',"🚀 Proud to meet with @AFGENational Local 2284 — the workers at NASA’s Johnson Space Center who keep America’s space program moving.

I’ll always stand with unions fighting for fair wages, dignity, and respect. https://t.co/kVUbbp0DZN",en,Tweet,1,14,5,1,823,2025-09-18 20:10:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Jr0GsWYAAsutn.jpg
'1968751166931558527',Today we celebrate 78 years of the United States Air Force — thank you to the brave men and women who have served our nation with honor since 1947. #FlyFightWin,en,Tweet,0,3,0,1,636,2025-09-18 19:57:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#FlyFightWin,,,
'1968745035173658994',@RepEspaillat @JoaquinCastrotx,qam,Reply,0,1,1,1,338,2025-09-18 19:32:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968744401041063973',"Earlier this year, a young girl named Sara was deported with her parents while on the way to Houston for brain cancer treatment. She was denied care, denied due process, and denied her rights.

I met Sara’s family in May. Their story is heartbreaking. This is not how we treat children in America, and the whole country should be heartbroken.

I joined my colleagues and the Texas Civil Rights Project @TXCivilRights in demanding @USCIS grant the family humanitarian parole so Sara can return for treatment.

@HispanicCaucus @HouseDPCC @HouseDemocrats",en,Tweet,1,29,15,6,2255,2025-09-18 19:30:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968744283269120000/vid/avc1/720x1280/dkGFOqMVI7yLbBJE.mp4?tag=21
'1968709850558316704',"Republicans are letting the Affordable Care Act credits expire, raising health care premiums by 93% for 24 million Americans. That means parents will have to choose between paying for necessities or taking their sick kid to the doctor. Working families can’t afford these cruel policies — and Republicans just don’t care.

@HouseDemocrats @HouseDPCC @RepMcGovern",en,Tweet,2,6,9,3,1747,2025-09-18 17:12:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968385660706079091',"The Fed’s decision to cut rates is a welcome relief for working families struggling with the cost of living. Lower rates mean more affordable mortgages, car loans, and small business credit.

But make no mistake: without an independent Federal Reserve, every American family risks having their economic future placed at the mercy of partisan politics.

Trump has tried to bully the Fed, fire its Chair and Governor Lisa Cook, and pack it with loyalists. That is a direct threat to our stability. The Fed must serve the people, not the whims of the Felon in the White House.

@HouseDemocrats @USHouseFSC @HouseDPCC",en,Tweet,0,1,0,1,699,2025-09-17 19:44:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968378100909318345',"As someone who grew up on a farm in South Texas, I know firsthand how valuable our farmworkers are to our economy and our communities. It was great to meet with the United Farm Workers @UFWupdates to discuss the critical work they’re doing to protect those who put food on America’s tables.",en,Tweet,0,7,2,0,436,2025-09-17 19:14:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EVcwUWgAAbe_7.jpg
'1968373535950389624',"Today I met with @LISC_HQ to discuss expanding access to affordable housing. As Trump’s tariffs drive up prices and make life unaffordable, it is more important than ever to expand opportunity. Every family deserves stability, dignity, and a roof they can afford. https://t.co/i7N7TFiQRa",en,Tweet,0,4,1,2,471,2025-09-17 18:56:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1ERS7RWsAEnuFk.jpg,https://pbs.twimg.com/media/G1ERS7PWkAA1hj8.jpg"
'1968344857765687402',"At today’s @CHCI leadership conference, I spoke about what housing really means: stability, dignity, and respect.

Trump is making the affordable housing crisis worse with tariffs and a mass deportation scheme that pushes prices even higher. 

I will keep fighting to protect Latino families and ensure everyone has a safe and affordable place to call home.",en,Tweet,0,4,5,1,871,2025-09-17 17:02:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1D3NrrWIAE3S_F.jpg,https://pbs.twimg.com/media/G1D3NrfWsAA-7hD.jpg"
'1968314561163034663',@repdeliaramirez @HispanicCaucus @HouseDemocrats @HouseDPCC @FWDus @WeAreUnidosUS @the_ILRC @ImmDefense @CHIRLA,qam,Reply,0,2,0,1,274,2025-09-17 15:02:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968314557673377849',https://t.co/43sFnBBjgf,zxx,Reply,0,7,1,2,484,2025-09-17 15:02:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.theguardian.com/us-news/2025/sep/17/congress-letter-dreamers-daca,,
'1968314552623497308',"Dreamers are American in every way but on paper. Donald Trump and Kristi Noem want to treat them like criminals and ignore their legal status. 

I say hell no. My colleagues and I will continue to stand together to protect the rule of law and the legal & humanitarian rights for Dreamers, TPS recipients, and DED beneficiaries. 🧵⬇️",en,Tweet,0,9,5,5,885,2025-09-17 15:02:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968066304545583440',Great to welcome the National Independent Automobile Dealers Association @_NIADA to Capitol Hill today. This industry plays a key role in keeping car costs within reach for working families and supporting good-paying jobs across the country. https://t.co/9HsMZhrI1Z,en,Tweet,0,2,0,1,370,2025-09-16 22:35:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_53rZXIAAPFu6.jpg
'1968044687555428744',"It was great to meet with Harris Health @harrishealth and Community Health Choice @CHCTexas today. Access to quality, affordable healthcare is essential for our community, and I’m committed to working with our local partners to make sure families in TX-29 get the care they need.

@HouseDemocrats @HouseDPCC",en,Tweet,0,7,1,2,440,2025-09-16 21:09:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0_mNYZXYAAnT9i.jpg,https://pbs.twimg.com/media/G0_mNYQXQAA_O23.jpg"
'1968036865694425153',"The Supreme Court handed ICE a permission slip to racially profile our neighbors, families, and friends. As Justice Sotomayor warned in her dissent: “We should not have to live in a country where the Government can seize anyone who looks Latino, speaks Spanish, and appears to work a low wage job.”

That’s unacceptable and un-American. Today, I stood with the @HispanicCaucus to make it clear: we will always fight for our community.",en,Tweet,0,22,11,4,1429,2025-09-16 20:38:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0_eozIXkAAiNUh.jpg,https://pbs.twimg.com/media/G0_eoy5WAAA201a.jpg"
'1967970060003397750',"It was great to meet with the Boys &amp; Girls Clubs of Greater Houston @bgcghouston today in D.C. Their work provides kids in our community with youth development programs, academic support, sports, and so much more! 

@HouseDemocrats https://t.co/QcVm7qdrKN",en,Tweet,0,11,4,3,972,2025-09-16 16:13:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0-iNsVXcAEF6oM.jpg,https://pbs.twimg.com/media/G0-iNsbWIAAnI6n.jpg"
'1967945684189081622',"Today is National Voter Registration Day!  Make sure you’re registered, update your info, or get registered today. Your voice is your power!

Check your registration here: https://t.co/fpyCYvs5QD

@HouseDemocrats @HouseDPCC @HarrisCountyTAC",en,Tweet,0,2,1,0,325,2025-09-16 14:36:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.hctax.net/Voter/Search.cshtml,,
