tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970538012510409023',"Antifa extremists doxxed officials, terrorized Americans, &amp; fueled political violence.

This same radical ideology drove the murderer of Charlie Kirk.

@POTUS is right to designate Antifa a domestic terrorist group, accountability is LONG overdue.",en,Tweet,0,74,14,14,2628,2025-09-23 18:17:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970518234605519012',".@SecRubio is right. The UN fails again & again to carry out its mission, at the expense American tax dollars.

The UN has become a bloated institution that has drifted from its original purpose.

@POTUS is back in the White House to demand accountability & make this broken body prove its worth.",en,Tweet,0,243,87,27,4180,2025-09-23 16:58:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970459918537814281',"My office is now accepting applications for internships in Washington, D.C.! 

This is a great opportunity to see how Congress works firsthand, assist with legislative and communications work, and gain valuable experience serving NY-24 on Capitol Hill.  

Apply here 👉 https://t.co/hibB9AfFvK",en,Tweet,1,13,4,6,1613,2025-09-23 13:07:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1h6x0uW0AAe0pw.jpg
'1970163377847873666',"Shanah Tovah to all in NY-24 and beyond celebrating Rosh Hashanah.

 Now more than ever, the world must stand with Israel. May this year bring peace. https://t.co/Qw5VRpwePS",en,Tweet,0,16,3,4,1260,2025-09-22 17:28:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1dtJirWAAIuESb.jpg
'1970142752307605825',"October 7 was a massacre, not a pretext for rewarding terrorists with legitimization and recognition.

Caving to extremists in their countries, the UK, France, Canada, and Australia betray Israel and reward Hamas.

They abandon the Western values they once defended.",en,Tweet,1,30,6,15,1908,2025-09-22 16:06:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969748551443050882',"American universities are training Chinese military students.

This could be a SERIOUS national security threat. 

Why are these schools still receiving American tax dollars to train CCP spies? https://t.co/anbIluqo8H",en,Tweet,3,74,30,11,1565,2025-09-21 14:00:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/us-universities-training-chinese-military-scientists-taxpayer-dime-committee-warns,,
'1969440474302742694',"Now, we must ensure these sanctions hold firm. As President Trump has said, Iran cannot have ANY enrichment. 

I won’t stop fighting to protect America &amp; our allies. Thank you to all who've have joined me to advocate on this critical issue! https://t.co/bbMtx8aK9d",en,Reply,0,21,6,3,1780,2025-09-20 17:36:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.thenationalnews.com/news/us/2025/09/19/iran-sanctions-snapback-un/,,
'1969440470959804531',"🚨Huge victory! After 3 years leading the Congressional charge for snapback sanctions on Iran, the UNSC's rejection of continued relief yesterday triggers snapback effective 9/27. 

I've urged the E3 to counter this rogue regime's nuclear threat, and this is a major step forward! https://t.co/lruXfm3ZL3",en,Tweet,1,31,8,3,3953,2025-09-20 17:36:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Tbq6mW0AA87uQ.jpg
'1969375670066098563',"ICYMI: ICE arrested 11 radical Democrats who tried to block law enforcement from doing its job. 

Elected officials swear an oath to uphold the law. Undermining law enforcement to push radical ideology puts every American in danger. https://t.co/AraNt21721",en,Tweet,0,119,37,17,3640,2025-09-20 13:18:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Sgu_NWEAAR_si.jpg
'1969067797134139647',58 Democrats just voted NO on condemning Charlie Kirk’s assassination. Their silence spoke volumes. Americans won’t forget.,en,Tweet,3,96,26,27,10991,2025-09-19 16:55:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
