tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970593291457699915',Polls say Americans don’t trust Trump on the economy. Wonder why?… https://t.co/GnHrPtaMCX,en,Tweet,0,4,1,4,286,2025-09-23 21:57:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970593232393588736/vid/avc1/720x1280/KD7_M-wwU95BR_xx.mp4?tag=21
'1970568785594614107',"Me: I’m protecting what we love.

Them: what do you mean?

Me: https://t.co/HpuGlJ5d7G",en,Tweet,0,1,0,0,234,2025-09-23 20:19:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970568540521431041/vid/avc1/1440x2560/WGiN3E76Ve6QOq94.mp4?tag=21
'1970525270483361969',"Trump just walked away from bipartisan negotiations to fund the government — with only 8 days left before a shutdown.

The Senate has already rejected his party’s reckless, partisan spending bill that locks in higher premiums for millions and massive cuts to the health care system.

Republicans control Washington. The ball is in their court.",en,Tweet,1,6,7,2,375,2025-09-23 17:26:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970512156211777902',"Today we mourn the loss of an American hero. Lawrence Talamante from Gallup fought bravely for this country in WWII and the Korean War. He passed away last week at 100 years old. 

My heart goes out to his son Paul, may his father watch over us all. 🕊️ https://t.co/A4vskHVumZ",en,Tweet,0,8,5,1,449,2025-09-23 16:34:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1iqXLBXIAA2PZV.jpg
'1970293157159198768',Happy Rosh Hashanah to all who celebrate. I pray that the new year brings blessings and peace for Jewish communities across the world. https://t.co/kJ0YQ6S8e0,en,Tweet,0,6,0,2,346,2025-09-23 02:04:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fjLrfXoAAIihQ.jpg
'1970162071917789625',"Collaboration and stewardship mean walking the lands we share and listening to the voices that have cared for them since time immemorial. Under the same sky, we are one. https://t.co/O436OVIhMA",en,Tweet,0,10,3,2,316,2025-09-22 17:23:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970161936718540801/vid/avc1/720x1280/nw74tt7JR9UKYzMY.mp4?tag=21
'1969096427180626273',"From the assassination of a loving father and husband like Charlie Kirk, to the murder of Minnesota Speaker Melissa Hortman and her husband, to the drive-by shootings of Democratic lawmakers by Republican candidate Solomon Peña in New Mexico, to the assassination attempts on President Trump and too many more — political violence has no place in our democracy.

That’s why I am a cosponsor of a resolution condemning all forms of political violence and rejecting the rhetoric that dehumanizes those with whom we disagree.",en,Tweet,0,7,2,6,542,2025-09-19 18:49:06,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1OimJKXEAAXyi5.png,https://pbs.twimg.com/media/G1OirN0XgAA9JSm.png,https://pbs.twimg.com/media/G1OisqNWYAITQ97.png,https://pbs.twimg.com/media/G1Oit-JXoAEAVb2.png"
'1969085996693131688',Democrats are united to protect your health care. Republicans just voted to do the opposite. https://t.co/c4d4m3WY5o,en,Tweet,0,4,1,3,285,2025-09-19 18:07:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969085447533182978/vid/avc1/2160x3840/8FC2D48XZMHZaRfu.mp4?tag=21
'1968799446902390815',"For generations, families have laid their loved ones to rest on lands chosen long before they were claimed by the United States. Yet too often, communities must face unnecessary federal barriers just to care for these cherished places. My Small Cemetery Conveyance Act changes that — returning cemeteries to the stewardship of tribes, local governments, and land grant heirs, where they have always belonged.",en,Tweet,0,8,2,0,701,2025-09-18 23:09:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968798905514291200/vid/avc1/1080x1920/mRxZVociyP0ved1U.mp4?tag=21
'1968756849311613197',"We cannot look at the horrors in Gaza and pretend they are anything less than what they are: evidence of war crimes that should be prosecuted. 

My full statement: https://t.co/m1bFkDmNGM",en,Tweet,50,2052,428,145,47127,2025-09-18 20:19:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Jt67iXIAA5G99.jpg
'1968715494606717174',"This is bigger than late night.

It’s about Americans’ first amendment right and million-dollar corporations bending the knee to Trump’s whim to get preferential treatment from the Administration.

This kind is censorship and corruption is un-American.",en,Tweet,1,14,6,7,902,2025-09-18 17:35:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968696367779377291',"House Republicans’ funding proposal does nothing to address this looming health care crisis that will raise Americans’ costs. 

We’re not going along with their plan. https://t.co/uEUDtf9Lpj",en,Tweet,0,4,0,0,286,2025-09-18 16:19:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968696295276548096/vid/avc1/1080x1920/4l7kMaanz4ajPvWO.mp4?tag=21
'1968672687175172420',"The words of New Mexico will now echo across the nation. 

Arthur Sze — poet, teacher, former IAIA guide — now turns the page as U.S. Poet Laureate, a voice weaving stories of place, memory, and Indigenous strength. https://t.co/smrkCUGvgS",en,Tweet,0,5,1,0,377,2025-09-18 14:45:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.santafenewmexican.com/news/local_news/santa-fe-based-arthur-sze-former-iaia-instructor-named-u-s-poet-laureate/article_967d2113-0e8e-4aca-ab07-9abfd68e09b6.html,,
'1968452061873222132',"🚨Happening now🚨 

We’re live for our RECA Telephone Workshop. Learn who’s eligible and how to apply. Join by phone or online by following this link: https://t.co/Y5wOGWP36X https://t.co/PBSGxk8gih",en,Tweet,0,0,0,0,292,2025-09-18 00:08:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://Fernandez.house.gov/live,photo,https://pbs.twimg.com/media/G1FYtzyaQAAQ6lz.jpg
'1968401473093402731',"“Make life affordable again.”

Meanwhile: searches for “help with mortgage” just passed the levels of the most infamous financial crisis of the 21st century.",en,Tweet,0,0,1,0,480,2025-09-17 20:47:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968373333856240064',"TODAY: We’re hosting a RECA Tele-Workshop. 

Go to https://t.co/WxWoK55ie8 to sign up. We’ll give you a call! https://t.co/cvxybz87Mb",en,Tweet,0,0,0,0,239,2025-09-17 18:55:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://Fernandez.house.gov,video,https://video.twimg.com/amplify_video/1968373211172569088/vid/avc1/1440x2560/Py0J_HN3hrnjVgh1.mp4?tag=21
'1968324227498693084',"🚨HAPPENING TODAY🚨

Did you or a loved one live near the Trinity test site, downwind of nuclear testing, or work in New Mexico’s uranium mines or mills? You may be eligible for compensation under the Radiation Exposure Compensation Act (RECA). 

Join me and RECA experts for a Telephone Workshop to learn more about eligibility and how to apply: 

📆 Tuesday, September 17
🕔 5 PM MT
📞 Sign up to receive a call or join online 

🔗 Register here: https://t.co/3ZqclEm4Qp",en,Tweet,0,3,2,1,254,2025-09-17 15:40:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Dkc7eW0AA02ep.jpg
'1968116794138431961',"Millions across the country are facing higher ACA premiums under the proposed Republican short term funding bill. 

Republicans on the Rules Committee had the chance to stop it today by accepting commonsense amendments — but they refused. Instead, they chose to play partisan games at the expense of the American people.",en,Tweet,2,12,5,2,485,2025-09-17 01:56:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968114839278202880/vid/avc1/1440x2560/daP554-lZ3mQaYTW.mp4?tag=21
'1968073696645705781',"I call BS. You and your buddies cut healthcare by $1 trillion dollars.

That’s like taking away someone's oxygen tank and offering them an inhaler. https://t.co/Usqxl6V2IA",en,Tweet,11,388,124,13,47978,2025-09-16 23:05:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_5qxiXYAAXDSL.png
'1968037422090117254',"Republicans JUST voted to keep Trump's tariffs. 

The same ones driving inflation through the roof and forcing Americans to pay more for everything. Why? Because they won’t stand up to Trump. https://t.co/Udm8tjqyBj",en,Tweet,0,8,4,1,484,2025-09-16 20:41:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968037240258347008/vid/avc1/1440x2560/1X8YI2_dRsIVfm-D.mp4?tag=21
'1968015222272352761',"Chaco Canyon is a living landscape — a sacred homeland still tied to the ceremonial and religious lives of Indigenous communities today. 

That’s why I introduced the Chaco Cultural Heritage Area Protection Act, which would permanently protect this sacred place by withdrawing federal lands around Chaco from new oil and gas leasing while safeguarding Navajo and tribal mineral rights.",en,Tweet,0,18,12,1,977,2025-09-16 19:12:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968014789281714185/vid/avc1/1440x2560/UWV9j-KpLFmWyO2G.mp4?tag=21
'1967945289525817516',"🚨 Happening NOW 🚨
I’m standing with Pueblo Governors, Senator Heinrich, and Congresswoman Stansbury at the U.S. Capitol to demand that Congress and the Trump administration protect Greater Chaco Canyon from oil and gas drilling.

For generations, Chaco has been a sacred place of memory, culture, and resilience. We must honor and protect it for our children and all future generations.

📍 Watch live here: https://t.co/Y6uoxJPFo2",en,Tweet,0,14,5,0,736,2025-09-16 14:34:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967607799963107487',"This Hispanic Heritage Month we celebrate the history and resilience of all Latino and Hispano communities. Whether your family has been here for generations or you are a first-generation American, your culture and stories make up the fabric of this place we call home. 

Our diversity makes us stronger, let's never forget that.",en,Tweet,0,5,2,0,381,2025-09-15 16:13:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G05Y3bTWMAAuVD7.jpg
'1966249906324275328',"The Big Ugly Bill is designed to push people off Medicaid and hike health care costs — all so Republicans can hand out more tax breaks to billionaires.

Here’s how it could hurt your family: https://t.co/T096JZaXUe",en,Tweet,1,24,9,6,718,2025-09-11 22:18:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966243031847424000/vid/avc1/1440x2560/r4J5o7z4sTwBlSL6.mp4?tag=21
'1966218720390643758',"We’re closely monitoring the situation at Santa Fe Prep. 

Please follow all police guidance and stay away from the school. 

https://t.co/MqGEekt1Rg",en,Tweet,0,1,2,0,856,2025-09-11 20:14:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://koat.com/article/santa-fe-prep-evacuation-bomb-threat/66054316,,
'1966152001018114253',"Did you or a loved one live near the Trinity test site, downwind of nuclear testing, or work in New Mexico’s uranium mines or mills? You may be eligible for compensation under the Radiation Exposure Compensation Act (RECA). 

Join me and RECA experts for a Telephone Workshop to learn more about eligibility and how to apply: 

📆 Tuesday, September 17
🕔 5 PM MT
📞 Sign up to receive a call or join online 

🔗 Register here:
 https://t.co/3ZqclEm4Qp",en,Tweet,0,1,0,0,337,2025-09-11 15:49:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0ks0smbcAAG_kP.jpg
'1966145532038099438',"September 11 is a day we will never forget. The tears of a grieving nation will forever be seared in our memory and the pain of those who lost loved ones will always stay with us. 

We carry sorrow, but we stand strong and steadfast in the face of adversity and hate. https://t.co/lDnXInrk8p",en,Tweet,0,5,0,0,312,2025-09-11 15:23:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0kmwYhWgAA6nIe.jpg
