tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968059340746789158',Thank you @RepDonaldsPress for your work on this important bill.,en,Tweet,6,553,83,37,25768,2025-09-16 22:08:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968001518931677541',Enjoyed joining the NAIFA Legislative Luncheon last week to share remarks and visit with folks in Knoxville. I appreciated the opportunity to be part of the conversation and connect with our community. https://t.co/NWXKFehaHk,en,Tweet,1,115,8,9,5616,2025-09-16 18:18:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G0--8wdWcAAf3Dw.jpg,https://pbs.twimg.com/media/G0--8wdW4AEx-5D.jpg"
'1967933876703318338',Truth hurts https://t.co/AYdzGI1B4k,en,Tweet,4,382,39,40,7480,2025-09-16 13:49:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/media/gop-congressman-clashes-cnn-host-tells-network-look-within-over-heated-political-rhetoric,,
'1966127713619485096',"24 years ago today, 2,977 people lost their lives in the horrible attack on our great nation. I pray we never forget 9/11. https://t.co/Kb5FgrLd1r",en,Tweet,24,2744,307,226,119375,2025-09-11 14:12:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966127100949131265/vid/avc1/1080x1920/_jYpJYtKKzmtHX6Z.mp4?tag=21
'1965883237919764843',"Charlie Kirk spent his life fighting for conservative principles, traveling the nation and engaging directly with people on the opposite side of the aisle. I am heartbroken for his wife, two young children, and everyone who called him a friend.",en,Tweet,22,4449,402,143,33205,2025-09-10 22:01:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965857586491830310',Please join me in praying for my friend Charlie Kirk.,en,Tweet,27,10553,725,240,97279,2025-09-10 20:19:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965542480373334374',Sickening. We don’t have to live like this. Pray for our country. https://t.co/IHGpNXJHWd,en,Tweet,285,22601,3958,1149,231678,2025-09-09 23:26:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/ext_tw_video/1965542349343277056/pu/vid/avc1/756x720/cxDzOq-GKERV4gFI.mp4?tag=12
'1961485544346583535',"Last week, I had a great visit to the Cirrus Vision Center, touring their facility and taking a demo flight over the Knoxville area. Impressive to see the innovation happening right here in East Tennessee. https://t.co/WX4ljwYhz2",en,Tweet,2,251,23,108,9502,2025-08-29 18:46:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GziYtDlWsAA1-L-.jpg,https://pbs.twimg.com/media/GziYtDaWsAAIxls.jpg,https://pbs.twimg.com/media/GziYtDXWYAAuB4Q.jpg"
'1960358061614276780',"Today, I hope you will join me in remembering the lives and bravery of the 13 service members who lost their lives during the Afghanistan withdrawal. Failed leadership cost them their lives, and I look forward to accountability for letting our troops, their families, and the Afghan people down.",en,Tweet,14,3467,479,168,28329,2025-08-26 16:05:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1957900912606998982',Glad to take part in the ribbon cutting celebrating new investments in Head Start and CAC that will provide important resources for families in our community. Grateful for all the work they do to support folks here at home. https://t.co/TmvN9ock5z,en,Tweet,2,191,17,53,8782,2025-08-19 21:22:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/Gyvcf_hXcAA24tP.jpg,https://pbs.twimg.com/media/Gyvcf_eXQAEcSo5.jpg"
