tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970573475405521155',Proud to stand with my Problem Solvers Caucus colleagues to condemn all political violence.,en,Tweet,0,14,2,7,1829,2025-09-23 20:38:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970246728780517502',"L'Shanah Tovah!  

Happy New Year to my friends in the Jewish community celebrating the start of the High Holidays this evening. As we navigate the challenges of life, including the dangerous rise in antisemitism all around the world, let us come together as friends and neighbors to celebrate the abundance of blessings that surround us. May this year bring you good health, many blessings, and peace.",en,Tweet,1,13,1,2,818,2025-09-22 23:00:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/G1d4IYbXMAAFq4J.jpg
'1970180247631933939',"Democrats need to talk about the 5 most important issues facing the American people. Affordability/the economy, immigration, taxes, crime and healthcare. This is where our focus should be. https://t.co/dBAfzJzkIv",en,Tweet,10,202,71,246,13963,2025-09-22 18:35:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970180164840468480/vid/avc1/1280x720/RfFK9kGR3okIX-Wb.mp4?tag=21
'1970095739616542760',"It was a pleasure to attend the 25th Annual Egyptian Festival at St. Mark Coptic Church in Woodbury this weekend. The event, which continues next weekend, featured authentic Egyptian cuisine, traditional music, tours of the Coptic Church, and provided a wonderful opportunity to engage with the community.",en,Tweet,1,7,2,3,1068,2025-09-22 13:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,"https://pbs.twimg.com/media/G1aeug8WIAA7WqU.jpg,https://pbs.twimg.com/media/G1aeug_XEAEiJmV.jpg,https://pbs.twimg.com/media/G1aeuhEW0AEXMev.jpg"
'1969420825712316584',"I’m working on a bipartisan solution to help Koreans gain access to E-3 visas following the awful raid in Georgia that saw 300+ Koreans treated like common criminals. We must do better. Korea is the largest foreign investor in America, they share our values, and we should be doing everything we can to strengthen our relationship. https://t.co/8t8I1PTwn5",en,Tweet,1,8,3,9,1004,2025-09-20 16:18:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1TJzX0XEAETJk5.jpg
'1969402097373200696',"EPA Administrator Lee Zeldin knows about the risks posed to our drinking water by PFAS. When he represented Long Island in Congress, he helped set up the PFAS Task Force. Now the EPA is reversing course on PFAS water standards? It makes no sense. Let’s work together to protect the public. https://t.co/eOBmi3FCLF",en,Tweet,0,67,23,7,6997,2025-09-20 15:03:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1S4xRRX0AA_951.jpg
'1969078628303454376',"The Problem Solvers Caucus had launched a bipartisan effort to unleash American lower energy costs, cut red tape and expediting permitting reform, while protecting the environment. We can promote our energy independence, create strong, clean energy and green energy production. There’s a lot of optimism on both sides of the aisle. To read more: https://t.co/mpP12uQr9F",en,Tweet,0,5,0,9,814,2025-09-19 17:38:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1OSk7XXkAIOEzl.jpg
'1969057837981581741',"Utilities are too expensive! Let’s bring costs down.

For way too long, infrastructure and energy production has been slowed by our outdated and red-tape laden system. We need bipartisan permitting reform to cut the red-tape and help unleash America’s true manufacturing power. https://t.co/EoPLztNpL3",en,Tweet,8,211,61,39,29279,2025-09-19 16:15:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969057592237256704/vid/avc1/1920x1080/5tMC5QUQJdQjtALc.mp4?tag=21
'1969008573100286417',God bless America. Let’s rise together and build a more perfect union. https://t.co/KeczrVBDjX,en,Tweet,7,99,30,35,7398,2025-09-19 13:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968853892550008833/vid/avc1/960x540/480yyydaWsQp3rta.mp4?tag=21
'1968781414197072323',"I love my country. I’m blessed to have been born and live here. But with everything happening, I’m saddened. 

Our country needs bipartisanship now more than ever. We need leaders willing to sit down, discuss our differences and make headway on the issues most important to the American people. We can right this ship. Let’s do it.",en,Tweet,3,113,26,29,14712,2025-09-18 21:57:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968686915219075158',I came to Congress to make life better for my constituents and the American people. Many of my colleagues on both sides want the same. Let’s end the gridlock and work together to deliver solutions that matter. https://t.co/E7mCDOjQIU,en,Tweet,4,96,24,44,6996,2025-09-18 15:41:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968686846595981313/vid/avc1/854x480/LwKXjCKuD-yuftHu.mp4?tag=21
'1968683869135147042',"The number one issue Americans are concerned about is the cost of living. Sky-high energy costs play an enormous role—electricity prices rose more than 6.5% in just the last year, and demand is skyrocketing. Right now it takes years, even decades, for new green energy and other projects to get connected to the grid and start generating energy to meet demand. We need commonsense, bipartisan solutions to cut red tape, bring projects online faster, and make energy more affordable for American families. That’s exactly what this framework does.",en,Tweet,0,9,1,6,4903,2025-09-18 15:29:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1Iri4vXoAEQrYP.jpg
'1968676540503261389',"Republicans and Democrats in the Problem Solvers Caucus have been working hard to find common ground to lower energy costs. This permitting reform framework is step one. 

Working Group co-chairs @RepScottPeters and @RepGabeEvans have led the way to release the first of many frameworks from the PSC this Congress. I’m proud of this work and hopeful for the future of our Caucus.",en,Tweet,2,23,6,5,5819,2025-09-18 15:00:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968401916192522712',"Watch my full remarks at today’s Ways and Means Mark-up. 

Healthcare affordability is a top priority for the American people. Congress has the opportunity to stop an increase in healthcare costs if we act now to stop key tax credits from expiring. This is a bipartisan issue. Let’s get it done.",en,Tweet,2,34,13,8,3713,2025-09-17 20:49:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968401773959270401/vid/avc1/854x480/7XCqqSCLX-xmL5z_.mp4?tag=21
'1968392070860591204',"""One of the most difficult concepts that Jesus ever preached was to ‘love your enemies’,"" Suozzi said. ""And that's what we need to be doing right now.""https://t.co/AP9If1k2wr",en,Tweet,0,11,2,12,1072,2025-09-17 20:10:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/politics/house-dem-warns-both-sides-road-ruin-political-divide-deepens-over-kirk-assassination,,
