tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970588234192388308',"🚨GREAT NEWS: The FAA hit its Air Traffic Control hiring goal for FY2025. 

As Chairman of the House Aviation Subcommittee, I applaud the Trump Administration’s work to accelerate the ATC hiring process. 

This is promises made, promises kept in action! ✈️🇺🇸",en,Tweet,0,51,7,8,3690,2025-09-23 21:37:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970497722693075319',"The Biden-Harris Administration pressured platforms to silence Americans with dissenting points of view. 

Great work by House Judiciary Chairman @Jim_Jordan. 

This is a BIG win for our First Amendment rights.",en,Tweet,14,254,87,43,9967,2025-09-23 15:37:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970202579012342248',https://t.co/EjErj0JtOy,zxx,Reply,0,13,3,6,1291,2025-09-22 20:04:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.foxnews.com/us/americas-commuters-under-siege-violent-transit-crimes-endanger-blue-cities.amp,,
'1970202239538209208',"Charlotte, North Carolina

Chicago, Illinois 

Los Angeles, California

Boston, Massachusetts 

New York City, New York 

What do all these cities have in common? 

They’re all Democrat-run. https://t.co/eYWliFW7Mq",en,Tweet,3,137,55,20,10179,2025-09-22 20:03:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1eQfoRWYAAZTci.jpg
'1969058057339441566',"58 House Democrats just voted AGAINST a resolution that honors the life and legacy of Charlie Kirk. 

38 voted present.

Shameful. https://t.co/kP5zpXNqDn",en,Tweet,22,643,212,154,36950,2025-09-19 16:16:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N_3SjWsAADbPi.jpg
'1969047131005595794',"Air travel is hitting record highs, and we have a glaring pilot shortage in our country. 

That’s why I’m reintroducing the Let Experienced Pilots Fly Act. 

We must do the right thing and keep our experienced pilots in the air. https://t.co/EKbg6R91Td",en,Tweet,0,27,6,14,1625,2025-09-19 15:33:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N17HUXgAAeMfz.jpg
'1968780507044323755',".@RepVanOrden is a true Good Samaritan.

While traveling with his wife, Mr. Van Orden’s combat training kicked in to save a young boy’s life. 

May the actions of Mr. Van Orden inspire all Americans to lend a helping hand to those in need. 

I’m proud to call him a friend. https://t.co/IY0e1gU3qR",en,Tweet,0,74,19,11,3383,2025-09-18 21:53:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968780363846615040/vid/avc1/3840x2160/MGSEg73BUJTGWIZY.mp4?tag=21
'1968756216714145933',"Why was the U.S. Capitol so ill-prepared on J6?

The @J6Select subcommittee will follow the facts and get the answers the American people deserve. 

We will expose the TRUTH. @BreannaMorello @InfowarsJournal https://t.co/UFJEY6KknC",en,Tweet,6,370,84,107,19095,2025-09-18 20:17:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968755884504342528/vid/avc1/3840x2160/hVMDqmTQa831086E.mp4?tag=21
'1968722790762049954',"Today, I held a moment of silence for the three officers who were brutally murdered yesterday in Pennsylvania. 

As a former law enforcement officer, my prayers are with the families who lost their loved ones, and I hope the two officers who were injured recover quickly. https://t.co/GUBmKh0ZYR",en,Tweet,0,180,27,29,2913,2025-09-18 18:04:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968722689889038336/vid/avc1/3840x2160/qSEq_RnQ12F-fW3H.mp4?tag=21
'1968692206929105239',"The FBI is no longer weaponized against Americans. 

And it drives the Left crazy. 

FBI Director Kash Patel is returning the FBI to its core mission: protecting the American people. 

It’s a breath of fresh air. @BreannaMorello https://t.co/8GJHx2CYzo",en,Tweet,40,4426,846,746,46832,2025-09-18 16:02:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968691848806813698/vid/avc1/3840x2160/reHij6zJLpG5Ore-.mp4?tag=21
'1968385640866922849',"The Democrats' SHAM J6 committee wasn’t focused on finding the truth. 

It was focused on damaging President Donald J. Trump and ending his political career. 

The joke's on them. 

President Trump is back in the White House, and America loves him. https://t.co/0s5fmEv75v",en,Tweet,13,1363,265,205,14864,2025-09-17 19:44:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968385422372786176/vid/avc1/3840x2160/3LFrDjVdzo8N_rSq.mp4?tag=21
'1968361260535386140',"Democrat members of Congress have turned what should be productive committee hearings into absolute clown shows. 

They’re unjustly attacking @FBIDirectorKash because he’s effective. 

Keep up the good work, @FBIDirectorKash. https://t.co/io0u8wqRMw",en,Tweet,79,10373,1907,228,71552,2025-09-17 18:07:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968361084122808320/vid/avc1/3840x2160/pnX-SIgErtisbHKI.mp4?tag=21
'1968311977559892327',"On this day in 1787, delegates to the Constitutional Convention in Philadelphia signed the U.S. Constitution. 

I swore an oath to support and defend the Constitution of the United States, and will continue to do so every day. 

Happy Constitution Day! https://t.co/IoqIamG9xy",en,Tweet,1,55,12,30,2380,2025-09-17 14:51:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1DZT9YXgAAxIRT.jpg
'1968044850080866495',"I proudly display a sign outside my office in Washington, D.C., honoring Charlie Kirk. 

Charlie Kirk hasn’t been silenced. His movement is only getting bigger. 

May his legacy live on in the hearts of every American for decades to come. https://t.co/GjZusWf0lW",en,Tweet,2,72,11,19,1894,2025-09-16 21:10:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0_mWDmWYAArbFs.jpg
'1967955623993299217',"The Supreme Court of Georgia disqualified Phony Fani Willis from prosecuting President Trump. 

Big loss for Phony Fani. 

Huge win for President Trump. https://t.co/N9PysF4bP0",en,Tweet,1,76,9,9,1809,2025-09-16 15:15:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0-VNdDWMAAIWib.jpg
'1967681942356365468',"Happy National Truck Driver Appreciation Week! 

Truckers are this nation’s backbone. They work day in and day out, transporting goods across our great country. 

I’m proud to advocate for policies in Congress that support America’s truck drivers. https://t.co/M1yyoMJgl5",en,Tweet,2,31,5,7,3580,2025-09-15 21:08:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G06cTCFXIAAMb4B.jpg
