tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970585762614923718',"Wishing a joyful Rosh Hashanah to all who are celebrating, especially our St. Louis Jewish community that has given so much to the life of our city. https://t.co/hLa6Lf6uLZ",en,Tweet,0,6,1,2,377,2025-09-23 21:27:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jtTnVXYAAoAzl.jpg
'1970215609884438706',"If we're serious about public safety, we have to be serious about the solutions. Ignoring mental health and defaulting to harsher prosecutions hasn’t made us safer; it’s made the problem worse. My career has always been about holding serious and violent offenders accountable—but looking for alternatives to incarceration for low-level nonviolent offenders and addressing root causes.",en,Tweet,1,16,7,4,1826,2025-09-22 20:56:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1970215507975426048/vid/avc1/720x1280/J38_nWaYKZEo6AJY.mp4?tag=21
'1969888107685134713',Most corrupt admin. in history.,en,Tweet,0,34,15,10,3165,2025-09-21 23:14:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969136017002139911',"For residents impacted by the May 16 tornado: In-person FEMA assistance is available through Sept. 25 at the Urban League Entrepreneurship & Women’s Business Center and Union Tabernacle M.B. Church. 

After Sept. 25, visit https://t.co/MRvhwLr2v3, use the FEMA app, or call 1-800-621-3362.

The SBA is also offering disaster loan support through Oct. 25 at the St. Louis Community College Harrison Education Center and at the St. Louis County Library Mid-County Branch. 

For help with FEMA, SBA, or any federal agency, you can contact my office at (314) 955-9980.",en,Tweet,0,2,0,0,232,2025-09-19 21:26:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,http://DisasterAssistance.gov,,
'1969059928879874135',"The assassination of Charlie Kirk was an act of horrific political violence, and I condemn it without hesitation. My heart goes out to his wife, his children, and all who loved him. No family should ever endure this kind of tragedy. Political violence is a sickness that eats away at democracy and tears at the fabric of our society, and we must reject it in all its forms.

But condemning political violence does not require rewriting history. Mr. Kirk used his platform to demean, to divide, and to dehumanize many of the very people I represent. To honor his ‘life and legacy’ in the congressional record would be to dishonor my constituents whose dignity he denied.

I cannot vote for a resolution that sanctifies a public figure who did not reciprocate respect for the lives, dignity and freedoms of others. What I can and will do is work to strengthen our democracy, protect all of our communities from violence, and ensure that every American is treated with respect.

That is the responsibility I owe my constituents, and it is the work I will continue to do.",en,Tweet,2,19,6,16,1226,2025-09-19 16:24:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1OBkX3WwAAWnkb.jpg
'1968388565374747068',"Rep. Omar never even said the words she’s accused of. Meanwhile, Rep. Mace actually typed this out and hit send. If anything deserves censure, it’s this.",en,Tweet,2,10,2,3,1010,2025-09-17 19:56:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968054421864005761',This $15 billion stunt is just another attempt to bully reporters and intimidate anyone who dares to hold him accountable. Lawsuits can never be allowed to silence a free press in America. The First Amendment belongs to the people—no matter how much the President fears scrutiny. #ReleaseTheEpsteinFiles,en,Tweet,0,3,2,2,843,2025-09-16 21:48:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1967937032660906241',"A core goal of my office is to provide gold star constituent services. If you need help with a federal agency or any issue involving the federal government, we’ve got you covered.

Please call my district office at (314) 955-9980 during regular business hours. We’ll connect you to the right staff and do everything we can to support you.",en,Tweet,0,3,1,1,414,2025-09-16 14:02:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967936960409780224/vid/avc1/720x1280/rEzD9bpEAiMcdS3U.mp4?tag=21
'1967582971394683192',"I introduced the Gateway Partnership Act to allow the National Park Service to work directly with the Gateway Arch Park Foundation to host private events in Park buildings. This bill would let us appreciate the space in ways that bring energy, investment, and life to downtown. Proud to lead efforts like these that foster regional growth for St. Louis.",en,Tweet,0,4,1,1,490,2025-09-15 14:35:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G05CSPJXkAEJs_x.jpg,https://pbs.twimg.com/media/G05CSPNXoAATMxc.jpg"
'1966999161041285491',"We don’t have to agree with everyone’s views, but we should have the opportunity for healthy and open debate.

Young people deserve spaces to challenge ideas, confront harmful narratives, and sharpen their own voice. The only way we move forward as a society is by engaging, even when we strongly disagree.",en,Tweet,1,5,2,3,557,2025-09-13 23:55:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966999058012065792/vid/avc1/1080x1920/D8xLWDYXiOPqY8bX.mp4?tag=21
'1966176884338905345',"Missourians are worried about how they’re going to get through the next month, the cost of living—not about the boundary lines of Congressional districts.

This latest power grab by the Administration strips fair representation from the people of Kansas City and Missouri. It’s cheating, and we ought to call it exactly what it is.",en,Tweet,0,4,3,5,645,2025-09-11 17:27:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1966174733482799108/vid/avc1/720x1280/nvOQMCYcUWr6iBAB.mp4?tag=21
'1966155821047284077',"On September 11, 2001, our nation faced an unspeakable tragedy—but we also witnessed the extraordinary courage of first responders, service members, and everyday Americans who ran toward danger to save others.

Twenty-four years later, we honor the lives lost, the families forever changed, and the heroes who showed us the best of who we are.

As we reflect, let us recommit ourselves to building a safer, more united nation: one worthy of their sacrifice. #NeverForget",en,Tweet,0,1,1,4,381,2025-09-11 16:04:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G0kwTIoXQAAUara.jpg
'1965860401691898145',"I am praying for Charlie Kirk’s recovery and urge all to do the same. Political violence is a poison that has the power to tear our nation apart. If we lose the ability to resolve our differences through healthy debate and votes, we lose the very foundation of our democracy.",en,Tweet,1,16,5,18,1968,2025-09-10 20:30:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1965839268569559511',"Health equity isn’t just some slogan. It means every child, regardless of background, gets the care they deserve. When folks try to dismiss health equity, what they’re really saying is not all kids matter. I won’t let that slide. https://t.co/Hc0X2vrHhf",en,Tweet,0,1,1,22,1258,2025-09-10 19:06:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1965839197899464704/vid/avc1/720x1280/XWp6qRyClzUb0YsW.mp4?tag=21
