tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970602220111700163',"Nexstar’s $6B merger can’t move forward without Trump’s FCC. That’s a flashing red warning sign.

We’re on a dangerous path, and that’s why I introduced a resolution condemning authoritarian attacks on free speech and why I’m proud to back @RepRobertGarcia’s oversight probe into these media giants.",en,Tweet,1,26,12,17,1914,2025-09-23 22:32:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970527751116591610',"Every child should have access to the Great Outdoors. I'm proud to introduce the Every Kid Outdoors Reauthorization Act, which would give families free access to our national parks &amp; forests. Outdoor experiences shouldn't need to depend on a family’s zip code or income. https://t.co/44YxlxoxCD",en,Tweet,0,20,5,4,1067,2025-09-23 17:36:41,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1i4gDAWwAAaYlZ.jpg,https://pbs.twimg.com/media/G1i4gDAWcAA2mSe.jpg"
'1970501913742307709',"Tylenol doesn't cause autism. Science has proven this—and we should always follow science. 

We shouldn't be following guidance from RFK, Jr., who has absolutely no background in science or health care.
https://t.co/8lengnarWh",en,Tweet,15,282,88,1449,58187,2025-09-23 15:54:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.azfamily.com/2025/09/22/arizona-doctor-no-data-linking-tylenol-cause-autism/,,
'1970308992384852381',"To the Jewish community across Arizona's Third District and all those celebrating Rosh Hashanah, I wish you a sweet and Happy New Year! https://t.co/aiWjbGfgfe",en,Tweet,1,49,10,29,1778,2025-09-23 03:07:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970308407551778816/vid/avc1/2160x3840/83QsMFVuxiTBIQjk.mp4?tag=21
'1970285642039837115',"I toured the recently renovated expansion of @JatcPhoenix today! Apprenticeships, technical training, and expanded pathways to education are key to our state's economic success. I look forward to supporting them as they train the next generation of electricians in Arizona. https://t.co/Mt8y9IePpe",en,Tweet,0,12,7,2,1074,2025-09-23 01:34:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1fcRrGWgAAlYLW.jpg,https://pbs.twimg.com/media/G1fcSo9WUAAtBDi.jpg,https://pbs.twimg.com/media/G1fcUO8XYAEAfXV.jpg,https://pbs.twimg.com/media/G1fcVHyXMAA2wv3.jpg"
'1970231307449029080',"Jimmy Kimmel is back! Last week I led 115+ Democrats on a resolution standing with @jimmykimmel and condemning the Trump regime’s assault on free speech.

Disney reversed course—and this is proof that when we fight back, organize, and mobilize, we win. https://t.co/nruVQbQWFD",en,Tweet,29,602,167,1549,46611,2025-09-22 21:58:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970231015013601280/vid/avc1/360x640/RqO1D2zEVWRS5ZsE.mp4?tag=21
'1970198760744722486',Trump is driving talent into the arms of our competitors and eliminating the vital contributions they bring to our country. This is one more heinous anti-immigrant step taken without the input of Congress; it will be a disaster for Arizona and our country.,en,Reply,0,12,5,7,773,2025-09-22 19:49:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970198759108673793',"Donald Trump has effectively killed the H-1B visa program — which allows the best and the brightest to live and work in the U.S. — through his authoritarian move to require a $100,000 fee for each applicant. If this requirement moves forward, it will devastate our communities, industry, and national security for decades, if not generations, to come.
https://t.co/mPHx2yZMVt",en,Tweet,2,86,40,199,4574,2025-09-22 19:49:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969860664098529548',"Extreme heat is now the deadliest climate threat we face—this is especially true in Arizona.

But it's more than just a climate crisis, it's also a health crisis that affects our communities in different ways. I look forward to working with @actonclimateUS to create more cooling centers and demand more worker protections.",en,Tweet,0,20,9,16,938,2025-09-21 21:25:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1ZZwMsXAAAgA-m.jpg
'1969528587863613801',"Here in Arizona, more than 73,000 people could feel the impact of SNAP cuts. At @StMarysFoodBank, @MayorGallego and I saw firsthand the incredible work they do–feeding families, supporting unhoused neighbors, and helping people find long-term work. 

I’m committed to working alongside St. Mary’s to ensure every Arizonan has food on the table and access to good-paying jobs. Grateful for their service to our community.",en,Tweet,1,103,35,80,3514,2025-09-20 23:26:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969528511749627904/vid/avc1/360x640/eZomBzFVyubmlv8r.mp4?tag=21
'1969478011566137590',"We’re never going to eradicate HIV by limiting who we treat for ideological reasons. I'm proud to introduce the HIV Medication Access Act with @SenJackyRosen, which would prevent Trump's attacks on PEPFAR.",en,Tweet,0,28,12,11,1723,2025-09-20 20:05:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969440555227570432',"What happened to @jimmykimmel is absurd. But this isn't just about Kimmel—it’s a systematic attempt by Trump's regime to crush free speech. 

Democrats &amp; Republicans should join my resolution to stand up to Trump's dictator tactics. https://t.co/aywnQt0P2n",en,Tweet,3,418,149,939,13841,2025-09-20 17:36:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969440151194443778/vid/avc1/360x640/3bY16GwUXzhXWJHw.mp4?tag=21
'1969223599069224960',"Alex Acosta cut Epstein a sweetheart plea deal, then served in Trump’s Cabinet. Today he showed zero remorse and dodged accountability at every turn.

Because of that deal, Epstein kept abusing and raping girls. This is why we need the full files—now. https://t.co/1owfczWI2V",en,Tweet,13,713,282,60,8531,2025-09-20 03:14:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969223471226871808/vid/avc1/360x640/kpVWfaDB65jSkZRE.mp4?tag=21
'1969150644666708375',"Alex Acosta gave Jeffrey Epstein, a rapist and an abuser, a sweetheart deal. Epstein continued to abuse girls while in prison, and then Acosta became Trump’s Labor Secretary.

I have more questions now than I did before the transcribed interview. Release the Epstein files now. https://t.co/ZX7LPhAe53",en,Tweet,33,1814,688,133,22991,2025-09-19 22:24:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969150013201633280/vid/avc1/360x640/JhX1gcNYcseD-y4i.mp4?tag=21
'1969095178683113586',I just voted NO on the Republican CR because it does nothing to restore healthcare for millions of Americans. https://t.co/m7Et6L5s3K,en,Tweet,7,348,115,910,19094,2025-09-19 18:44:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969094715065655296/vid/avc1/360x640/9_NnA6HL8uam53OL.mp4?tag=21
'1969091870463594918',"My parents fled an authoritarian regime—I know that attacking free speech is part 1 of the playbook.

I led over half the caucus and @WGAWest in a resolution condemning the firing of Jimmy Kimmel, this blatant attack on free speech &amp; opposing authoritarian government censorship. https://t.co/yykV9NqHJj",en,Tweet,4,90,30,74,7222,2025-09-19 18:31:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1Oa7EvWAAAQLtK.jpg
'1968845513714770418',"Meanwhile, Republicans are bending the knee to Trump. 

Instead of working with us to protect their own constituents, they’re backing his plan to make life harder for working families. Trump doesn’t care about them—and neither do Republicans.",en,Reply,0,11,3,4,572,2025-09-19 02:12:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968845511907053935',We’re also making healthcare more affordable by permanently extending tax credits for working families—and protecting lifesaving research (like cures for kids with cancer) that Elon Musk and DOGE tried to kill by freezing NIH funds.,en,Reply,0,12,3,6,632,2025-09-19 02:12:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968845510036406360',"Unlike Republicans, Democrats are fighting for the healthcare of working families. 

We’re pushing to repeal Trump’s Big Ugly Bill cuts to Medicaid, stopping the closure of nursing homes and hospitals, and protecting coverage for 15M Americans—including kids, seniors, and people with disabilities.

https://t.co/Fa63I9Pjve",en,Tweet,0,22,9,14,1018,2025-09-19 02:12:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968815263563858308',"Republicans dragged us into a sham hearing on “crime in DC” today. Give me a break.

The biggest criminal in this city lives at 1600 Pennsylvania Avenue. And the biggest crime is the Trump White House’s massive, unprecedented cover-up of the Epstein Files. That cover-up is a crime in itself.",en,Tweet,351,13956,3855,699,223802,2025-09-19 00:11:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968812418651377664/vid/avc1/3840x2160/c-CG5r40U5wJrLbH.mp4?tag=21
'1968757789922082887',"Fear has become the air we breathe in America. We must replace fear with empathy—real empathy that ends gun violence, holds Big Tech accountable, and refuses to let cruelty be policy. https://t.co/JFJIaNmaG7",en,Tweet,3,42,10,12,1261,2025-09-18 20:23:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968757159706984451/vid/avc1/360x640/JTv-Uc-4zkGBVeZK.mp4?tag=21
'1968700610179465595',"🚨 Last night it was Jimmy Kimmel. This summer, Colbert. Authoritarians start by silencing comedians and critics. I'm introducing a resolution condemning Trump’s attacks on free speech.

This isn’t partisan: I urge Republicans &amp; Democrats to cosponsor this urgent appeal.",en,Tweet,15,717,162,482,15686,2025-09-18 16:36:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968465177059201273',"The Congressional App Challenge is here!

This challenge is open to all middle and high school students in AZ-03 and all levels of coding. Learn more about how to enter ⬇️
https://t.co/EZt74CqNl2 

#Congress4CS #NationalAppChallengeDay https://t.co/nGGBYZmvyu",en,Tweet,0,1,1,2,573,2025-09-18 01:00:45,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","#Congress4CS,#NationalAppChallengeDay",https://www.congressionalappchallenge.us/,photo,https://pbs.twimg.com/media/G1FkpXZXAAAIftl.jpg
'1968437713582887197',I met my constituent Yari at Eloy Detention Center. She’s dying of cancer and ICE is still denying her an oncologist. ICE says they care for people in custody. That’s bullshit—people are dying. Keep raising your voices and demand Yari and every detainee get the care they need. https://t.co/PX5R5NXBq1,en,Tweet,1,28,15,15,1361,2025-09-17 23:11:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968437069396553728/vid/avc1/360x640/TdvKjMIORktra_Dy.mp4?tag=21
'1968373862871024122',"A @Heritage Foundation witness applauded Arizona’s school voucher program. It's actually catastrophic.

Public school teachers are paying out of pocket for classroom supplies. Students with disabilities are being left behind. The math is simple: investing in public schools lifts up every child in Arizona and across the country.",en,Tweet,6,98,59,53,6458,2025-09-17 18:57:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1968372689938038784/vid/avc1/360x640/xvRx_x3FWSpWYBb4.mp4?tag=21
'1968328687386087596',"Members of Congress are already under heightened security threats. We should be banding together, not putting targets on each other.

Stop endangering the lives of public servants @RepNancyMace.",en,Tweet,0,12,7,7,1060,2025-09-17 15:58:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968012351833034887',"Today marks the third anniversary of the murder of Jina Mahsa Amini, a 22-year-old Iranian woman who was killed by the Islamic Republic's barbaric “morality police.” Her senseless death ignited the #WomanLifeFreedom movement, uniting millions of Iranians in the fight for freedom in Iran.

As Phoenix Vice Mayor, I commissioned the Woman, Life, Freedom mural in Phoenix to honor Mahsa, as well as the courage and resilience of Iranian women. Now in Congress, I introduced a bipartisan measure to establish a U.S. Special Envoy for Women, Girls, and Human Rights in Iran.

As the first Iranian-American Democrat elected to Congress, I will never stop fighting for the cause of freedom and democracy for the people of Iran.",en,Tweet,1,17,13,5,2145,2025-09-16 19:01:23,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#WomanLifeFreedom,,video,https://video.twimg.com/amplify_video/1968010357261152256/vid/avc1/1080x1920/paHRi7KKKEdPlNMY.mp4?tag=21
'1967974088959553583',"It was an honor to welcome @ASU President Dr. @michaelcrow to my DC office this morning. 

We discussed important issues facing us in the future—from how to prepare students and workers for a new economy based in AI to the importance of nature conservation. 

ASU is truly leading the way in innovation and I’m proud to have their downtown campus in the heart of our district.",en,Tweet,0,26,9,9,1712,2025-09-16 16:29:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G0-bI4IX0AAWt9k.jpg,https://pbs.twimg.com/media/G0-bJ3sWoAAemrD.jpg"
'1967749112243057121',"Happy #HispanicHeritageMonth!

In Arizona and across the nation, Hispanic and Latino communities have shaped our history, culture, and future. Here in AZ-03, their contributions are everywhere—from our food and traditions to our values and way of life. We must always honor and uplift their voices.

¡Feliz #MesDeLaHerenciaHispana!

En Arizona y en todo el país, las comunidades hispánicas y latinas han influido en nuestra historia, cultura y futuro. Aquí en AZ-03, sus contribuciones están por todas partes: desde nuestra comida y tradiciones hasta nuestros valores y forma de vida. Siempre debemos honrar y elevar sus voces.",en,Tweet,0,8,2,1,558,2025-09-16 01:35:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HispanicHeritageMonth,,photo,"https://pbs.twimg.com/media/G07ZWkEW0AAnte9.jpg,https://pbs.twimg.com/media/G07ZXRhW4AAva7w.jpg"
'1967659850663608432',"I'll never forget listening to the harrowing experiences of the Epstein survivors firsthand two weeks ago. The rich and powerful people who perpetrated these vast crimes must be held accountable. 

Release the files now.",en,Tweet,7,227,108,31,15155,2025-09-15 19:40:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1967643593897918582',"🏠 Housing is a human right.

I introduced the HAVEN Act to make sure everyone has access to dignified, clean, affordable housing, especially in places like Phoenix that are growing so quickly. https://t.co/3tB3HgKIt1",en,Tweet,1,12,3,3,559,2025-09-15 18:36:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G055Zj-XcAAZb1-.jpg,https://pbs.twimg.com/media/G055Zj0W0AAGLzt.jpg,https://pbs.twimg.com/media/G055Zj0XwAETGfl.jpg"
'1967396819979407724',"Donald Trump is treating Washington, D.C. as his own personal playground—withholding $1B in funding for critical city programs, and deploying the National Guard to its streets. 

That’s why I introduced an amendment to immediately restore this funding. https://t.co/noU6cdRkC1",en,Tweet,34,1386,416,321,21246,2025-09-15 02:15:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1967396422841503744/vid/avc1/360x640/rnz8sfppc_JEc-O3.mp4?tag=21
