tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970632814769918252',"Children today have experienced unprecedented academic disruption, social isolation, & access to smartphones at an early age.

I’m leading a resolution to raise awareness around children’s emotional health & start building a better path forward for our youth.
https://t.co/Fm5pSMuxAZ",en,Tweet,0,15,4,7,1359,2025-09-24 00:34:10,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1970588144580837741',"Honored to meet with advocates from our community during @AAPD Hill Day.

I will continue to fight to ensure programs are protected for those living with disabilities. https://t.co/GPnCJBG4nD",en,Tweet,0,12,4,6,814,2025-09-23 21:36:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1jusb4WQAAca0p.jpg,https://pbs.twimg.com/media/G1jutDAWYAElibg.jpg"
'1970249497407340793',"Stillbirth affects over 20,000 U.S. families each year. In the 21st century, we should have the tools to change that.

I spoke with @casssemyon about my SHINE for Autumn Act & why I’m proud to work with @USRepKCastor to strengthen prevention efforts & bring families hope.
https://t.co/0wFQ7IfQLb",en,Tweet,0,8,1,4,1051,2025-09-22 23:11:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
'1970213509947703500',"Starting a family shouldn’t put young parents into debt.

I delivered the Working Families Tax Cut to:
✅Boost the child tax credit to $2K per child
✅Provide newborns with $1K tax-advantaged investment accounts
✅Raise the SALT cap to $40K to make buying a home more affordable",en,Tweet,0,5,3,6,992,2025-09-22 20:48:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1970193880667640116',"It was a pleasure meeting with National Park Advocates from Mission Viejo, Anaheim, and across Southern California.

I’ll always fight in Congress to ensure future generations can enjoy America’s parks &amp; keep public lands in public hands. https://t.co/ouMW1k4xFh",en,Tweet,0,13,2,5,869,2025-09-22 19:30:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,photo,https://pbs.twimg.com/media/G1dnWzrWcAIPQx-.jpg
'1970156503459140057',"Happy Rosh Hashanah to our Jewish community here in Southern California, across the nation, &amp; around the world.

Wishing you &amp; your loved ones a new year filled with peace, good health, &amp; happiness.",en,Tweet,0,10,2,0,1055,2025-09-22 17:01:28,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1969131068876783772',"Stillbirth affects 1 in 175 pregnancies in the U.S. each year.

This National Stillbirth Prevention Day, I’m proud to be working alongside such a strong group of advocates to improve stillbirth research &amp; data collection, support grieving families, &amp; save lives. #SHINEforAutumn https://t.co/zQVVNLjr5U",en,Tweet,1,5,0,8,856,2025-09-19 21:06:46,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#SHINEforAutumn,,photo,"https://pbs.twimg.com/media/G1PBuitWMAA7zuM.jpg,https://pbs.twimg.com/media/G1PBvYaXIAAx1ED.jpg,https://pbs.twimg.com/media/G1PBxFDW8AA-jQp.jpg,https://pbs.twimg.com/media/G1PBxt-WIAAVSVj.jpg"
'1969079623863484825',"Government shutdowns achieve nothing, &amp; cost the American people too much.

I was proud to vote in support of today’s resolution to fund our troops, protect our most vulnerable, &amp; keep our government open and operating for Americans. https://t.co/VC4vAKirQC",en,Tweet,1,21,2,16,1121,2025-09-19 17:42:20,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,video,https://video.twimg.com/amplify_video/1969079058530013184/vid/avc1/1280x720/z1N5U-5eDA_KDSmc.mp4?tag=16
'1968859281731596374',"I have long said that economic security is national security.

Thanks to today’s @HouseForeignGOP markup, our diplomatic compass will center U.S. economic leadership &amp; point us in a more strategic direction for the first time in decades. Read more👇
https://t.co/Ar9MW8L1yy",en,Tweet,0,16,5,15,1480,2025-09-19 03:06:47,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://youngkim.house.gov/2025/09/19/rep-kim-secures-bipartisan-wins-to-revitalize-u-s-diplomacy-economic-statecraft-and-national-security/,,
'1968813963828744469',"Every dollar counts for working families.

That is why I was proud to deliver the Working Families Tax Cut to ease the tax burden &amp; increase take-home pay by $4,000 for the average family in our community.

Californians deserve a break, &amp; I will always have your back.",en,Tweet,0,19,2,15,1424,2025-09-19 00:06:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968779418005860756',"Happy birthday, @usairforce!✈️

Thank you to the brave men &amp; women who serve with honor, protect the skies, &amp; keep America safe. We are grateful for your service.",en,Tweet,0,9,1,2,960,2025-09-18 21:49:26,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
