tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970278987420045691',"Autism rates in America are alarming: 1 in 31 children now, up 5x since 2000. It’s about time we launched an NIH Autism Data Science Initiative (ADSI) to dig deep into causes and solutions. I’m extremely grateful to President @realDonaldTrump and @SecKennedy for prioritizing this issue. 

Today’s announcement revealed that Vitamin B9 (folate) shows promise in helping some autism cases per studies.

Some research links CHRONIC acetaminophen (Tylenol) use during pregnancy to increased autism risk. While evidence is inconclusive, for all medications, use the shortest duration and minimal dose necessary. Ask your doctor!",en,Tweet,25,953,179,100,55384,2025-09-23 01:08:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970139612304531914',"Wrong. Republicans have been negotiating.

We have also passed 87% of our spending bills through Committees with bipartisan support, and @SenSchumer refuses to let votes happen on the floor. It takes 60 votes to get any spending bill passed in the Senate — this will be a Schumer Shutdown.",en,Tweet,1,70,16,23,3338,2025-09-22 15:54:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1970139493681242112/vid/avc1/720x406/CmP-U56lTec_EIIm.mp4?tag=21
'1969870833590964646',"Charlie Kirk’s flame burns eternal in our hearts! As we humble ourselves before God today as thousands gather at his memorial, let’s heed 2 Chronicles 7:14—turn from wickedness, pray, and watch Him heal our land. 

Charlie was a modern day prophet, a patriot, and now a Martyr.

We are the Calvary!",en,Tweet,0,213,27,56,5897,2025-09-21 22:06:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969804917188825289',Democrats solution to every problem is to throw more money at it — that doesn’t work anymore. https://t.co/1kTGllCJ1v,en,Tweet,2,97,15,40,2643,2025-09-21 17:44:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969804856132096000/vid/avc1/720x406/vi3m8nItAA8gdBsj.mp4?tag=21
'1969184453369979253',One reason @SecKennedy fired Dr. Monarez is that she fired the person responsible for identifying conflicts of interest at the CDC — the swamp runs deep in DC. https://t.co/dcmvWURldZ,en,Tweet,4,146,24,31,3050,2025-09-20 00:38:54,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1969184396025405440/vid/avc1/720x406/wnGQ-QYI-POqKMAM.mp4?tag=21
'1969053331642253712',"Big victory for Kansas farmers and ranchers! 

It was an honor to meet with Taiwanese officials this week to discuss this landmark trade agreement. President @realDonaldTrump is prioritizing America’s farmers, and delivering major wins. https://t.co/gcvCADbzhl",en,Tweet,0,83,24,31,5382,2025-09-19 15:57:52,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1N7kZuWQAAG0cn.jpg
'1968707454230798660',"It has been startling to see how many people, who we entrust to educate our children at taxpayer-funded universities, reveled in the murder of another human being.

Any such individual needs to be held accountable.",en,Tweet,54,4220,1614,375,213245,2025-09-18 17:03:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968693943043825954',".@SecKennedy is not an anti-vaxxer, but he doesn’t believe that every person needs every vaccine. 

Dr. Monarez wants every child in America to get 76 jabs — that doesn’t work for the American people. https://t.co/WmPfnrtGyF",en,Tweet,117,4402,804,302,147129,2025-09-18 16:09:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1968693886471020544/vid/avc1/720x406/3GM5mzkSAbWB5YKS.mp4?tag=21
'1968659726524133759',"MAHA 🤝 agriculture — I’m loving it!

https://t.co/cYZcCFXPEx",en,Tweet,2,103,16,28,7727,2025-09-18 13:53:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://apnews.com/article/mcdonalds-ranches-cattle-regenerative-grants-bc76d2bf188a7e4c8807032df8a2aeb5,,
'1968357921856933941',"American truckers keep our country moving — proud to introduce the Resilient Tire Supply and Jobs Act to boost domestic manufacturing, cut costs for truckers, and strengthen our supply chains.

https://t.co/mYB6BQqaVH",en,Tweet,0,34,8,15,2327,2025-09-17 17:54:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://kclyradio.com/blog/trucking-industry-could-benefit-from-proposed-federal-tax-credit-for-retreaded-tires/,,
