tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970216619113672748',Shana Tova (Happy New Year) to my Jewish friends this Rosh Hashanah. https://t.co/pR3p4X5Nbi,en,Tweet,0,3,1,0,379,2025-09-22 21:00:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1edkhvXoAE1IWX.png
'1970122608361279537',"Last week, I met with the Georgia Ports Authority Board and Leadership to discuss how Georgia’s port expansion initiatives are progressing, including next steps for increasing the Savannah Harbor’s capacity. This effort is a long-term investment in securing Georgia’s role as a leading hub for shipping along the East Coast and is expected to generate thousands of jobs in many industries, including logistics, transportation, and manufacturing. Georgia’s ports are crucial to transporting goods into and out of the state, which grows our businesses and Georgia’s economy.",en,Tweet,0,1,1,0,204,2025-09-22 14:46:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1dID5jW0AALlpS.jpg,https://pbs.twimg.com/media/G1dID5uWIAA_gHJ.jpg"
'1969101372306948593',"My statement today on H.Res.719

https://t.co/czwd0cFUVO",en,Tweet,0,1,0,10,639,2025-09-19 19:08:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://bishop.house.gov/media-center/press-releases/congressman-bishop-s-statement-on-house-resolution-719,,
'1969046303792394393',"Yesterday, I met with Youth Advocate Programs, Inc. to discuss juvenile justice & prevention programs that give youth the tools to succeed. When we support our youth, we build stronger communities, safer towns, & a brighter future for Georgia. #YouthEmpowerment #GA02 #FutureFocused",en,Tweet,0,3,1,6,288,2025-09-19 15:29:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#YouthEmpowerment,#GA02",,photo,https://pbs.twimg.com/media/G1N1JdKXUAAiogO.jpg
'1968807034087768301',"Yesterday, I met with the Southeastern Lumber Manufacturers Association. Georgia is a nationwide leader in lumber & forest products. Hurricane Helene hurt agroforestry growers & wreaked havoc on communities. I helped secure federal disaster relief & continue to work with business & community leaders to ensure we grow back stronger together.",en,Tweet,0,1,1,1,264,2025-09-18 23:39:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1KbiILWIAALkxi.jpg
'1968777993763090876',"#HeadStart & #EarlyHeadStart provide millions of children with physical, cognitive, social, & emotional development skills & a strong start in life. Yesterday, I met with Head Start leaders from Southwest Georgia to discuss how Congress can ensure they have the resources to help Georgia’s families.",en,Tweet,0,1,0,1,632,2025-09-18 21:43:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#HeadStart,#EarlyHeadStart",,photo,"https://pbs.twimg.com/media/G1KBExHaQAA9grW.jpg,https://pbs.twimg.com/media/G1KBGgJXQAAsza-.jpg"
'1968707317576220775',"Happy Birthday, U.S. Air Force! Established on Sep. 18, 1947, it ensures that when there is trouble, America dominates in the air. GA02 is home to Robins AFB, and I proudly support all Americans who sacrifice & serve our country by joining the ranks of Airmen who protect our country.",en,Tweet,0,2,1,1,197,2025-09-18 17:02:55,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968428214608408846',"Behind every crop are hardworking farmers &amp; farmworkers. They make GA one of the top watermelon producers in America. Today, I met with the National Watermelon Association 🍉 to discuss bipartisan solutions to support American agriculture. https://t.co/hMHjDEwdXb",en,Tweet,0,7,1,2,293,2025-09-17 22:33:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1FC77AXEAAsCIZ.jpg
'1968407741350715656',"Today, I introduced the Military Housing Performance Insight Act with Congresswoman Kiggans (R-VA) to improve military family housing.
https://t.co/d48zC6uKqJ https://t.co/6zb6AMSgFO",en,Tweet,0,3,1,0,193,2025-09-17 21:12:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://bishop.house.gov/media-center/press-releases/reps-bishop-kiggans-introduce-bill-to-improve-military-family-housing,photo,https://pbs.twimg.com/media/G1EwCkpXoAADM9p.png
'1968332481196871792',"Today is #ConstitutionDay, a reminder of the rights &amp; freedoms all Americans enjoy and for which we are responsible &amp; accountable to one another. The Founders created this living document &amp; I will continue to uphold &amp; defend it. https://t.co/o01CXQXIWS",en,Tweet,0,0,0,0,189,2025-09-17 16:13:28,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#ConstitutionDay,,photo,https://pbs.twimg.com/media/G1Dr8ZvWUAAfiHO.png
