tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970583636412874772',"Let’s make sure the National Flood Insurance Program survives September, then let’s make it sustainable for years to come. The clock is ticking.",en,Tweet,0,22,4,20,2806,2025-09-23 21:18:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970556535412854812',"Not only does frozen, foreign-imported shrimp taste worse, but it’s also radioactive ☢️

Eat Gulf shrimp!!",en,Tweet,0,15,7,8,3843,2025-09-23 19:31:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970542811523973219',"One of @POTUS's greatest gifts is his willingness to break some eggs. Clearly, the education status quo could use some broken eggs.
 
Grateful that @POTUS &amp; @EdSecMcMahon are committed to reforming our broken education system so it works better for students and their families.",en,Tweet,0,13,2,16,3924,2025-09-23 18:36:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970527207601656240',"A school official pressuring minors to obtain covert abortions using school funding is illegal. If reports are true, they represent a betrayal of Fairfax parents &amp; families &amp; warrant oversight by @GOPHELP to determine how this could have occurred and who must be held accountable.",en,Tweet,3,32,13,4,5818,2025-09-23 17:34:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970278378877116493',"Shanah Tova to all in Louisiana’s Jewish community and across the world celebrating Rosh Hashanah. Wishing you a new year filled with health, happiness, and peace. https://t.co/076nEqQW4H",en,Tweet,2,22,3,21,5655,2025-09-23 01:05:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1fVWAlXcAEEcS-.jpg
'1970261850622234791',"I understand and applaud President Trump’s desire to address this issue and to support HHS. HHS should release the new data that it has to support this claim. The preponderance of evidence shows that this is not the case. The concern is that women will be left with no options to manage pain in pregnancy. We must be compassionate to this problem.
https://t.co/m9x7k6t6BN",en,Tweet,209,2879,543,2668,697690,2025-09-23 00:00:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970132211291525314',https://t.co/SCtz1Y7PoB,zxx,Reply,0,2,1,15,3046,2025-09-22 15:24:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.breitbart.com/politics/2025/09/19/exclusive-sen-cassidy-s-bill-would-cut-biden-admins-red-tape-employment-services-program/,,
'1970132208901042623',"This legislation codifies @POTUS' policy into law, making it easier for Americans to find employment so they can provide for their families.",en,Tweet,1,8,2,10,6932,2025-09-22 15:24:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969839280479760541',"Today, our hearts are with the Kirk family as they gather with the nation to honor Charlie’s life.

He inspired a generation of young Americans to stand up for their beliefs. His life was a testament to his love for our country. His loss is a tragedy. https://t.co/HfcL1MpW5w",en,Tweet,0,215,18,37,16978,2025-09-21 20:00:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ZGYrmWYAAKk9u.jpg
'1969741902640480659',https://t.co/Zuiq5CWJrX,zxx,Tweet,0,40,6,22,2876,2025-09-21 13:34:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1O9dTKXwAAkLR0.jpg
'1969509676250214479',"As an LSU alum, I always love a Louisiana game day. Great to see friends and neighbors from across the state supporting both @LSUfootball and @LionUpFootball today!",en,Tweet,1,9,0,6,2303,2025-09-20 22:11:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969412644995031212',Great customer service at Dillards at Lakeside Mall https://t.co/K9Avbs0fuq,en,Tweet,0,22,0,10,2538,2025-09-20 15:45:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1TCXLFWkAAX3kR.jpg,https://pbs.twimg.com/media/G1TCXKyWcAAK3zC.jpg"
'1969367963581980737',Political violence and threats of violence are unAmerican. No one should be targeted for serving in public office. Hoping that Secretary Kennedy and his family remain safe as police continue their search.,en,Tweet,1,18,3,10,4074,2025-09-20 12:48:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
