tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970563537677492236',"On July 1, YOU voted to cut $1 trillion from our health care system.

Now you’re offering pennies to offset your own cuts.

The American people deserve better. https://t.co/sBBNniCdTD",en,Tweet,49,2578,591,204,64690,2025-09-23 19:58:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1jZF97XoAADopc.jpg
'1970519741870535054',"Health care. We want families to have health care.

When Trump rants about how ""unreasonable"" this is, remember that he decimated Medicaid—

To gift-wrap tax cuts for his Mar-a-Lago pals.

And instead of helping us fix the crisis he created, Trump is shutting down the government. https://t.co/XYPavqQfds",en,Tweet,41,1372,635,919,90392,2025-09-23 17:04:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1ixQlAXkAA0vdz.jpg
'1970302941476331804',"Trump once suggested that injecting bleach could help cure COVID.

RFK has a long, long history of peddling medical misinformation to enrich himself.

Please talk to your doctor.
Please talk to your doctor.
Please talk to your doctor.",en,Tweet,25,1842,542,1533,106206,2025-09-23 02:43:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970276979527037034',"Shanah Tovah!
 
Wishing everyone celebrating Rosh Hashanah a sweet, healthy and peaceful New Year.",en,Tweet,0,113,16,32,6813,2025-09-23 01:00:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970233250854687007',"Republicans are driving us toward a shutdown and doing nothing to save your ACA tax credits.

If these credits expire:
— 4 million would lose coverage
— 22 million would pay more for insurance
— Costs would go up by $700/yr on avg

That's not how you make America healthy again.",en,Tweet,17,883,415,476,16194,2025-09-22 22:06:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970157397558923747',"Saddened by the loss of @steelworkers President Gerard. Leo was a force of nature who spent his career helping improve the lives of so many workers. 
 
He will be deeply missed.",en,Tweet,1,154,44,12,11719,2025-09-22 17:05:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969729154170933324',"I’m in full solidarity with Granite City @steelworkers, and I’m relieved the plant will stay open and continue receiving slabs.

We must continue to make sure these jobs—with full compensation—are protected and U.S. Steel and Nippon keep their promises for the long term.",en,Tweet,4,99,25,21,10519,2025-09-21 12:43:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969488481417097388',"Military morale is on the line. 
 
Trump is ripping our National Guardsmen away from their families and jobs not to defend the nation—
 
But to do his political dirty work here in D.C.
 
This is not what our troops signed up for. https://t.co/IVSH1DQ8l5",en,Tweet,12,830,312,582,88162,2025-09-20 20:46:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1UHVetWoAAwwdM.jpg
'1969432660750553132',"When “Don’t Ask, Don’t Tell” ended, we made clear: no one willing to sacrifice for this country should ever be told to hide who they are.
 
Trump and Hegseth’s attacks on LGBTQ+ servicemembers take us back to a dark chapter in history—undermining morale, readiness and security.",en,Tweet,8,680,220,145,9931,2025-09-20 17:05:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969211957581422924',"ABC is a mega donor to Trump—and fired Jimmy Kimmel because Trump’s FCC said to.

Even Ted Cruz agrees that this sets off a slippery slope in censorship.

@SenateDems are urging him to call on the FCC Chair to testify before Congress.

Our constitutional rights are at stake. https://t.co/Xns48OqUId",en,Tweet,53,2734,886,812,40485,2025-09-20 02:28:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1QL1jcW4AAWihD.jpg,https://pbs.twimg.com/media/G1QL1jYWYAAHNZn.jpg,https://pbs.twimg.com/media/G1QL1jcW4AEslnm.jpg"
