tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1968784334812234005',"""It's time that the country heard the truth about what these companies are doing, about what these chatbots are engaged in, about the harms that are being inflicted upon our children . . .

""and for one reason only . . . PROFIT."" https://t.co/uCcd5VUGOs",en,Tweet,57,243,83,19,62171,2025-09-18 22:08:58,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968782540140855296/vid/avc1/1920x1080/h2u4Z6ImKhGSglER.mp4?tag=21
'1968748113046233441',"Hawley Expands Investigation, Demands Documents from Big Tech on AI Chatbot Policies after Hearing

https://t.co/Epqs8W8P8u",en,Tweet,1,20,6,2,1503,2025-09-18 19:45:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.hawley.senate.gov/hawley-expands-investigation-demands-documents-from-big-tech-on-ai-chatbot-policies-after-hearing/,,
'1968366252877033575',"It was an honor for Team Hawley to meet with our @GSLhonorflight veterans as they visited our nation’s war memorials in D.C. 

Thank you for your courage and years of service. 🇺🇸 https://t.co/pveUkJvqSo",en,Tweet,0,13,1,2,1106,2025-09-17 18:27:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1EKq35W8AAcCex.jpg,https://pbs.twimg.com/media/G1EKq34WYAALU5f.jpg"
'1968109004900704318',Tune in @FoxNews NOW to catch Senator Hawley’s interview with @JesseBWatters!,en,Tweet,0,8,5,2,1558,2025-09-17 01:25:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968044196163396036',"Matthew Raine, Father of ChatGPT Victim:

""Testifying before Congress this fall was not in our life plan. But instead, we're here because we believe that Adam's death (at just 16 years old) was avoidable, &amp; that by speaking out, we can prevent the same suffering for families."" https://t.co/PX041duCUx",en,Tweet,14,275,67,8,25519,2025-09-16 21:07:55,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968043755153317888/vid/avc1/960x540/bv2gL3KYy-VW2GTI.mp4?tag=21
'1968037025732260132',"First-time testimony from Jane Doe, a mother of a chatbot victim —&gt;

""Character AI had exposed [my teenage son] to sexual exploitation, emotional abuse, and manipulation despite our careful parenting . . . We had screen-time limits put up. We had parental controls."" https://t.co/addLIPoinV",en,Tweet,21,252,72,17,27215,2025-09-16 20:39:25,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968036751974277120/vid/avc1/960x540/xPHNCptTZaouEUPJ.mp4?tag=21
'1968030811292135903',WATCH: Hawley Reveals Zuckerberg DECLINED his Invitation to Appear Before the Senate &amp; Answer for Harms Caused by Meta's Chatbots 👉 https://t.co/ETYdPJWnJI,en,Tweet,10,439,101,56,27201,2025-09-16 20:14:44,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968030444395388928/vid/avc1/960x540/dVKQmjq8ep8cNlGn.mp4?tag=21
'1968028388011962757',"Senator Hawley to the parents of chatbot victims:

""Your stories are incredibly heartbreaking—but they're incredibly important...It's time that the country heard the truth about what these [AI] companies are doing...about the harms that are being inflicted upon our children."" https://t.co/ZlMu8KNi0n",en,Tweet,20,338,49,16,30482,2025-09-16 20:05:06,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1968026968944754688/vid/avc1/960x540/Emh2voYU4Otqaut8.mp4?tag=21
'1968024658030346444',https://t.co/pnhW95ZYHO,zxx,Reply,0,6,1,3,916,2025-09-16 19:50:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.judiciary.senate.gov/committee-activity/hearings/examining-the-harm-of-ai-chatbots,,
'1968024598743748950',Tune in below! https://t.co/DOJ0XkiJQm,en,Tweet,1,14,3,2,1436,2025-09-16 19:50:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0_T6liWsAE7ltq.png
'1967592452216234169',WATCH: Hawley Reveals Private Equity's Role In America’s Fire Truck Crisis https://t.co/bNwBLCJJXX,en,Tweet,3,25,8,8,1503,2025-09-15 15:12:51,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1967590439021580288/vid/avc1/960x540/4ROI64dxznTAj5Oi.mp4?tag=21
