tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970594597664629153',Shanah Tova! Wishing everyone celebrating Rosh Hashanah in Oregon and around the world a joyous and sweet new year.,en,Tweet,0,21,4,4,2421,2025-09-23 22:02:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970569104646959192',"The Trump health care crisis is already here. The Big, Ugly BETRAYAL ripped Medicaid funding out of our communities, denying people the care they need.
 
Instead of fixing the mess they created, Rs want to shut down the government.
 
Dems want to fix it. Rs are BLOCKING us.",en,Tweet,1,26,7,21,2428,2025-09-23 20:21:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970556874706800836',"Make no mistake: Jimmy Kimmel will be back on the air because people across the country got loud about censorship.

Disney isn’t the hero here—people of strong conscience are.

Never forget the power of your voice, especially as Trump pushes us further into authoritarianism.",en,Tweet,5,635,185,696,15641,2025-09-23 19:32:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970517608316145778',"In 8 months in office, Trump has made people sicker and poorer. Trump’s tariffs are adding fuel to the fire of higher prices and wages are not keeping up. https://t.co/JRo6mmk4Af",en,Tweet,1,20,11,7,1686,2025-09-23 16:56:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.cnbc.com/2025/09/15/trump-trade-inflation-tariffs-cbo.html,,
'1970209202598498784',"Last time Republicans forced a shutdown, it cost our economy $11 billion.

Trump and Republicans are now threatening another shutdown that will stretch families in Oregon and across the country to the limit.

Democrats are fighting for YOU.",en,Tweet,4,501,227,961,71695,2025-09-22 20:30:53,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1970168392544891089',"We know that plastics are invading our lives—our food, our water, even our bloodstreams.
 
Now we know that chemicals in plastics are linked to infertility and premature birth.
 
Two more reasons to pass my Break Free from Plastic Pollution Act! https://t.co/KoF5yUBrLg",en,Tweet,0,28,9,6,2287,2025-09-22 17:48:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.washingtonpost.com/climate-environment/interactive/2025/plastic-chemicals-phthalates-pregnancy-infertility/,,
'1970141209273512274',"Folks are bracing for HUGE health care premium increases in 2026 because of the Republican Big, Ugly BETRAYAL.

Republicans are slashing health care tax credits that make the care people need more affordable.

Democrats are fighting to restore them—but Republicans BLOCKED us.",en,Tweet,0,28,19,20,2565,2025-09-22 16:00:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1969918936318955550',"Democrats put forward a vision to prevent a Republican shutdown, protect Congress’s power of the purse, and fix the health care crisis caused by Trump and Republicans.

Republicans BLOCKED it. They’d rather shut down the government than help you and your family.",en,Tweet,11,449,205,555,16532,2025-09-22 01:17:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969807795311534561',"Yanking broadcast licenses from TV outlets because you don’t like what they’re saying is an authoritarian assault on free speech. It’s un-American and just plain wrong. Donald Trump is trampling on the Constitution.
https://t.co/4f4OLs1Nel",en,Tweet,2,90,35,146,4246,2025-09-21 17:55:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nbcnews.com/politics/trump-administration/trump-fcc-revoke-tv-broadcast-licenses-over-bad-publicity-rcna232339,,
'1969527504944972047',"On LGBTQ+ Servicemembers and Veterans Day, we honor our LGBTQ+ servicemembers and veterans for their brave service, especially during times of hateful policies like Don’t Ask, Don’t Tell and the Trump administration’s discriminatory policies. Our work continues to make sure all who serve are treated with dignity and respect.",en,Tweet,2,31,13,18,3716,2025-09-20 23:22:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
