tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970636576204927260',"Utah’s snow and slopes are second to none, just ask the Olympians who train here. Grateful to spend time with ski industry leaders (and even try on a gold medal!) as we work to keep Utah’s outdoors open and thriving for all. https://t.co/KHDO8rOM5k",en,Tweet,0,11,1,6,888,2025-09-24 00:49:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1kbhX8XUAEgrnM.jpg,https://pbs.twimg.com/media/G1kbhYBXkAE9JHv.jpg"
'1970551895266676941',"Russia’s incursions into NATO countries with both drones and warplanes continue a pattern of Moscow testing NATO’s defenses and underscore the growing threats to European security.

Russia should be under no illusion: NATO stands united, and I am confident the United States remains fully committed to defending every inch of alliance territory against this aggression.",en,Tweet,0,38,8,15,3804,2025-09-23 19:12:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1970298265607303216',"Wishing all who celebrate a happy and meaningful Rosh Hashanah. May this new year be filled with sweetness, renewed purpose, stronger families, and lasting joy.

Shana Tovah U’Metukah https://t.co/0njRhswtoe",en,Tweet,0,19,0,1,913,2025-09-23 02:24:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1fn1GZXYAA0h9x.jpg
'1970243464521470365',“The answer to hate is not hate — the answer we know from the gospel is love and always love.” Strong and powerful words.,en,Tweet,0,17,2,4,1885,2025-09-22 22:47:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1969088234438168776',Highs and lows this week. Featuring some grapes from my garden in Utah. https://t.co/lpnY25uJqk,en,Tweet,1,11,2,13,818,2025-09-19 18:16:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1969087897954320384/vid/avc1/1080x1920/8oJ_QMwtuG7RnGGX.mp4?tag=21
'1968776545520001071',"Great conversation yesterday with the American Chemistry Council. We talked about how innovation in chemistry can help drive American energy independence, economic growth, and environmental stewardship, three goals Utahns care deeply about. https://t.co/oMQNHJYmvh",en,Tweet,0,9,1,6,834,2025-09-18 21:38:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/G1J_1MvW0AM7BnE.jpg,https://pbs.twimg.com/media/G1J_1MtWEAA1BaZ.jpg"
'1968459469781708998',"Just last week, I laid a wreath at Arlington to honor two of our own officers who gave their lives while answering the call of duty. Tonight, I am once again heartbroken to learn of three officers in Pennsylvania who have made that same ultimate sacrifice while protecting their communities.

My prayers are with the families of the fallen and the others that have been injured. Tonight, all of Pennsylvania is in my heart.",en,Tweet,0,12,2,3,1558,2025-09-18 00:38:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1968381902936813914',"Today we celebrate the Constitution, the foundation of our Republic and the safeguard of our freedoms. It reminds us that America is strongest when we anchor ourselves in principle, defend liberty, and protect our God-given rights. May we each recommit to preserving this inspired document for generations to come.",en,Tweet,0,11,2,6,728,2025-09-17 19:29:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EYzsIXsAAxlLj.jpg
'1968370761166635279',Grateful for the opportunity to meet with the General Contractors of Utah to discuss the importance of building strong communities and supporting our workforce. https://t.co/143ygCMuv1,en,Tweet,0,13,1,2,833,2025-09-17 18:45:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/G1EOxaOWIAEs2Hj.jpg
'1967972695309512967',"I feel a deep sense of gratitude for the life and legacy of Robert Redford. His vision with Sundance and his dedication to preserving the beauty of Utah’s outdoors have touched every corner of our state. 

Through the Sundance Film Festival, he not only elevated Utah on the world stage but also inspired us to see the power of art, storytelling, and nature. His love for this place mirrors my own, and I am profoundly grateful for the way he enriched Utah and left behind a legacy that will continue to inspire generations.

📷 by Jonas Fredwall Karlsson",en,Tweet,0,32,8,2,1577,2025-09-16 16:23:48,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-kmbhXAAARd4J.jpg
'1967725433295929414',"Last week, I had the solemn honor of paying tribute to Officer Eric Estrada and Sergeant Lee Sorensen—first at the Tomb of the Unknown Soldier, and then on the Senate floor. May we always remember their courage, and honor their sacrifice. https://t.co/nX4UwE71Z7",en,Tweet,0,71,14,4,6595,2025-09-16 00:01:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1967724933208813568/vid/avc1/3840x2160/ECQT61Eu2QIOKKhh.mp4?tag=21
'1967044936143950199',"Three tornadoes touched down near Montezuma Creek today, leaving damage that is still being assessed. My heart goes out to the families and communities impacted by these storms. Our office is in close contact with county and local officials, and we stand ready to assist as recovery efforts begin.",en,Tweet,2,28,4,12,4245,2025-09-14 02:57:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1966598740501823932',"We can disagree passionately. We can debate fiercely. But we must never lose sight of the humanity of those across the table or across the aisle. When we do, we lose more than civility; we lose the very fabric of our democracy.

Read more in my op ed here:
https://t.co/VD3rMxQIy1",en,Tweet,3,49,15,87,2410,2025-09-12 21:24:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.deseret.com/opinion/2025/09/12/choosing-civility-over-contempt-charlie-kirk-shooting/,,
'1966527744520425642',Highs and Lows this week. https://t.co/GJL1HV9hWJ,en,Tweet,0,17,2,6,1507,2025-09-12 16:42:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1966527666338533376/vid/avc1/1080x1920/AGAjNcbM-Qt6ZXpA.mp4?tag=21
