tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1969070820015108132',Good discussion with ND Soybean Processors covering important ag items and our work to help North Dakota’s farmers and rural communities. https://t.co/VJQ7hASkaS,en,Tweet,0,6,4,8,1031,2025-09-19 17:07:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1OLcj0XAAEn0my.jpg
'1968753821514936466',Joined @NGFA to share insights on North Dakota’s vital role in agriculture and our work to pass key farm bill provisions to support producers and strengthen the industry. https://t.co/oPZZlSNXkQ,en,Tweet,0,6,4,11,1072,2025-09-18 20:07:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JrIsMWEAA10gz.jpg
'1968676694291529756',"Happy 78th Birthday @usairforce! Great to cut the cake with Secretary Meink and celebrate the incredible legacy, service, and sacrifice of our airmen. https://t.co/tvzie60KUX",en,Tweet,0,12,3,2,852,2025-09-18 15:01:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/G1IkhgKWUAA3yyk.jpg,https://pbs.twimg.com/media/G1Ikip6XAAAcSNl.jpg"
'1968361657354305651',Great to meet with Scott Kaufman from North Dakota @VFWHQ to discuss ways to support our veterans and provide them with the recognition and benefits they have earned. https://t.co/YNm40Q1ZI0,en,Tweet,0,11,5,5,1105,2025-09-17 18:09:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1EGdPOWgAAQBE8.jpg
'1968325235117330672',"On #ConstitutionDay, we honor the Founding Fathers and patriots whose vision and sacrifice secured our freedom and built a nation grounded in liberty, justice, and the power of the people. https://t.co/sPQvoW4JBK",en,Tweet,0,6,2,5,781,2025-09-17 15:44:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#ConstitutionDay,,photo,https://pbs.twimg.com/media/G1DlTubWQAAsbfS.jpg
'1968061910928199783',"A remarkable career and an unmistakable voice. For nearly 70 years, Marilyn Hagerty captured the spirit of Grand Forks with thoughtfulness and heart. She will be deeply missed.",en,Tweet,0,11,0,0,2343,2025-09-16 22:18:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968002750261973139',"Had productive talks with @RCALFUSA North Dakota representatives about key issues facing independent cattle producers, including fair markets and industry reforms as we work together to support rural communities and producers. https://t.co/y2e4Qm6cEp",en,Tweet,0,16,5,2,1418,2025-09-16 18:23:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0-_qYjWgAAqfes.jpg
'1967638644963115227',Met with @NatlParkService Regional Director Bert Frost to discuss my bill to ensure the wild horses continue to roam freely within @TRooseveltNPS while preserving its unique natural heritage. https://t.co/8vHDThyTdx,en,Tweet,0,13,0,5,926,2025-09-15 18:16:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0503xhXUAA9xHh.jpg
'1966540660221022573',This second round of livestock assistance brings total aid to $2 billion to help livestock producers recover from natural disasters in 2023 and 2024. We secured this disaster assistance to help producers with tough conditions and we appreciate @SecRollins for working with us to get it out. https://t.co/zumcjq2bD0,en,Tweet,0,7,0,6,877,2025-09-12 17:33:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966178050644537807',"Rescinding the BLM Public Lands Rule is a win for farmers, ranchers, and energy producers who rely on balanced, multiple-use access to public lands. 

Thanks to @SecretaryBurgum and @Interior for restoring common-sense management that supports rural communities. https://t.co/ZNNOrG13Co",en,Tweet,0,10,0,4,2192,2025-09-11 17:32:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
