tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1970222255830634909',"Well, my colleague, Ted Cruz, said it looked just like Goodfellas. As a First Amendment guy, myself, I think he’s probably got it right. You don’t have to like what somebody says on TV to agree that the government shouldn’t be getting involved here.",en,Tweet,164,3691,525,316,558914,2025-09-22 21:22:45,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1968759676876521863',Great to meet with @kentuckyguard leadership today in Washington and discuss defense priorities for our nation and the Commonwealth. I’m grateful to our brave soldiers and airmen who serve in the Kentucky National Guard—they make all of us proud. https://t.co/bNiTdD09cO,en,Tweet,4,39,13,0,10895,2025-09-18 20:30:59,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G1JvlW0WUAAJhGd.jpg
'1966264352765522296',"If passionate disagreement is a sign of a healthy democracy, political violence like yesterday’s sickening display is a sign of decay. My thoughts in the @CourierJournal today regarding political violence threatening the fabric of American society:
https://t.co/6xdOwVkCHI",en,Tweet,10,114,20,108,19249,2025-09-11 23:15:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.courier-journal.com/story/opinion/contributors/2025/09/11/charlie-kirk-death-assassination-senate-political-violence-mcconnell/86099484007/,,
'1966165715762946533',Proud to see Chad Meredith voted favorably out of @SenJudiciaryGOP today. @POTUS made an excellent choice in nominating Chad to the US District Court for the Eastern District of KY. Chad is a brilliant attorney who will serve our country well &amp; I look forward to his confirmation.,en,Tweet,1,47,18,22,24966,2025-09-11 16:43:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1966165044166824064',"The perpetrators of 9/11 intended to deal our nation a fatal blow. But the sacrifice of first responders, valor of servicemembers, and strength of communities proved them wrong. Today, and every day, one nation under God, indivisible, with liberty and justice for all. https://t.co/m52TDfS9hQ",en,Tweet,2,73,19,37,14693,2025-09-11 16:40:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/G0k4kBoXIAA8NNy.jpg
'1965872794195124727',The news out of Utah is horrific. There is no place for political violence in our country. Please join me in praying for Charlie Kirk and his family.,en,Tweet,13,1067,91,264,131626,2025-09-10 21:19:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1964063302968828125',"If we call it the Dept. of War, we'd better equip the military to actually prevent and win wars. Can't preserve American primacy if we're unwilling to spend substantially more on our military than Carter or Biden. ""Peace through strength"" requires investment, not just rebranding.",en,Tweet,51,697,159,0,182651,2025-09-05 21:29:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1953466510292234242',This announcement is great news for Harrodsburg! It builds on their strong partnership and is a proud testament to the hardworking men and women at the facility. I enjoyed visiting the facility and its employees and I’m proud of the work they do there. https://t.co/hMzkR7gpC5,en,Tweet,4,119,46,229,37465,2025-08-07 15:41:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/Gxwa9GiWoAIswN8.jpg
'1951365554020786408',"We all know children love candy. They can recognize well-known brands of candy before they can even read! The packaging on these snacks is nearly identical to a pack of Oreos, Doritos, or Skittles. Little do kids know, these products are all laced with intoxicating, synthetic chemicals. https://t.co/yIBMArXrOU",en,Tweet,7,89,24,0,15981,2025-08-01 20:32:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GxSkoUbWMAAHdY7.jpg
'1951320297346375965',"#FlashbackFriday 
Great to be at the White House with President Trump discussing strategy. https://t.co/YaLm9MrYBi",en,Tweet,21,280,57,401,57044,2025-08-01 17:33:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#FlashbackFriday,,photo,https://pbs.twimg.com/media/GxR7QT0XoAAWSyX.jpg
'1948850186953834724',".@usedgov will release pending education funding to ensure Kentucky’s school districts are ready for the upcoming school year. I want to take this opportunity to thank @SenCapito for leading the effort. Local communities know best how to utilize these dollars, and Kentucky’s students and parents will benefit greatly from this decision.",en,Tweet,3,32,22,89,20944,2025-07-25 21:57:47,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1948433524387713427',"This is great news for the Paducah community, and I want to thank President Trump for selecting the Paducah Site to host new AI infrastructure. The site at the Paducah Gaseous Diffusion Plant has long held a critical role in advancing U.S. national security, and is poised, yet again, to be a national leader in an emerging and important technology. I am proud of the Paducah community and its workforce and know they are prepared to continue working closely with the Department of Energy to further instill PGDP’s role in national security while helping facilitate greater U.S. leadership in AI.",en,Tweet,3,40,25,78,19552,2025-07-24 18:22:07,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1947778221358936420',"President Trump announced today he has approved two disaster declarations for Kentucky. Thank you @POTUS, this is great news for those still recovering from the storms that impacted the Commonwealth in April and May of this year.",en,Tweet,3,138,33,104,19700,2025-07-22 22:58:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1946661064856260953',"Conservatives across America are honoring the life of Ed Feulner, founder and longest-serving President of the Heritage Foundation. Ed was a great man, and I am glad to have called him a friend through the years. Under Ed’s leadership, the Heritage Foundation was a bastion of Reagan conservatism and a steadfast ally in the fight for freedom and a strong defense. His dedication to promoting peace through strength at the end of the Cold War offers a particularly enduring lesson. Elaine and I are deeply saddened to learn of Ed’s passing, and we are thinking of his family during this time.",en,Tweet,4,85,23,88,19923,2025-07-19 20:58:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1946563195310674307',Great news for students and parents across Kentucky. I am pleased @usedgov is releasing the funding for after-school and summer education programs. I want to thank @SenCapito for her leadership on the issue and I was glad to join her in calling for the release of these funds. https://t.co/G2VipmnDDQ,en,Tweet,6,44,21,44,36278,2025-07-19 14:30:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GwOU6MFWkAEkNjR.jpg,https://pbs.twimg.com/media/GwOU6L7XQAAB01f.jpg"
'1946382539355996474',I enjoyed celebrating the passage of One Big Beautiful Bill with President Trump and Senate Republicans tonight at the White House dinner. https://t.co/2SKML5vwkp,en,Tweet,40,720,117,665,298516,2025-07-19 02:32:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GwLwmnCW4AAFTOS.jpg
'1944513413863837966',"Sad news out of central Kentucky. Please keep the families of the two Richmond Road Baptist Church members who were killed &amp; those injured, including a Kentucky State Police Trooper, in your prayers. Elaine and I are grateful to our local law enforcement for their swift response.",en,Tweet,4,145,29,193,27065,2025-07-13 22:44:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1942613226648187347',https://t.co/kYc2q2SqNQ,zxx,Tweet,4,47,26,131,23640,2025-07-08 16:54:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,http://x.com/i/article/1942611349948805120,,
'1942320297299869973',The Protecting American Farmlands Act addresses the steady decline in available farmland by easing the tax burden on our hardworking producers. This is a huge win for Kentucky farmers and will help preserve our vital farmland for future generations.,en,Tweet,0,34,11,0,21718,2025-07-07 21:30:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1940083914422485101',"The U.S Senate just passed President Trump’s One Big Beautiful Bill. We’re bolstering border security, investing in programs that assist our farmers, raising take-home pay for working Kentuckians, and preventing the largest tax hike in American history. My full statement below: https://t.co/zM2qnJiXi2",en,Tweet,6,147,35,329,25281,2025-07-01 17:23:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GuyQCcZXUAAligT.jpg
'1939687457433309225',.@SenThomTillis is one of the most effective and collegial members that I have ever served with in the United States Senate. His announcement is a big setback for the Senate and the Republican Conference. I want to thank him for his service in this institution representing the people of North Carolina and our nation.,en,Tweet,14,476,67,0,325711,2025-06-30 15:08:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
